period,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
Overall,3915.0,0.23422733077905492,1.5888888888888888,6220.5,0.03803853301436063,12441.0,1.0880781878873909,-4360.0,0.7570101761203106,1.2664538612973977,0.3930643578095085,2260.998332748281,0.550561797752809
Train 2019–22,1950.0,0.2164102564102564,0.11666666666666667,227.5,-0.03224036935102932,455.0,1.0069794375033554,-4360.0,-0.0250354280099777,-0.041182515208649205,-0.011968121080737927,2081.6573707189323,0.4318181818181818
Validation 2023–24,1049.0,0.2163965681601525,2.9942802669208772,3141.0,0.1316307122117941,6282.0,1.194519275429633,-2421.5,1.5574561696135012,2.8777470586294873,1.3952138920695594,2087.280805679947,0.7083333333333334
Holdout 2025–26,916.0,0.2925764192139738,3.11353711790393,2852.0,0.08046829680737667,5704.0,1.1303384137284922,-2234.5,1.3476538900359654,2.1663642544701225,2.03219227206168,2777.640604026095,0.6190476190476191
