year,Sarah baseline,Phase 6 locked candidate
2019,-562.5,-917.5
2020,-1092.5,858.0
2021,-6086.0,-1644.0
2022,-12361.0,2158.5
2023,-1308.0,5294.0
2024,-2533.5,988.0
2025,-10906.5,-574.0
2026,361.0,6278.0
