sess,entry,high,low,close,bars,t_high,t_low,giveback,mfe,mae,realized,range,gb_pct,mfe_pct,real_pct,gb_share_range,capture
2020-01-01 00:00:00-05:00,8773.0,8822.75,8769.25,8818.0,144,705.0,0.0,4.75,49.75,3.75,45.0,53.5,0.05414339450587029,0.5670808161404308,0.5129374216345606,0.08878504672897196,0.9045226130653267
2020-01-02 00:00:00-05:00,8898.0,8907.75,8735.25,8746.0,144,135.0,715.0,161.75,9.75,162.75,-152.0,172.5,1.8178242301640817,0.1095751854349292,-1.7082490447291525,0.9376811594202898,-15.58974358974359
2020-01-05 00:00:00-05:00,8784.5,8795.0,8723.0,8747.25,144,325.0,630.0,47.75,10.5,61.5,-37.25,72.0,0.5435710626671979,0.11952871535090216,-0.42404234731629575,0.6631944444444444,-3.5476190476190474
2020-01-06 00:00:00-05:00,8851.75,8894.5,8846.0,8876.0,144,590.0,55.0,18.5,42.75,5.75,24.25,48.5,0.20899822069082385,0.4829553478125794,0.2739571271217556,0.38144329896907214,0.5672514619883041
2020-01-07 00:00:00-05:00,8843.0,8874.5,8678.25,8867.25,144,715.0,100.0,7.25,31.5,164.75,24.25,196.25,0.08198575144181838,0.3562139545403144,0.274228203098496,0.03694267515923567,0.7698412698412699
2020-01-08 00:00:00-05:00,8948.5,8993.75,8932.5,8980.5,144,575.0,255.0,13.25,45.25,16.0,32.0,61.25,0.14806950885623288,0.5056713415656255,0.35760183270939266,0.2163265306122449,0.7071823204419889
2020-01-09 00:00:00-05:00,9008.5,9046.25,9008.5,9041.0,144,670.0,0.0,5.25,37.75,0.0,32.5,37.75,0.058278292723538884,0.41904867625020814,0.36077038352666924,0.1390728476821192,0.8609271523178808
2020-01-12 00:00:00-05:00,8978.75,9028.75,8978.75,9025.25,144,705.0,0.0,3.5,50.0,0.0,46.5,50.0,0.03898092718919671,0.5568703884170959,0.5178894612278993,0.07,0.93
2020-01-13 00:00:00-05:00,9088.5,9114.75,9041.5,9076.0,144,80.0,565.0,38.75,26.25,47.0,-12.5,73.25,0.42636298619134066,0.2888265390328437,-0.137536447158497,0.5290102389078498,-0.47619047619047616
2020-01-14 00:00:00-05:00,9062.5,9064.0,9025.75,9054.5,144,0.0,60.0,9.5,1.5,36.75,-8.0,38.25,0.10482758620689654,0.016551724137931035,-0.08827586206896551,0.24836601307189543,-5.333333333333333
