year,trades,% of trades,win %,avg R,avg $,total $,% of profit,hit 2R %
2020,208,12.792127921279212,41.34615384615385,-0.053919380014839376,-18.128076923076932,-3770.6400000000017,-6.62769470250569,12.980769230769232
2021,254,15.621156211562115,53.14960629921261,0.17014546546531237,59.79999999999999,15189.199999999997,26.6982210911939,12.598425196850393
2022,253,15.559655596555967,47.82608695652174,0.12346870230348969,41.718181818181804,10554.699999999997,18.552110325180013,16.600790513833992
2023,252,15.498154981549817,43.65079365079365,0.08607940817992892,25.045634920634907,6311.499999999996,11.093791800560284,18.650793650793652
2024,254,15.621156211562115,45.66929133858268,0.12711495323946306,31.229685039370064,7932.3399999999965,13.942759795810245,21.653543307086615
2025,252,15.498154981549817,46.42857142857143,0.07582790834161968,49.28007936507936,12418.579999999998,21.828272356587494,13.88888888888889
2026,153,9.40959409594096,44.44444444444444,-0.009724030229090998,-4.674640522875827,-715.2200000000016,-1.257149928162362,9.15032679738562
