inst,years,apriori_cost_SR,measured_cost_SR,understated_x,best_SR_net,p_best,starter_SR,cells_pass,cells_beat_starter
MNQ,6.571428571428571,0.09112663952101509,0.13134573889432663,1.4413539178522703,1.0372129452123153,0.03,-0.0644193841945147,0,18
MES,6.571428571428571,0.2939722647933666,0.42950126820307,1.4610264968532556,0.4334541310296081,0.46,0.2220773536413197,0,3
MGC,7.174603174603175,0.27903684737799417,0.48143867445287886,1.725358779590508,0.41342750731015976,0.472,0.4383660778130577,0,0
