inst,contract_$,ann_vol,ann_vol_$,cost_SR_trade,cost@504,cost@24 (24h hold),verdict@504,min_cap_1ct,min_cap_4ct
MNQ,53444.0,0.19620470996221587,10485.964519220664,8.296804727932266e-05,0.04181589582877862,0.001991233134703744,pass,87383.03766017221,349532.15064068884
MES,35612.5,0.13633666560945779,4855.289504016815,0.00025642137280794543,0.1292363718952045,0.00615411294739069,BREACH,40460.74586680679,161842.98346722717
MGC,46088.5,0.2811342655802096,12957.056599193491,8.643938470329089e-05,0.04356544989045861,0.0020745452328789814,pass,107975.47165994576,431901.88663978304
MCL,8444.5,0.5554015906658512,4690.08873237778,0.00023880145214911166,0.12035593188315227,0.00573123485157868,BREACH,39084.07276981483,156336.29107925933
