,trades,% of trades,win %,avg R,avg $,total $,% of profit,hit 2R %,win% std err
Monday,329,20.23370233702337,44.37689969604863,-0.0010425484555789417,5.269422492401205,1733.6399999999962,3.617744904785966,9.422492401215806,2.749314974088586
Tuesday,335,20.60270602706027,49.55223880597015,0.13382102333175602,38.21534328358208,12802.139999999996,26.715394635193405,17.313432835820898,2.7245830024635755
Wednesday,332,20.418204182041823,43.07228915662651,0.018409049868639612,5.427951807228902,1802.0799999999954,3.760564902757604,16.566265060240966,2.7368651819365137
Thursday,329,20.23370233702337,42.857142857142854,0.06768375014949302,23.559452887537983,7751.059999999996,16.174844732291803,17.325227963525837,2.749314974088586
Friday,301,18.51168511685117,52.159468438538205,0.20588890830320342,79.1745514950166,23831.539999999997,49.731450824971226,16.943521594684384,2.874347015257483
