a,b,corr,overlap_obs
BZ,ZW,0.095,10285
BZ,CT,0.095,9471
CL,DC,0.094,5138
ES,GF,0.094,10140
LE,RTY,0.094,9446
GF,YM,0.093,9835
DC,ZS,0.092,5106
HO,ZW,0.091,9710
RB,ZR,0.091,5026
CL,SB,0.091,9924
6B,ZT,0.091,10465
ES,ZS,0.091,10097
CT,PA,0.091,9606
6B,CL,0.09,10031
6A,SB,0.09,10233
SI,YM,0.09,9694
6B,YM,0.089,10286
KC,ZC,0.089,9822
CT,PL,0.088,9567
CC,DC,0.088,5044
YM,ZS,0.087,9850
6B,CC,0.087,10381
GC,ZN,0.086,9991
CT,NQ,0.086,9153
PL,ZC,0.086,10376
LBR,NQ,0.086,9869
NG,ZC,0.085,9223
RB,ZO,0.085,5079
6A,KC,0.085,10210
NQ,SI,0.084,9498
HG,ZW,0.083,8186
LBR,RB,0.083,4992
6A,CT,0.083,10149
CT,YM,0.082,9517
HG,LBR,0.082,8093
SI,ZW,0.081,9992
HO,YM,0.08,9610
PA,SB,0.08,9908
GC,SB,0.079,9492
GF,NQ,0.079,9895
6N,ZC,0.078,10472
CT,HO,0.078,9299
BZ,NQ,0.078,9742
ES,LE,0.078,10138
KC,RTY,0.077,9349
HG,ZR,0.076,8138
CL,KC,0.076,9851
ZR,ZS,0.076,9941
6E,CC,0.075,10187
6E,ZN,0.074,10278
LE,YM,0.074,9829
CT,SB,0.074,9483
6A,LBR,0.073,10168
KC,SB,0.073,10175
6E,ZC,0.072,10281
6E,RTY,0.072,9418
BZ,KC,0.072,9686
RTY,ZC,0.072,9437
6N,SB,0.071,10225
6N,KC,0.07,10202
NKD,RB,0.07,4673
HO,SB,0.07,9945
LE,NQ,0.07,9885
6B,ES,0.07,13516
6B,ZF,0.069,10304
GC,ZW,0.069,10001
DC,SB,0.068,5177
LE,PL,0.068,9907
SI,ZR,0.068,9946
6B,ZC,0.068,10466
NKD,ZS,0.068,9299
GC,KC,0.067,9421
NKD,RTY,0.067,8612
ES,ZC,0.067,9852
DC,HG,0.067,4484
6A,ZW,0.067,10482
6N,CT,0.067,10119
LE,RB,0.067,5014
BZ,DC,0.066,5311
6E,SB,0.066,10148
LE,SI,0.066,9472
CL,NQ,0.066,9791
NQ,ZS,0.065,9870
HO,KC,0.065,9920
6A,LE,0.064,10176
RTY,ZW,0.064,9470
6B,SB,0.063,10233
6E,CT,0.063,9941
HE,ZS,0.063,10072
CC,KC,0.063,9825
6N,ZW,0.063,10487
6B,CT,0.063,10149
LE,PA,0.062,9872
ZO,ZW,0.062,10471
RTY,SB,0.062,9420
CT,GC,0.062,9181
6E,BZ,0.061,10183
CC,SI,0.061,9711
CT,KC,0.061,9479
ES,KC,0.061,10109
HG,LE,0.06,8106
6E,HO,0.06,10054
6E,KC,0.059,10123
YM,ZC,0.059,10114
BZ,LBR,0.059,9707
6E,CL,0.059,9950
6B,NQ,0.058,9931
KC,YM,0.058,9722
HO,NQ,0.058,9666
NG,ZW,0.057,9238
KC,ZW,0.057,9841
6A,CC,0.056,10381
NKD,YM,0.055,9326
6A,NG,0.055,9297
NKD,NQ,0.055,9024
LE,ZS,0.055,10088
SB,ZR,0.055,9912
SB,ZO,0.054,9932
6B,KC,0.054,10210
PA,ZW,0.054,10428
GC,ZB,0.054,9951
PL,ZW,0.054,10389
CC,GC,0.053,9718
KC,NQ,0.052,9780
ZC,ZR,0.052,10383
CL,LE,0.051,9903
CL,LBR,0.051,9887
GC,NG,0.051,9300
DC,ZR,0.051,5265
NQ,ZC,0.05,9863
DC,LE,0.05,5130
6N,NG,0.05,9303
6E,ZW,0.05,10297
ES,ZW,0.05,9879
YM,ZR,0.049,10143
SI,ZO,0.049,9997
GF,RB,0.049,5029
ES,NKD,0.049,9367
NG,ZS,0.049,8798
