strategy,market,setups,trades,skipped,win_pct,avg_pnl,profit_factor,total_pnl,max_dd,holdout_trades,holdout_avg,holdout_pf,holdout_pnl
orb15_close_confirm,MNQ,600,63,537,47.61904761904761,14.771937963820854,1.261434906894143,930.6320917207138,788.274769828779,13,60.74888131622838,2.7642725817084663,789.7354571109689
orb15_breakout,MES,604,508,96,37.99212598425197,-2.432594102039117,0.9620791660479319,-1235.7578038358715,4318.94987661718,183,4.303247373584007,1.0724053678260126,787.4942693658733
orb15_trend20,MNQ,440,116,324,40.51724137931034,10.697018922465777,1.1867958406512966,1240.85419500603,947.4188383940298,26,9.931893530868946,1.1737377217580054,258.2292318025926
pdh_fade_wide,MNQ,88,4,84,25.0,-34.10431255553624,0.6224023113271265,-136.41725022214496,361.2767088209805,1,224.85945859883554,inf,224.85945859883554
orb15_close_confirm,MES,604,400,204,42.25,0.4431854476653956,1.0082534810570414,177.27417906615824,2556.815124216523,131,0.7972205952117111,1.0160743324329522,104.43589797273415
orb15_breakout,MNQ,604,153,451,45.09803921568628,24.773018840557874,1.4325438236845975,3790.2718826053547,664.9758297741428,30,-0.13741012016032575,0.9978608887781604,-4.1223036048097725
pdh_reject_confirm,MES,220,198,22,36.36363636363637,-22.999334759530562,0.6625007621981676,-4553.868282387051,5367.722902621125,70,-0.11613643071938233,0.9981162617002588,-8.129550150356764
pdh_fade_wide,MES,96,64,32,35.9375,0.8637418828458774,1.0170706192474521,55.27948050213615,724.9739984066746,24,-0.8567183344218504,0.983694165865878,-20.56124002612441
orb15_tsmom_confirm,MNQ,363,47,316,40.42553191489361,-1.3601723072878942,0.9780223443491253,-63.928098442531024,938.8215574290093,7,-6.846306318631845,0.8910585176219149,-47.92414423042291
gap_fade_confirmed,MES,140,118,22,36.440677966101696,-14.746280934749498,0.7931489000385861,-1740.0611503004407,2086.3353262112273,38,-3.2595163671288097,0.9451280059553581,-123.86162195089477
pdh_breakout_comp,MES,96,96,0,35.41666666666667,-8.538631060135927,0.8762957230136923,-819.708581773049,1391.4076227914713,43,-4.3103379665731065,0.9328720250597549,-185.34453256264356
pdh_breakout_comp,MNQ,102,73,29,26.027397260273972,-28.450154168181765,0.5846083419905286,-2076.861254277269,2396.777000623096,27,-7.243567150337183,0.8815923010336602,-195.57631305910394
gap_fade_confirmed,MNQ,162,56,106,32.142857142857146,12.435850040339261,1.1812522197633992,696.4076022589986,1505.80019330918,8,-38.840361178551106,0.5755580773590553,-310.72288942840885
orb15_tsmom_confirm,MES,405,293,112,41.63822525597269,-3.972414869632966,0.9244062120541992,-1163.917556802459,1857.7950777646133,102,-6.483974035531155,0.8692760885331613,-661.3653516241778
orb15_trend20,MES,474,400,74,35.5,-13.966988839907426,0.7872845718701575,-5586.7955359629705,6837.359721167535,143,-8.178676345173015,0.8671354545831379,-1169.5507173597412
orb15_failed_break,MNQ,468,347,121,48.70317002881844,-20.314967773948204,0.6318710178907093,-7049.293817560027,7146.698393718669,119,-13.504391618013738,0.7510303114962831,-1607.0226025436348
pdh_reject_confirm,MNQ,225,116,109,30.17241379310345,-26.772105508085094,0.6045914876847204,-3105.564238937871,3491.020975794748,38,-50.14166524704958,0.38769343587260113,-1905.3832793878842
pdh_fade_all,MES,292,257,35,34.24124513618677,-18.055883627594348,0.7255790824858278,-4640.362092291747,4640.362092291749,106,-19.13737007913648,0.7049981756359766,-2028.561228388467
pdh_fade_all,MNQ,283,136,147,27.205882352941174,-32.37619579375884,0.5430344975554887,-4403.162627951202,4555.0444188466845,53,-41.516001880879834,0.465847585677303,-2200.348099686631
orb15_midstop,MNQ,604,463,141,26.565874730021598,-27.929162792842234,0.6282478630312904,-12931.202373085955,13244.853247749794,152,-32.336399263803955,0.5743819084945697,-4915.1326880982015
orb15_failed_break,MES,481,464,17,44.612068965517246,-39.585322402198024,0.39055798509225603,-18367.589594619883,18727.04334455485,179,-27.532715239356204,0.5108589034360521,-4928.35602784476
orb15_midstop,MES,604,594,10,21.71717171717172,-56.62121120414425,0.41656266675251485,-33632.999455261684,33663.39368290603,233,-47.33325257725508,0.47273797656117816,-11028.647850500434
