year,trades,win_pct,average_pnl,net_pnl
2024,119,39.49579831932773,0.2598297299730177,30.919737866789106
2025,60,36.666666666666664,-0.34159683574355276,-20.495810144613166
2026,16,43.75,9.085098873046263,145.3615819687402
