strategy,sharpe,se,tstat,cagr,vol,maxdd,hit,exposure,days,turnover,beta,hold
XS reversal 3d rank,-0.08956414159785947,0.6215110110832148,-0.1441070874058378,-0.0151685053296855,0.10691493166430376,-0.13858103997408355,0.48091603053435117,1.0,655,132.9900118315443,0.1561732120969693,5d
XS reversal 5d rank,-0.33815571345956674,0.6377537035716927,-0.530229321391237,-0.041605818224788815,0.1083609944232091,-0.15624060018542107,0.48091603053435117,1.0,655,134.43735598576177,0.19458009613809593,5d
XS reversal 10d rank,-0.2063870416514115,0.62683872669469,-0.3292506235849321,-0.027426939713446563,0.10706360944222416,-0.23252947715394878,0.47938931297709925,1.0,655,102.67304573006825,0.16353280150042027,5d
XS reversal 21d rank,0.04162617928265623,0.6205369813105921,0.06708090014996453,-0.0012895649166289047,0.10767083071741368,-0.1283463972008797,0.48854961832061067,1.0,655,74.39167711800903,0.1454169801550626,5d
XS momentum 5d (control),0.33815571345956674,0.6377537035716927,0.530229321391237,0.03122324991302694,0.1083609944232091,-0.16375730502980124,0.5190839694656488,1.0,655,134.43735598576177,-0.19458009613809593,5d
Spread reversion (8 pairs),1.4419992056793582,0.8858511026786892,1.6278121699221861,0.12274686044263938,0.0826676478414099,-0.10136075179787107,0.5231788079470199,0.9221374045801527,655,42.9969069233505,0.06600240842871541,<=15d
NR7 breakout,0.13576244539692628,0.6231199039640622,0.21787531506096172,0.009016216452499393,0.11529747878741492,-0.19134693698443417,0.5160796324655437,0.9969465648854962,655,179.39459493560193,-0.03140872361106631,5d
NR7 breakout [adverse fills],-0.215116597842349,0.6274030675219825,-0.3428682596213349,-0.031381246992635004,0.11648238083762807,-0.2115986187361225,0.5038284839203675,0.9969465648854962,655,181.38789681937652,0.0009957911378196782,5d
"NR7 breakout [skip-ambig, BIASED]",1.2044546103337666,0.8147397603081167,1.478330466992636,0.13675085121957276,0.11157578052465782,-0.09761422416197607,0.5439137134052389,0.9908396946564886,655,172.49366623791693,-0.03456309148227094,5d
"Donchian-20 break, 5d exit",-0.5687345818626464,0.6685472881473571,-0.8507020998300563,-0.07597918594198871,0.12492932072999453,-0.2776070060852146,0.5109034267912772,0.9801526717557252,655,131.61567610724018,-0.11200946823287339,5d
"Donchian-20 break, 20d exit",-0.3405822269428611,0.6380020434973844,-0.5338262320851914,-0.042813875359846265,0.11055908623173678,-0.17339995186210666,0.5114503816793893,1.0,655,58.69251401898442,-0.04283822184469718,20d
Turn-of-month (index sleeve),-0.12048134074123834,0.6225151948687435,-0.19353959828505338,-0.014388924851119422,0.08789770113337177,-0.1348298219708589,0.5517241379310345,0.22137404580152673,655,26.931297709923662,0.30088982717975454,5d
Benchmark: ES buy & hold,1.212096178942072,0.8169168630304058,1.483744838422998,0.18918288931698135,0.15256099369053214,-0.18902229672037896,0.5668789808917197,0.9587786259541985,655,0.0,0.9999999999999999,hold
Benchmark: EW panel long,1.2204066702362903,0.8192935399685604,1.4895841486594932,0.10959972707573895,0.08844237465545285,-0.0809097846420086,0.549618320610687,1.0,655,0.0,0.26243571343882893,hold
