market,start,trough,end,depth_pct,length_days,recovery_days
NG,1990-11-27,1992-02-14,1995-12-20,-60.6,1290,977
NG,1996-01-09,1996-09-04,1996-11-19,-49.9,226,54
NKD,1989-12-28,2009-03-10,2026-07-02,-84.6,8590,4081
NKD,1984-04-03,1984-07-23,1985-03-26,-20.9,235,159
NKD,1987-10-15,1987-10-20,1988-01-22,-18.4,61,57
NKD,1987-06-12,1987-07-22,1987-08-26,-17.9,54,25
NKD,1986-08-21,1986-10-27,1987-01-19,-17.4,94,48
NQ,2000-03-28,2002-10-07,2014-11-17,-75.3,3552,2940
NQ,1987-10-06,1987-10-26,1989-05-24,-39.9,401,386
NQ,2021-11-22,2022-11-03,2023-12-12,-37.9,501,266
NQ,1990-07-17,1990-10-11,1991-02-05,-33.3,138,77
NQ,2020-02-20,2020-03-20,2020-06-04,-28.0,72,50
PA,2001-01-29,2003-04-29,2018-01-11,-86.5,4422,3835
PA,2022-03-09,2024-08-05,2026-07-02,-75.1,1111,484
PA,1989-04-17,1992-01-06,1997-05-19,-56.7,2111,1400
PA,2021-05-05,2021-12-15,2022-03-03,-46.5,217,56
PA,2020-02-28,2020-03-18,2021-04-20,-44.2,298,284
PL,2008-03-06,2020-03-19,2025-12-22,-74.2,4633,1494
PL,1986-09-08,1992-01-06,2003-12-01,-56.2,4414,3089
PL,2026-01-27,2026-06-30,2026-07-02,-45.4,111,2
PL,2025-12-24,2025-12-31,2026-01-22,-21.2,18,14
PL,2006-05-24,2006-10-24,2007-04-19,-19.8,235,125
RB,2008-07-14,2020-03-23,2022-02-23,-80.2,3419,494
RB,2022-06-10,2025-12-16,2026-05-01,-52.8,974,96
RB,2006-05-12,2007-01-11,2007-04-11,-40.0,217,58
RB,2006-01-09,2006-02-15,2006-04-04,-25.4,49,23
RB,2026-05-19,2026-06-16,2026-07-02,-23.4,33,12
RTY,2007-06-05,2009-03-09,2011-04-04,-58.4,936,508
RTY,2018-09-05,2020-03-18,2020-11-06,-42.2,528,159
RTY,1987-08-26,1987-10-28,1989-06-01,-39.2,432,388
RTY,1998-04-22,1998-10-08,2000-01-20,-38.6,427,311
RTY,2002-04-17,2002-10-09,2004-01-07,-37.0,421,301
SB,1988-07-20,1999-05-03,2009-09-29,-77.7,5121,2506
SB,2011-02-03,2020-04-27,2026-07-02,-74.6,3832,1520
SB,1984-10-16,1986-09-29,1988-06-24,-66.8,892,422
SB,2010-02-01,2010-05-06,2010-11-03,-54.1,188,123
SB,1984-07-25,1984-09-17,1984-10-01,-29.1,47,10
SI,2011-04-29,2020-03-19,2025-11-27,-77.2,3775,1469
SI,1987-08-05,1991-02-22,2004-04-05,-57.2,4319,3399
SI,2008-03-06,2008-11-20,2010-09-20,-56.9,663,477
SI,2026-01-29,2026-06-24,2026-07-02,-50.8,111,6
SI,2006-05-12,2006-06-14,2007-11-05,-34.9,385,361
VX,1990-08-24,2025-12-24,2026-07-02,-99.4,9000,134
VX,1990-01-31,1990-07-20,1990-08-22,-56.9,138,23
VX,1990-01-16,1990-01-19,1990-01-19,-14.6,4,0
VX,1990-01-11,1990-01-11,1990-01-11,-10.7,1,0
VX,1990-01-23,1990-01-23,1990-01-29,-7.4,5,4
YM,2007-10-10,2009-03-09,2013-05-02,-53.8,1408,1039
YM,1999-07-19,2002-10-09,2006-09-27,-37.8,1864,1035
YM,2020-02-13,2020-03-23,2020-11-12,-36.7,186,160
YM,1987-08-26,1987-10-19,1989-08-23,-36.1,521,482
YM,1990-07-18,1990-10-11,1991-05-30,-21.2,225,163
ZB,2020-03-10,2023-10-19,2026-07-02,-72.0,1594,685
ZB,1986-07-16,1987-10-16,1993-02-16,-57.7,1720,1392
ZB,1993-10-18,1994-11-07,1998-01-02,-48.9,1100,824
ZB,2008-12-19,2010-04-05,2012-07-20,-48.9,936,599
