ts_event,09:30|OR15|close     |both,09:30|OR15|close     |trend,09:30|OR15|or_stop   |both,09:30|OR15|or_stop   |trend,09:30|OR15|or_stop_2r|both,09:30|OR15|or_stop_2r|trend,09:30|OR30|close     |both,09:30|OR30|close     |trend,09:30|OR30|or_stop   |both,09:30|OR30|or_stop   |trend,09:30|OR30|or_stop_2r|both,09:30|OR30|or_stop_2r|trend,09:30|OR60|close     |both,09:30|OR60|close     |trend,09:30|OR60|or_stop   |both,09:30|OR60|or_stop   |trend,09:30|OR60|or_stop_2r|both,09:30|OR60|or_stop_2r|trend,08:20|OR15|close     |both,08:20|OR15|close     |trend,08:20|OR15|or_stop   |both,08:20|OR15|or_stop   |trend,08:20|OR15|or_stop_2r|both,08:20|OR15|or_stop_2r|trend,08:20|OR30|close     |both,08:20|OR30|close     |trend,08:20|OR30|or_stop   |both,08:20|OR30|or_stop   |trend,08:20|OR30|or_stop_2r|both,08:20|OR30|or_stop_2r|trend,08:20|OR60|close     |both,08:20|OR60|close     |trend,08:20|OR60|or_stop   |both,08:20|OR60|or_stop   |trend,08:20|OR60|or_stop_2r|both,08:20|OR60|or_stop_2r|trend
2019-07-31 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01 00:00:00-04:00,0.01918800000000002,0.0,0.01918800000000002,0.0,0.004737999999999864,0.0,0.01918800000000002,0.0,0.01918800000000002,0.0,0.004737999999999864,0.0,0.016887999999999955,0.0,0.016887999999999955,0.0,0.009337999999999999,0.0,0.01993800000000002,0.0,-0.0027620000000000227,0.0,-0.0027620000000000227,0.0,0.01918800000000002,0.0,-0.0035120000000000225,0.0,-0.0035120000000000225,0.0,0.01893800000000002,0.0,0.01893800000000002,0.0,0.007038000000000045,0.0
2019-08-02 00:00:00-04:00,-0.0001296,0.0,-0.0001296,0.0,-0.0001296,0.0,-0.0009296,0.0,-0.0009296,0.0,-0.0009296,0.0,-0.0017695999999999636,0.0,-0.0017695999999999636,0.0,-0.0017695999999999636,0.0,-0.0009296,0.0,-0.0009296,0.0,-0.0009296,0.0,-0.0009296,0.0,-0.0009296,0.0,-0.0009296,0.0,-0.0009296,0.0,-0.0009296,0.0,-0.0009296,0.0
2019-08-05 00:00:00-04:00,-0.0023296000000000002,0.0,-0.0018896000000000364,0.0,-0.0018896000000000364,0.0,-0.0023296000000000002,0.0,-0.0018896000000000364,0.0,-0.0018896000000000364,0.0,-0.0035296,0.0,-0.003089600000000036,0.0,-0.003089600000000036,0.0,-0.0012896000000000366,0.0,-0.001849600000000073,0.0,-0.001849600000000073,0.0,-0.0012896000000000366,0.0,-0.001849600000000073,0.0,-0.001849600000000073,0.0,-0.002009600000000018,0.0,-0.0025696000000000542,0.0,-0.0025696000000000542,0.0
2019-08-06 00:00:00-04:00,0.0019903999999999816,0.0,0.0019903999999999816,0.0,0.0019903999999999816,0.0,0.0019903999999999816,0.0,0.0019903999999999816,0.0,0.0019903999999999816,0.0,0.0006703999999999999,0.0,0.0006703999999999999,0.0,0.0006703999999999999,0.0,0.0023103999999999634,0.0,-0.0011696000000000547,0.0,-0.0011696000000000547,0.0,0.0021903999999999817,0.0,-0.0012896000000000366,0.0,-0.0012896000000000366,0.0,-0.003889600000000036,0.0,-0.001969600000000055,0.0,-0.001969600000000055,0.0
2019-08-07 00:00:00-04:00,-0.004412,0.0,-0.003912,0.0,-0.003912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001162,0.0,-0.001162,0.0,0.005638000000000181,0.0,-0.001162,0.0,-0.001162,0.0,0.005638000000000181,0.0,-0.0029619999999999543,0.0,-0.0029619999999999543,0.0,-0.0029619999999999543,0.0
2019-08-08 00:00:00-04:00,0.0037880000000000457,0.0,0.0037880000000000457,0.0,0.003238000000000091,0.0,0.0023880000000000685,0.0,0.0023880000000000685,0.0,0.0023880000000000685,0.0,0.0023880000000000685,0.0,0.0023880000000000685,0.0,0.0023880000000000685,0.0,-0.004612000000000046,0.0,-0.002561999999999977,0.0,-0.002561999999999977,0.0,-0.005662,0.0,-0.0036119999999999317,0.0,-0.0036119999999999317,0.0,0.0016380000000000682,0.0,0.0016380000000000682,0.0,0.0016380000000000682,0.0
2019-08-09 00:00:00-04:00,-0.0005619999999999773,0.0,-0.0005619999999999773,0.0,-0.0005619999999999773,0.0,-0.0005619999999999773,0.0,-0.0005619999999999773,0.0,-0.0005619999999999773,0.0,-0.0037620000000000227,0.0,-0.0037620000000000227,0.0,-0.0037620000000000227,0.0,-0.0004619999999999546,0.0,-0.002162,0.0,-0.002162,0.0,-0.0018119999999999773,0.0,-0.0035120000000000225,0.0,-0.0035120000000000225,0.0,-0.0018119999999999773,0.0,-0.0035120000000000225,0.0,-0.0035120000000000225,0.0
2019-08-12 00:00:00-04:00,0.002938000000000023,0.0,0.002938000000000023,0.0,0.003737999999999864,0.0,0.002438000000000023,0.0,0.002438000000000023,0.0,0.004737999999999864,0.0,0.002438000000000023,0.0,0.002438000000000023,0.0,0.004737999999999864,0.0,-0.005061999999999977,0.0,-0.0022119999999999545,0.0,-0.0022119999999999545,0.0,-0.005061999999999977,0.0,-0.0022119999999999545,0.0,-0.0022119999999999545,0.0,0.002438000000000023,0.0,0.002438000000000023,0.0,0.006637999999999954,0.0
2019-08-13 00:00:00-04:00,-0.0009620000000000683,0.0,-0.0009620000000000683,0.0,-0.0009620000000000683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006487999999999976,0.0,0.006487999999999976,0.0,0.008338,0.0,0.003688000000000023,0.0,0.003688000000000023,0.0,0.013937999999999909,0.0,0.003688000000000023,0.0,0.003688000000000023,0.0,0.013937999999999909,0.0
