cell,trades,trades_yr,SR_gross,cost_SR,SR_net,ann_vol,maxDD,skew,avg_ct,net_$,passes
OR15|or_stop_2r|both,1621,493.34782608695656,1.193179910439005,0.15596696522668974,1.0372129452123153,0.06795827252770296,-0.0816721133474424,0.8438487929539993,1.9222702035780384,46320.15999999998,BREACH
OR15|or_stop   |both,1621,493.34782608695656,1.0365858396593384,0.14472119031344877,0.8918646493458896,0.07325532016848034,-0.08500830628281608,1.7639443963295576,1.9222702035780384,42933.65999999998,BREACH
OR15|or_stop_2r|trend,1073,326.5652173913044,0.8570019809610318,0.14411836730910688,0.7128836136519249,0.048693270707660836,-0.05255787739372775,0.5416013815153294,1.9254426840633738,22811.159999999985,BREACH
OR15|or_stop   |trend,1073,326.5652173913044,0.8130547761338458,0.13819705633286894,0.6748577198009769,0.050786428068994936,-0.05360301097160369,0.8710646118377984,1.9254426840633738,22522.659999999985,BREACH
OR60|or_stop   |trend,810,246.52173913043478,0.7314044606891564,0.12640196943805615,0.6050024912511003,0.04187557316427899,-0.0675686821836794,0.14645320993205577,1.9259259259259258,16648.59999999999,BREACH
OR30|or_stop   |both,1581,481.1739130434783,0.7360641704157496,0.14187849688467946,0.5941856735310701,0.07249425515446146,-0.1050044817677609,1.463948759708761,1.9108159392789374,28306.45999999998,BREACH
OR60|or_stop   |both,1468,446.7826086956522,0.7239231522240606,0.14357049871762428,0.5803526535064363,0.06630084945862443,-0.10137930217212887,1.3848987336106402,1.904632152588556,25285.459999999985,BREACH
OR60|or_stop_2r|both,1468,446.7826086956522,0.7181330181586305,0.14990689229648724,0.5682261258621433,0.0634871333509207,-0.07988440259866258,0.43197953123306193,1.904632152588556,23706.459999999985,BREACH
OR60|or_stop_2r|trend,810,246.52173913043478,0.691806982853211,0.12876370099413015,0.5630432818590808,0.04111650082881458,-0.07302605874689183,-0.0646531937340242,1.9259259259259258,15213.099999999991,BREACH
OR30|or_stop_2r|both,1581,481.1739130434783,0.6630168752137147,0.15216226048112447,0.5108546147325902,0.06760696573693743,-0.09897587842416411,0.5288763143213997,1.9108159392789374,22695.95999999998,BREACH
OR60|close     |trend,810,246.52173913043478,0.6140370866140358,0.10949518860404317,0.5045418980099926,0.04840387429670304,-0.09044954092691826,-1.7953095734971454,1.9259259259259258,16048.599999999995,BREACH
OR30|or_stop   |trend,961,292.47826086956525,0.5862917310140279,0.12980158323804303,0.45649014777598484,0.04845001941332731,-0.06913034301145315,0.50146542031032,1.9250780437044746,14533.999999999989,BREACH
OR30|or_stop_2r|trend,961,292.47826086956525,0.5675023763698565,0.13288989455061023,0.4346124818192462,0.04732801906651558,-0.06734338421705921,0.29870747025918276,1.9250780437044746,13516.999999999987,BREACH
OR15|close     |both,1621,493.34782608695656,0.5075117294374439,0.11822905745683249,0.38928267198061145,0.089804039681171,-0.16042075308466008,0.1878648255141482,1.9222702035780384,22973.159999999993,BREACH
OR15|close     |trend,1073,326.5652173913044,0.4808154323448033,0.10682243042831374,0.37399300191648954,0.0658191343849543,-0.08369085595330916,-1.0449836342217584,1.9254426840633738,16176.159999999987,BREACH
OR60|close     |both,1468,446.7826086956522,0.4373706210162232,0.12921290150594433,0.30815771951027887,0.07371946344629106,-0.1465944796502765,0.17032198384894648,1.904632152588556,14928.459999999988,BREACH
OR30|close     |trend,961,292.47826086956525,0.36211838443522804,0.1056886424234253,0.25642974201180274,0.05959255828882251,-0.09071503069949316,-1.419047397683429,1.9250780437044746,10041.99999999999,BREACH
OR30|close     |both,1581,481.1739130434783,0.2913967921354089,0.12199398388060961,0.1694028082547993,0.08439008502032501,-0.2474805075100862,0.13300655972375314,1.9108159392789374,9394.459999999988,BREACH
