year,median_px,contract_$,ann_vol,ann_vol_$,cost_SR_trade,annual_cost_SR,min_cap_1ct,min_cap_4ct
2016,1138.25,11382.5,0.1079292018732462,1228.5041403222249,0.0009116778391208636,0.45948563091691524,10237.534502685208,40950.13801074083
2017,1263.0,12630.0,0.10520834354785634,1328.7813790094256,0.000842877555098592,0.4248102877696904,11073.17815841188,44292.71263364752
2018,1263.4,12634.0,0.0970319104449999,1225.9011565621288,0.0009136136253765239,0.46046126718976804,10215.842971351074,40863.371885404296
2019,1412.4,14124.0,0.10447415815962369,1475.5930098465249,0.0007590168783169353,0.3825445066717354,12296.608415387707,49186.43366155083
2020,1784.8,17848.0,0.16900976958972178,3016.4863676373543,0.0003712929095307776,0.18713162640351189,25137.386396977952,100549.54558791181
2021,1794.1,17941.0,0.13666359758887614,2451.881604342027,0.00045679204004654906,0.23022318818346071,20432.346702850227,81729.38681140091
2022,1809.45,18094.5,0.14340871664363058,2594.909023308174,0.00043161436101992693,0.21753363795404318,21624.24186090145,86496.9674436058
2023,1959.0,19590.0,0.1359326490024291,2662.920593957586,0.0004205908364452865,0.2119777815684244,22191.00494964655,88764.0197985862
2024,2391.8,23918.0,0.15509305841052906,3709.515771063034,0.00030192619983902705,0.15217080471886962,30912.631425525287,123650.52570210115
2025,3369.5,33695.0,0.16263772166904347,5480.07803163842,0.00020437665185310243,0.10300583253396363,45667.316930320165,182669.26772128066
2026,4608.85,46088.5,0.2811342655802096,12957.056599193491,8.643938470329089e-05,0.04356544989045861,107975.47165994576,431901.88663978304
