year,6A,6B,6E,6N,BZ,CC,CL,CT,DC,ES,GC,GF,HE,HG,HO,KC,LBR,LE,NG,NKD,NQ,PA,PL,RB,RTY,SB,SI,VX,YM,ZB,ZC,ZF,ZN,ZO,ZR,ZS,ZT,ZW
1987,9.0,9.6,10.2,12.9,30.4,40.7,25.7,43.8,,32.3,13.2,12.8,34.0,,25.3,30.4,29.8,19.9,,29.0,33.7,29.1,28.8,,34.9,68.2,33.9,,34.3,40.3,40.8,9.1,14.1,29.6,34.5,18.7,2.7,26.5
1988,9.9,10.3,9.3,12.4,37.0,88.2,35.3,38.5,,16.5,12.5,14.1,31.1,29.7,32.2,26.3,18.8,17.8,,13.7,16.6,22.7,27.4,,9.8,97.7,25.2,,17.9,27.8,45.5,4.7,9.2,37.9,33.3,33.9,1.8,33.2
1989,12.7,12.3,10.7,9.9,25.2,119.8,35.0,35.2,,13.2,13.2,8.2,28.7,33.9,31.8,38.2,15.0,14.2,,14.7,13.6,24.5,19.5,,8.1,42.5,18.7,,14.0,22.4,21.3,5.2,8.6,29.7,17.0,23.9,2.4,15.7
1990,10.6,9.9,8.7,8.3,54.1,120.1,59.6,39.6,,15.9,16.9,8.5,26.1,32.5,54.5,29.6,19.7,13.9,63.6,36.7,21.8,20.4,19.0,,13.3,32.9,17.9,124.7,16.1,26.6,21.7,4.4,9.1,28.0,25.4,17.3,2.0,24.9
1991,6.4,12.3,13.0,7.7,53.6,65.4,52.4,39.1,,14.3,12.1,10.8,27.4,17.1,53.9,26.0,27.0,13.6,49.7,24.2,20.9,25.6,16.8,,12.5,42.2,21.6,105.8,14.6,20.9,20.1,3.5,7.0,28.6,15.9,21.9,1.5,26.7
1992,7.2,14.4,13.2,6.6,18.4,91.7,17.9,47.4,,9.6,7.8,8.8,27.8,13.5,22.5,36.1,26.6,11.2,66.4,32.5,19.6,17.7,15.0,,9.9,30.9,14.8,69.3,10.1,17.6,21.3,5.2,8.2,29.4,11.8,14.2,2.2,30.2
1993,9.3,12.6,9.8,6.6,22.0,73.1,23.3,36.3,,8.1,14.1,8.1,25.7,21.2,19.7,43.7,46.2,12.5,65.7,23.8,16.5,25.9,16.0,,8.1,39.8,29.5,78.8,8.6,19.9,24.0,4.2,7.6,24.4,29.3,17.0,1.7,39.0
1994,7.4,7.3,8.5,5.3,26.8,70.0,27.7,27.9,,9.8,9.0,10.9,30.6,24.0,29.7,61.7,39.8,15.3,58.3,20.4,16.6,13.4,13.1,,10.0,24.2,22.6,94.3,11.0,27.3,25.6,5.3,10.2,33.0,33.3,17.6,2.3,22.2
1995,8.4,9.0,10.2,6.0,20.4,69.9,19.3,45.1,,7.8,6.3,11.7,32.4,22.9,20.0,35.5,42.9,15.0,71.4,25.4,21.9,16.7,13.2,,8.1,30.2,26.4,76.6,8.0,20.7,22.4,4.7,8.2,28.2,24.1,16.5,2.0,25.1
1996,6.4,6.0,6.0,5.8,38.1,69.6,38.5,36.3,,11.4,5.8,16.7,24.8,35.7,39.7,44.6,40.4,19.6,95.5,15.9,22.6,18.6,9.2,,10.6,25.2,16.4,89.7,11.8,25.6,38.9,5.3,10.3,146.4,18.5,20.2,2.0,48.1
1997,9.5,8.3,9.1,8.4,26.5,56.1,28.5,21.5,,17.9,12.0,11.5,24.2,26.7,27.8,74.3,31.3,16.0,92.2,31.5,27.0,47.5,21.9,,13.0,18.2,23.9,85.2,18.4,21.0,28.0,3.7,7.8,145.3,20.2,33.2,1.4,24.9
1998,13.3,7.4,8.6,14.2,41.3,58.3,47.5,28.2,,20.0,12.6,13.8,40.1,23.7,35.4,37.3,35.2,17.4,57.4,34.6,32.0,50.6,20.3,,19.9,31.5,31.1,99.0,18.1,21.0,32.0,5.2,8.8,142.7,17.6,19.8,1.8,44.5
