date,trades,net,win_rate,cum
1,21,702.9199999999997,0.5714285714285714,702.9199999999997
2,20,4937.74,0.7,5640.66
3,21,-1325.0400000000002,0.38095238095238093,4315.62
4,21,-313.5400000000002,0.38095238095238093,4002.08
5,21,-320.5400000000002,0.42857142857142855,3681.54
6,21,-3311.54,0.2857142857142857,370.0
7,23,-2685.52,0.34782608695652173,-2315.52
8,5,1600.3,0.6,-715.22
