strategy,market,setups,trades,skipped,win_pct,avg_pnl,profit_factor,total_pnl,max_dd,holdout_trades,holdout_avg,holdout_pf,holdout_pnl,windows,pass_pct,breach_pct,timeout_pct,median_pass_days,first_outcome,first_days,first_end
orb15_breakout,MES,604,331,273,37.46223564954683,-0.28316704504247076,0.9925206150687108,-93.72829190905782,1977.657569894829,98,2.0443395026722246,1.0555680759244388,200.345271261878,73,26.027397260273972,26.027397260273972,47.94520547945205,116.0,breach,51,23955.066456400975
orb15_close_confirm,MES,604,205,399,40.97560975609756,0.39248462626639546,1.011175867043949,80.45934838461108,1066.1742642779427,49,-4.042618647748533,0.8938476073522827,-198.0883137396781,73,6.8493150684931505,16.43835616438356,76.71232876712328,90.0,breach,131,24159.72007476475
gap_fade_confirmed,MNQ,162,22,140,40.909090909090914,39.349192373533405,2.0353494647443817,865.682232217735,369.9098198970314,3,105.3054758327467,3.9963240293789313,315.91642749824007,73,0.0,0.0,100.0,,timeout,610,25865.682232217732
pdh_reject_confirm,MES,220,148,72,35.13513513513514,-10.243237457376683,0.7454505351284989,-1515.9991436917492,2285.6845028703647,55,5.58003312137382,1.1550011399769546,306.9018216755601,73,0.0,72.6027397260274,27.397260273972602,,breach,137,23960.523368429487
orb15_close_confirm,MNQ,600,5,595,40.0,9.134864167914355,1.2043032137717822,45.67432083957178,146.98436107498856,0,,,0.0,73,0.0,0.0,100.0,,timeout,610,25045.67432083957
orb15_tsmom_confirm,MNQ,363,3,360,33.33333333333333,-3.7398689747873752,0.9254763608757812,-11.219606924362125,150.55098028238717,0,,,0.0,73,0.0,0.0,100.0,,timeout,610,24988.780393075638
orb15_breakout,MNQ,604,14,590,50.0,25.573931512961508,1.68444822683113,358.0350411814611,148.08791970622042,1,-79.79936248468184,0.0,-79.79936248468184,73,0.0,0.0,100.0,,timeout,610,25358.03504118146
orb15_trend20,MNQ,440,11,429,45.45454545454545,18.417199638582982,1.451683768797807,202.58919602441281,158.38674354393515,1,-79.79936248468184,0.0,-79.79936248468184,73,0.0,0.0,100.0,,timeout,610,25202.589196024415
pdh_fade_wide,MES,96,14,82,42.857142857142854,10.92847425824698,1.5105912684323337,152.99863961545773,141.09631300163164,3,-30.926876177914977,0.0,-92.78062853374493,73,0.0,0.0,100.0,,timeout,610,25152.998639615456
pdh_fade_all,MNQ,283,33,250,36.36363636363637,2.044154991885181,1.0483948751159669,67.45711473221097,516.2401746184696,8,-16.844932320659282,0.6550007589299798,-134.75945856527426,73,0.0,0.0,100.0,,timeout,610,25067.457114732217
pdh_breakout_comp,MNQ,102,20,82,10.0,-58.60590882647582,0.0854921802228291,-1172.1181765295164,1172.118176529515,4,-52.6670256283235,0.03346488166085967,-210.668102513294,73,0.0,0.0,100.0,,breach,392,23975.357953956016
pdh_fade_all,MES,292,174,118,35.63218390804598,-7.548639298302582,0.8005168350656493,-1313.4632379046493,1500.7745835768328,67,-4.606024648393891,0.8696795080710142,-308.6036514423907,73,0.0,53.42465753424658,46.57534246575342,,breach,221,23975.240807617312
pdh_breakout_comp,MES,96,86,10,33.72093023255814,-9.10605880492287,0.7703091705006676,-783.1210572233668,954.6198148543008,37,-9.105269315889942,0.7549172718809893,-336.8949646879278,73,0.0,0.0,100.0,,breach,569,24042.98901600546
orb15_failed_break,MNQ,468,223,245,41.25560538116592,-14.326219172952344,0.6102605448466195,-3194.7468755683726,3274.1686681435604,68,-5.5782360413237715,0.8406598132080635,-379.3200508100165,73,0.0,76.71232876712328,23.28767123287671,,breach,87,23986.54917376958
pdh_reject_confirm,MNQ,225,55,170,23.636363636363637,-21.363322943342983,0.5598240786039379,-1174.982761883864,1228.3706382374112,17,-22.689532115896288,0.5786522851480952,-385.7220459702369,73,0.0,2.73972602739726,97.26027397260275,,breach,213,23998.865778531974
orb15_tsmom_confirm,MES,405,160,245,38.75,-2.230084213028369,0.935325802272324,-356.813474084539,802.4471934491048,42,-10.257967740641922,0.7243095749921494,-430.83464510696075,73,0.0,0.0,100.0,,timeout,610,24643.186525915466
gap_fade_confirmed,MES,140,74,66,25.675675675675674,-16.226069517984353,0.6697535146091583,-1200.7291443308422,1559.1370567436752,19,-24.863433536926763,0.5397745517437388,-472.4052372016085,73,0.0,26.027397260273972,73.97260273972603,,breach,351,24338.470028528372
orb15_trend20,MES,474,266,208,33.45864661654135,-8.35264589027332,0.7887569214080614,-2221.8038068127034,2653.1564824938105,81,-9.197810184705368,0.7694692447601525,-745.0226249611347,73,0.0,79.45205479452055,20.54794520547945,,breach,123,24150.779107595477
orb15_midstop,MNQ,604,232,372,25.0,-18.23948149295576,0.6131503499873852,-4231.559706365737,4286.42795867454,47,-17.40669233145729,0.6296327745958373,-818.1145395784926,73,0.0,100.0,0.0,,breach,57,23972.19465930572
orb15_failed_break,MES,481,407,74,43.24324324324324,-24.67738075424296,0.3776396047690167,-10043.693966976885,10213.010049736935,157,-18.304279277656143,0.48042504229659594,-2873.7718465920143,73,0.0,100.0,0.0,,breach,26,23974.058565797164
orb15_midstop,MES,604,547,57,21.755027422303474,-32.143203138109,0.4149588765432849,-17582.332116545622,17699.58036820705,204,-25.792463294367348,0.48745040458690064,-5261.662512050939,73,0.0,100.0,0.0,,breach,26,23972.58245552437
