year,median_px,contract_$,ann_vol,ann_vol_$,cost_SR_trade,annual_cost_SR,min_cap_1ct,min_cap_4ct
2020,10915.5,21831.0,0.2659650171731151,5806.282289906276,0.0001498377027779756,0.0755182022000997,48385.68574921897,193542.74299687587
2021,14582.25,29164.5,0.16760805519745314,4888.205125806122,0.00017797943777093987,0.0897016366365537,40735.042715051015,162940.17086020406
2022,12361.25,24722.5,0.316917186862976,7834.985152219924,0.00011104041463990506,0.05596436897851215,65291.542935166035,261166.17174066414
2023,14830.5,29661.0,0.177097764180022,5252.896783343632,0.0001656229002554697,0.08347394172875673,43774.139861196934,175096.55944478774
2024,19100.5,38201.0,0.1578410985412663,6029.687805374913,0.00014428607717044235,0.07272018289390295,50247.39837812428,200989.59351249711
2025,22859.5,45719.0,0.1863898853785282,8521.55916962093,0.00010209399274038024,0.05145537234115164,71012.99308017442,284051.9723206977
2026,26722.0,53444.0,0.19620470996221587,10485.964519220664,8.296804727932266e-05,0.04181589582877862,87383.03766017221,349532.15064068884
