window,from,to,sessions,trades,win %,hit 2R %,stopped %,flat-at-close %,long %,avg R,payoff,avg $,total $,ann vol %,maxDD %,SR,SE(SR),SR 95% lo,SR 95% hi
3 months,2026-05-11,2026-08-07,64,64,34.375,4.6875,48.4375,46.875,48.4375,-0.2382719320931428,1.0940738226726503,-89.80250000000001,-5747.360000000001,6.123275148128045,-7.8977403415926855,-3.695772189319032,5.552308418426834,-14.578296689435625,7.186752310797562
6 months,2026-02-06,2026-08-07,128,128,41.40625,8.59375,45.3125,46.09375,56.25,-0.07557610683863727,1.095725272464842,-38.32984375000001,-4906.220000000001,5.605934442395928,-8.167211334744295,-1.7230170499232205,2.2115945482083217,-6.057742364411531,2.61170826456509
1 year,2025-08-08,2026-08-07,254,253,44.66403162055336,11.462450592885375,39.52569169960474,49.01185770750988,52.17391304347826,0.020170676809195823,1.315176598718662,9.598972332015821,2428.5400000000027,6.5543921921806705,-8.167211334744362,0.3676035194643504,1.0291550616389282,-1.6495404013479489,2.3847474402766498
all,2020-03-06,2026-08-07,1657,1626,46.309963099631,15.498154981549817,42.55842558425584,41.94341943419434,52.2140221402214,0.0829270382097716,1.3731519349405858,29.471377613776127,47920.459999999985,6.808335643250666,-8.16721133474424,1.0704294593446204,0.4890923833785377,0.11180838792268655,2.029050530766554
