inst,rule,lots_traded_yr,avg_pos,cost_SR,SR_gross,SR_net,passes
MNQ,EWMAC16,31.162901307966706,1.9326492003530245,0.0024564797459979415,0.4665109139661048,0.46405443422010684,pass
MNQ,EWMAC32,23.22235434007134,1.9326492003530245,0.002106914422054018,0.48319847541614647,0.48109156099409245,pass
MNQ,EWMAC64,22.623067776456597,1.9326492003530245,0.002049803553730245,0.2891342691781715,0.28708446562444123,pass
MNQ,ON18-06,972.0869565217391,1.928743961352657,0.14719166957692476,1.030430321357236,0.8832386517803111,BREACH
MES,EWMAC16,63.37455410225921,3.611461333230504,0.00676272655997176,0.20026940222974904,0.19350667566977728,pass
MES,EWMAC32,50.19024970273484,3.611461333230504,0.005714750829466431,0.2630742224252763,0.25735947159580985,pass
MES,EWMAC64,43.89774078478002,3.611461333230504,0.005280438237403484,0.28649148274095004,0.28121104450354656,pass
MES,ON18-06,1809.9565217391303,3.591183574879227,0.3693212503714371,0.759711880153728,0.39039062978229094,BREACH
MGC,EWMAC16,72.55913978494624,5.461820060759478,0.007533159602423456,0.40617290116368654,0.3986397415612631,pass
MGC,EWMAC32,42.65232974910395,5.461820060759478,0.0054281781510547855,0.5773580951479234,0.5719299169968686,pass
MGC,EWMAC64,28.000000000000004,5.461820060759478,0.0042442501698706225,0.7174330387929264,0.7131887886230558,pass
MGC,ON18-06,2726.87323943662,5.487755102040817,0.4218070812023452,1.0349194328597462,0.613112351657401,BREACH
MCL,EWMAC16,57.02332814930016,4.884466404359239,0.007803774804323732,-0.17288131418588265,-0.18068508899020638,pass
MCL,EWMAC32,31.54898911353033,4.884466404359239,0.006584091006021697,-0.4814042234078321,-0.4879883144138538,pass
MCL,EWMAC64,17.44012441679627,4.884466404359239,0.005631635357689513,-0.4875545203629025,-0.493186155720592,pass
MCL,ON18-06,2442.7999999999997,4.8468253968253965,0.3798812286207692,0.028686643375922437,-0.35119458524484676,BREACH
