or_min,close|both,close|trend,or_stop_2r|both,or_stop_2r|trend,or_stop|both,or_stop|trend
5,-0.2405541132328134,0.10534812005199058,-0.7671940677851322,0.051400143629886715,-0.6662986081757067,-0.3714460083020798
10,-0.3115055711881405,0.11353636865235103,-0.329340710719906,0.36874395998194226,-0.4270409059481778,-0.08106470824334136
15,-0.29197908138705536,0.08970585248248662,-0.2589086422327574,0.2880193713869856,-0.4462148087018613,-0.0924103507257025
20,-0.2552640950559545,0.018395379469470535,-0.3109883518457234,0.13261781072629425,-0.4324977834516103,-0.2180498742467334
30,-0.6822776408084699,-0.0636309390451277,-0.4665526409583122,0.07571634553163897,-0.6080211045070737,-0.22837264271437077
45,-0.6592780672847033,-0.03003283977500417,-0.0279534095558906,0.19069541405872387,-0.39864159990544407,-0.25562414736635725
60,-0.9295936930136255,-0.21083583511476428,-0.3450778682793572,-0.12172149965995142,-0.6157612912802406,-0.36855903726506284
90,-1.1430337251279703,-0.5485403592702577,-0.7634971582792404,-0.4186406554142106,-0.8857946095216737,-0.5708560843633268
120,-1.1818240957228618,-0.5749396786043708,-0.8280385847876367,-0.5465756992723139,-0.9491178770404874,-0.6645273505582074
