ts_event,MNQ ON 18-06,MNQ ON 23-04,MNQ 24h hold,"MNQ MAC(16,64)",MNQ 24h hold [c2c],"MNQ MAC(16,64) [c2c]",MES ON 18-06,MES ON 23-04,MES 24h hold,"MES MAC(16,64)",MES 24h hold [c2c],"MES MAC(16,64) [c2c]",MGC ON 18-06,MGC ON 23-04,MGC 24h hold,"MGC MAC(16,64)",MGC 24h hold [c2c],"MGC MAC(16,64) [c2c]",MCL ON 18-06,MCL ON 23-04,MCL 24h hold,"MCL MAC(16,64)",MCL 24h hold [c2c],"MCL MAC(16,64) [c2c]",BOOK ON 18-06 equity only (MES+MNQ),BOOK ON 18-06 handcrafted 4,BOOK ON 23-04 equity only (MES+MNQ),BOOK ON 23-04 handcrafted 4,BOOK 24h equity only (MES+MNQ),BOOK 24h handcrafted 4
2016-11-08 00:00:00-05:00,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-09 00:00:00-05:00,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-10 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-11 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-14 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-15 00:00:00-05:00,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-16 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-17 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-18 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-21 00:00:00-05:00,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-22 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-23 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-24 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-25 00:00:00-05:00,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-28 00:00:00-05:00,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-29 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-11-30 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-01 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-02 00:00:00-05:00,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-05 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-06 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-07 00:00:00-05:00,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-08 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-09 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-12 00:00:00-05:00,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-13 00:00:00-05:00,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.0,,,,,,,,,,,0.0,0.0
2016-12-14 00:00:00-05:00,,,,,,,,,,,,,0.0037408000000000727,0.001500800000000109,-9.244444444444445e-05,0.0,-9.244444444444445e-05,0.0,,,,,,,0.0,0.0014252572752095924,0.0,0.0005649016805402401,0.0,-3.528216874274826e-05
2016-12-15 00:00:00-05:00,,,,,,,,,,,,,-0.008499199999999891,-0.0038591999999999273,-0.010722844444444336,0.0,-0.01224284444444441,0.0,,,,,,,0.0,-0.0032382235440175837,0.0,-0.001452604321389056,0.0,-0.004092460172860736
2016-12-16 00:00:00-05:00,,,,,,,,,,,,,0.0050208,0.0011007999999999272,0.005757155555555592,0.0,0.005677155555555482,0.0,,,,,,,0.0,0.001912941543886918,0.0,0.00041434153114246403,0.0,0.002197264908779167
2016-12-19 00:00:00-05:00,,,,,,,,,,,,,0.005276,0.0008760000000001363,0.005025599999999963,0.0,0.0022255999999999635,0.0,,,,,,,0.0,0.0020101735949544655,0.0,0.000329726727181031,0.0,0.001918060823439891
2016-12-20 00:00:00-05:00,,,,,,,,,,,,,-0.005124000000000091,-0.006123999999999863,-0.00522319999999996,0.0,-0.005043199999999918,0.0,,,,,,,0.0,-0.0019522610880490644,0.0,-0.002305075887278852,0.0,-0.0019934764591275143
2016-12-21 00:00:00-05:00,,,,,,,,,,,,,0.003176000000000091,-0.002123999999999864,0.0004468,0.0,-0.0009932000000001228,0.0,,,,,,,0.0,0.0012100665916557174,0.0,-0.0007994743933017762,0.0,0.00017052482806290782
2016-12-22 00:00:00-05:00,,,,,,,,,,,,,-0.0009240000000000456,-0.00022400000000000002,-0.002973199999999959,0.0,-0.0028831999999998363,0.0,,,,,,,0.0,-0.0003520470814514817,0.0,-8.431368366271629e-05,0.0,-0.001134745789607499
2016-12-23 00:00:00-05:00,,,,,,,,,,,,,0.0028759999999999094,-2.3999999999954545e-05,0.005126799999999836,0.0,0.004226799999999836,0.0,,,,,,,0.0,0.0010957655911843936,0.0,-9.033608963845348e-06,0.0,0.0019566846206644757
2016-12-27 00:00:00-05:00,,,,,,,,,,,,,0.009776,0.007575999999999955,0.004586799999999918,0.0,0.004406800000000082,0.0,,,,,,,0.0,0.0037246886020232853,0.0,0.0028516092295925656,0.0,0.0017505892599797037
2016-12-28 00:00:00-05:00,,,,,,,,,,,,,-2.3999999999954545e-05,-0.001323999999999909,0.002606800000000082,0.0,0.0026968,0.0,,,,,,,0.0,-9.144080037683054e-06,0.0,-0.000498354094506378,0.0,0.0009949062708021533
2016-12-29 00:00:00-05:00,,,,,,,,,,,,,0.004875999999999909,-0.0009240000000000456,0.014576799999999836,0.0,0.014936799999999919,0.0,,,,,,,0.0,0.0018577722609927577,0.0,-0.0003477939451087218,0.0,0.005563353432648538
2016-12-30 00:00:00-05:00,,,,,,,,,,,,,0.000776,-0.0019240000000000455,-0.0058532,0.0,-0.0058532,0.0,,,,,,,0.0,0.0002956585878856454,0.0,-0.0007241943186029908,0.0,-0.0022339210465931337
2017-01-03 00:00:00-05:00,,,,,,,,,,,,,-0.004624000000000091,-0.005424000000000045,0.006836799999999917,0.0,0.0060268000000000405,0.0,,,,,,,0.0,-0.0017617594205969732,0.0,-0.0020415956258329326,0.0,0.002609319929499718
2017-01-04 00:00:00-05:00,,,,,,,,,,,,,0.006575999999999955,0.001975999999999818,0.0035968000000000003,0.0,0.003776800000000041,0.0,,,,,,,0.0,0.002505477930329885,0.0,0.0007437671380246073,0.0,0.0013727477653909287
2017-01-05 00:00:00-05:00,,,,,,,,,,,,,0.006975999999999818,0.000776,0.014666799999999959,0.0,0.015476800000000042,0.0,,,,,,,0.0,0.002657879264291506,0.0,0.0002920866898315528,0.0,0.005597702659429386
2017-01-06 00:00:00-05:00,,,,,,,,,,,,,-0.0017316000000000408,-0.002271600000000164,-0.007833200000000042,0.0,-0.007293200000000123,0.0,,,,,,,0.0,-0.0006597453747200974,0.0,-0.0008550310884296433,0.0,-0.0029896040357707625
2017-01-09 00:00:00-05:00,,,,,,,,,,,,,0.0024984,0.002678400000000041,0.00647680000000004,0.0,0.007466800000000163,0.0,,,,,,,0.0,0.0009518987319246088,0.0,0.0010081507603670657,0.0,0.002471923022376563
2017-01-10 00:00:00-05:00,,,,,,,,,,,,,0.001778400000000041,-0.001371599999999959,0.0040468,0.0,0.006026799999999836,0.0,,,,,,,0.0,0.0006775763307936133,0.0,-0.000516270752284724,0.0,0.0015444938992949314
2017-01-11 00:00:00-05:00,,,,,,,,,,,,,-2.159999999995911e-05,0.002678400000000041,0.0031468,0.0,0.003686800000000123,0.0,,,,,,,0.0,-8.229672033914756e-06,0.0,0.0010081507603670657,0.0,0.0012010016314869256
2017-01-12 00:00:00-05:00,,,,,,,,,,,,,0.011318399999999958,0.005918399999999959,0.0030567999999998774,0.0,0.0035067999999998773,0.0,,,,,,,0.0,0.004312348145779479,0.0,0.002227687970488467,0.0,0.0011666524047060781
2017-01-13 00:00:00-05:00,,,,,,,,,,,,,-0.00011160000000008189,0.002678400000000041,0.0007167999999999591,0.0,0.001256800000000082,0.0,,,,,,,0.0,-4.251997217533793e-05,0.0,0.0010081507603670657,0.0,0.00027357250840529397
