direction,trades,wins,losses,win_rate,avg_points,total_points,avg_r,total_pnl,avg_pnl,profit_factor,max_drawdown,avg_mfe_points,avg_mae_points
long,3394,977,2417,0.2878609310548026,-1.093326458456099,-3710.75,0.0016189062377441829,-7421.5,-2.186652916912198,0.9628558201223708,-12007.5,52.54949911608721,41.568724219210374
short,3081,799,2282,0.2593313859136644,-4.392648490749757,-13533.75,-0.0304714669292632,-27067.5,-8.785296981499513,0.847609637455347,-30621.5,48.645975332684195,39.39078221356702
