"strategy","net_pnl_2025","max_drawdown","trades","higher_cost_pnl","delayed_pnl","lower_volatility_pnl","higher_volatility_pnl","lower_trend_pnl","higher_trend_pnl","assessment"
"buy-hold","83302.5","-0.9550535077288942","1","83290","83302.5","22163.75","61138.75","17912.5","65390","Passive benchmark; assess drawdown separately"
"moving-average","88640","-0.38310710487242394","124","87090","39135","32101.25","56538.75","72510","16130","Did not meet 2025 return/risk/trade criteria"
"multi-speed-momentum","18870","-0.36650585424352555","290","15245","-3790","98.75","18771.25","80051.25","-61181.25","Did not meet 2025 return/risk/trade criteria"
"rsi2-reversion","59687.5","-0.4958801980942559","17","59475","14902.5","54248.75","5438.75","37045","22642.5","Did not meet 2025 return/risk/trade criteria"
"vwap-reversion","-69730","-0.8665214029661911","306","-73555","-101465","-14522.5","-55207.5","-33715","-36015","Did not meet 2025 return/risk/trade criteria"
"pine-overnight-block","18292.5","-0.23540638002773928","257","15080","Unavailable","13587.5","4705","-9051.25","27343.75","2025 checks pass; earlier weaknesses remain"
"pine-daily-tsmom","66117.5","-0.5114398278568384","9","66005","Unavailable","34908.75","31208.75","9218.75","56898.75","Did not meet 2025 return/risk/trade criteria"
"pine-overnight-drift","13212.5","-0.2750664650013622","93","12050","Unavailable","-11055","24267.5","-4353.75","17566.25","2025 checks pass; earlier weaknesses remain"
"pine-tsmom-orb","8265","-0.10095873973839598","104","7020","Unavailable","3775","4490","-2460","10725","Passed prior and 2025 checks; further research candidate"
