sess,entry,exit,high,low,bars,prior_day_ret,trend,mfe,mae,pnl,mfe_usd,mae_usd,prior_night,vol20,dow,year,month
2020-01-28,9120.75,9143.75,9151.0,9091.75,144,0.8255991134506147,,30.25,29.0,45.5,60.5,58.0,77.5,,1,2020,1
2020-01-29,9110.5,9041.25,9137.0,9003.75,144,-0.43174117389879196,,26.5,106.75,-139.0,53.0,213.5,45.5,113.74087297102359,2,2020,1
2020-01-30,9226.5,9158.0,9249.0,9138.25,144,1.01913994531444,,22.5,88.25,-137.5,45.0,176.5,-139.0,115.88945504002373,3,2020,1
2020-02-02,8983.75,9037.75,9091.75,8975.0,144,-2.0366487869959427,,108.0,8.75,107.5,216.0,17.5,-137.5,98.05609296938692,6,2020,2
2020-02-03,9100.25,9221.25,9237.25,9073.25,144,0.9926450257147668,,137.0,27.0,241.5,274.0,54.0,107.5,99.34433406353034,0,2020,2
2020-02-04,9355.5,9440.5,9461.75,9318.25,144,0.893821559732122,,106.25,37.25,169.5,212.5,74.5,241.5,112.09998767547704,1,2020,2
2020-02-05,9392.0,9402.25,9460.75,9375.0,144,-0.8617954954002305,,68.75,17.0,20.0,137.5,34.0,169.5,117.03061621464252,2,2020,2
2020-02-06,9464.5,9402.0,9477.0,9395.0,144,0.606641123882512,,12.5,69.5,-125.5,25.0,139.0,20.0,116.64826797279346,3,2020,2
2020-02-09,9401.25,9420.0,9440.0,9330.75,144,-0.005312790543232637,,38.75,70.5,37.0,77.5,141.0,-125.5,120.60190056981952,6,2020,2
2020-02-10,9523.0,9568.25,9582.5,9517.0,144,1.548507462686577,,59.5,6.0,90.0,119.0,12.0,37.0,119.25636913367508,0,2020,2
2020-02-11,9536.0,9576.0,9584.5,9524.25,144,-0.5377607225833358,,48.5,11.75,79.5,97.0,23.5,90.0,120.29742472196503,1,2020,2
2020-02-12,9621.25,9541.25,9626.25,9511.25,144,0.4175147434893889,,5.0,110.0,-160.5,10.0,220.0,79.5,120.9116249689482,2,2020,2
2020-02-13,9625.25,9641.0,9659.25,9600.75,144,0.5733134375245363,,34.0,24.5,31.0,68.0,49.0,-160.5,126.49084375017655,3,2020,2
2020-02-16,9632.0,9673.0,9687.25,9630.75,144,0.11695906432749315,,55.25,1.25,81.5,110.5,2.5,31.0,125.92937400321699,6,2020,2
2020-02-17,9642.5,9566.5,9642.5,9534.0,144,0.09837932998497667,,0.0,108.5,-152.5,0.0,217.0,81.5,126.82581040234092,0,2020,2
2020-02-18,9642.5,9670.0,9677.75,9640.5,144,0.5451936872309826,,35.25,2.0,54.5,70.5,4.0,-152.5,130.19423495604354,1,2020,2
2020-02-19,9740.0,9720.75,9763.0,9686.5,144,0.39214674544001404,,23.0,53.5,-39.0,46.0,107.0,54.5,129.0246686939321,2,2020,2
2020-02-20,9618.25,9580.0,9623.5,9538.5,144,-0.7264296754250332,,5.25,79.75,-77.0,10.5,159.5,-39.0,129.25646425858776,3,2020,2
2020-02-23,9365.75,9147.0,9365.75,9123.75,144,-1.4364295211032663,,0.0,242.0,-438.0,0.0,484.0,-77.0,130.01553297890783,6,2020,2
2020-02-24,9092.75,9108.5,9224.5,9053.25,144,-0.2114397122223166,,131.75,39.5,31.0,263.5,79.0,-438.0,150.9615147889303,0,2020,2
2020-02-25,8867.5,8805.5,8947.75,8709.25,144,-3.4937358408166586,,80.25,158.25,-124.5,160.5,316.5,31.0,149.86954634298667,1,2020,2
2020-02-26,8817.5,8757.0,8878.25,8697.0,144,-0.11810691487865732,,60.75,120.5,-121.5,121.5,241.0,-124.5,151.13138889895214,2,2020,2
2020-02-27,8353.75,8300.75,8447.25,8129.0,144,-2.6017903551833643,,93.5,224.75,-106.5,187.0,449.5,-121.5,150.47076127939275,3,2020,2
2020-03-01,8376.25,8501.75,8677.5,8248.5,144,3.8534583103596143,,301.25,127.75,250.5,602.5,255.5,-106.5,149.37022179100737,6,2020,3
2020-03-02,8830.25,8902.25,8910.25,8738.75,144,3.6489957963568465,,80.0,91.5,143.5,160.0,183.0,250.5,158.91705052438022,0,2020,3
2020-03-03,8559.0,8756.0,8781.25,8507.25,144,-3.4292936385339146,,222.25,51.75,393.5,444.5,103.5,143.5,152.01965766238743,1,2020,3
2020-03-04,8889.75,8718.5,8899.75,8710.0,144,2.261162883768786,,10.0,179.75,-343.0,20.0,359.5,393.5,173.30981537484584,2,2020,3
2020-03-05,8675.5,8412.75,8726.0,8377.75,144,-0.5191154960277666,,50.5,297.75,-526.0,101.0,595.5,-343.0,188.69666552153848,3,2020,3
2020-03-08,8418.25,8093.25,8418.25,8093.25,140,1.7144220161602997,,0.0,325.0,-650.5,0.0,650.0,-526.0,218.79612446052917,6,2020,3
