year,Sarah baseline,P4 · 1h reference,P4 · no BOS,P4 · normal RVOL,P4 · low impulse volume,P4 · first Sarah test,P4 · first physical touch,P4 · width ≤0.5 ATR,P4 · opposing room,P5 · first touch + opposing,P5 · first touch + width,P5 · first touch + low volume
2019,-562.5,-1071.0,-232.0,54.0,-311.5,-512.0,-181.5,565.5,-734.0,-917.5,730.5,-186.0
2020,-1092.5,-1010.0,979.0,-52.0,75.0,-27.0,442.0,-4449.5,866.5,858.0,-4221.0,-437.0
2021,-6086.0,-4364.0,-3102.5,-1563.5,-994.5,-614.0,-314.5,-2571.0,-3547.0,-1644.0,-2062.5,-1180.0
2022,-12361.0,-2649.5,910.5,-1122.5,1667.5,1053.0,2030.5,2318.5,-1069.0,2158.5,1349.0,2392.0
2023,-1308.0,5193.5,4457.0,4626.5,725.5,4501.5,2780.5,4234.5,6744.5,5294.0,2717.0,492.5
2024,-2533.5,-793.5,-1287.5,821.0,3831.5,893.5,578.5,514.5,575.5,988.0,678.5,1764.5
2025,-10906.5,-341.5,-567.0,-2660.5,1110.0,-139.0,1156.5,3986.5,-2229.5,-574.0,4141.5,973.0
2026,361.0,1133.0,1180.5,4739.5,-298.0,4725.5,4924.0,3636.5,5678.0,6278.0,3669.5,-398.5
