timeframe,retests,first_touch_share,reclaim_rate,hit_1r_4h,hit_2r_4h,median_mfe_r_4h,median_mae_r_4h,median_age_minutes
1h,31592,0.19656875158267917,0.5689098505950874,0.42675360850848315,0.22739934160546973,1.3108932102834543,1.323943661971831,358.0
4h,13586,0.12277344325040483,0.5278963639040188,0.2779331664949212,0.11327837479758575,0.5879396984924623,0.6519823788546255,1510.0
Daily,4693,0.06222032814830599,0.4992542083954826,0.08523332623055614,0.015768165352652887,0.2616407982261641,0.3062130177514793,8760.0
