timeframe,zones,bos_rate,fvg_rate,nested_rate,median_body_atr,median_width_atr,median_rvol,retested_rate
1h,6578,0.2965947096381879,0.004256612952265126,0.10884767406506538,0.6054105231407745,0.44975138762424505,0.9596772385968845,0.9440559440559441
4h,1762,0.3064699205448354,0.00510783200908059,0.04370034052213394,0.6442833849049503,0.4688576094515668,0.9880257890806257,0.9466515323496028
Daily,307,0.3517915309446254,0.003257328990228013,0.0,0.7057072049016732,0.4923175393271071,1.035385647162859,0.9511400651465798
