market,start,trough,end,depth_pct,length_days,recovery_days
NG,2005-09-02,2005-09-13,2005-09-16,-8.5,11,3
NKD,2007-02-28,2009-03-10,2020-11-26,-60.8,3268,2795
NKD,2021-02-26,2022-09-30,2025-06-25,-34.3,1002,634
NKD,2006-05-09,2006-06-13,2007-02-14,-20.5,184,158
NKD,2005-03-10,2005-05-17,2005-09-09,-13.9,122,81
NKD,2026-02-13,2026-03-09,2026-04-13,-11.7,38,23
NQ,2007-11-01,2008-11-20,2011-01-07,-54.2,774,516
NQ,2021-11-22,2022-11-03,2023-12-12,-37.9,501,266
NQ,2020-02-20,2020-03-20,2020-06-04,-28.0,72,50
NQ,2018-10-02,2019-01-03,2019-07-12,-24.6,192,128
NQ,2025-02-20,2025-04-08,2025-06-23,-22.9,82,48
PA,2022-03-09,2024-08-05,2026-07-02,-75.1,1111,484
PA,2008-03-04,2008-12-05,2010-10-04,-72.3,675,476
PA,2014-09-02,2016-01-12,2017-08-16,-48.6,770,416
PA,2021-05-05,2021-12-15,2022-03-03,-46.5,217,56
PA,2020-02-28,2020-03-18,2021-04-20,-44.2,298,284
PL,2008-03-06,2020-03-19,2025-12-22,-74.2,4633,1494
PL,2026-01-27,2026-06-30,2026-07-02,-45.4,111,2
PL,2025-12-24,2025-12-31,2026-01-22,-21.2,18,14
PL,2006-05-24,2006-10-24,2007-04-19,-19.8,235,125
PL,2007-05-08,2007-08-17,2007-09-21,-8.4,99,25
RB,2008-07-14,2020-03-23,2022-02-23,-80.2,3419,494
RB,2022-06-10,2025-12-16,2026-05-01,-52.8,974,96
RB,2006-05-12,2007-01-11,2007-04-11,-40.0,217,58
RB,2006-01-09,2006-02-15,2006-04-04,-25.4,49,23
RB,2026-05-19,2026-06-16,2026-07-02,-23.4,33,12
RTY,2007-06-05,2009-03-09,2011-04-04,-58.4,936,508
RTY,2018-09-05,2020-03-18,2020-11-06,-42.2,528,159
RTY,2011-05-02,2011-10-03,2012-09-13,-29.6,347,236
RTY,2024-11-26,2025-04-08,2025-09-17,-28.7,190,106
RTY,2021-11-09,2022-09-26,2024-02-29,-26.6,555,343
SB,2011-02-03,2020-04-27,2026-07-02,-74.6,3832,1520
SB,2006-02-06,2007-06-13,2009-08-06,-58.9,848,521
SB,2010-02-01,2010-05-06,2010-11-03,-54.1,188,123
SB,2010-11-10,2010-11-19,2010-12-22,-21.0,29,21
SB,2009-10-01,2009-10-12,2009-12-15,-16.5,52,44
SI,2011-04-29,2020-03-19,2025-11-27,-77.2,3775,1469
SI,2008-03-06,2008-11-20,2010-09-20,-56.9,663,477
SI,2026-01-29,2026-06-24,2026-07-02,-50.8,111,6
SI,2006-05-12,2006-06-14,2007-11-05,-34.9,385,361
SI,2006-04-20,2006-04-24,2006-05-10,-18.6,15,12
VX,2008-11-21,2025-12-24,2026-07-02,-97.0,4476,134
VX,2006-06-14,2007-01-24,2007-07-26,-58.5,292,131
VX,2008-03-18,2008-05-15,2008-09-16,-49.4,131,88
VX,2007-08-17,2007-10-09,2007-11-09,-47.7,61,23
VX,2005-04-18,2005-07-20,2006-05-22,-42.3,286,218
YM,2007-10-10,2009-03-09,2013-05-02,-53.8,1408,1039
YM,2020-02-13,2020-03-23,2020-11-12,-36.7,186,160
YM,2022-01-05,2022-09-30,2023-07-19,-21.1,371,190
YM,2018-10-04,2019-01-03,2019-07-11,-18.7,183,125
YM,2025-01-31,2025-04-08,2025-07-02,-16.1,101,55
ZB,2020-03-10,2023-10-19,2026-07-02,-72.0,1594,685
ZB,2008-12-19,2010-04-05,2012-07-20,-48.9,936,599
ZB,2015-02-03,2018-11-02,2020-02-27,-36.6,1213,308
ZB,2012-07-26,2014-01-01,2015-01-29,-35.5,640,265
ZB,2005-06-08,2007-06-12,2008-01-21,-29.2,684,159
ZC,2012-08-22,2020-08-07,2026-07-02,-66.8,3508,1495
ZC,2008-06-30,2008-12-05,2011-03-31,-61.1,717,602
ZC,2011-06-13,2012-06-01,2012-08-20,-33.5,306,56
ZC,2005-07-19,2005-11-24,2006-05-16,-32.3,216,123
ZC,2007-02-23,2007-09-03,2007-12-14,-31.1,211,74
ZF,2012-07-25,2023-10-19,2026-07-02,-21.6,3503,683
ZF,2008-12-19,2009-06-08,2010-09-27,-8.0,462,340
ZF,2005-02-10,2006-06-28,2007-11-16,-7.6,722,362
ZF,2008-03-18,2008-06-16,2008-11-17,-7.3,175,110
ZF,2010-11-05,2011-02-08,2011-08-08,-6.5,197,129
ZN,2020-08-05,2023-10-19,2026-07-02,-36.4,1492,689
ZN,2008-12-31,2010-04-05,2011-09-01,-17.1,697,368
ZN,2012-07-25,2018-11-08,2020-02-28,-16.8,1907,305
ZN,2005-06-02,2007-06-12,2007-11-23,-12.6,647,118
ZN,2008-03-18,2008-06-16,2008-11-19,-9.0,177,112
ZO,2014-03-13,2016-09-12,2021-09-30,-74.3,1894,1253
ZO,2021-11-22,2024-07-09,2026-07-02,-68.8,1162,501
ZO,2008-07-07,2009-02-20,2014-02-05,-63.0,1458,1293
ZO,2005-01-31,2005-05-11,2005-07-14,-34.3,119,46
ZO,2005-07-18,2005-08-30,2005-11-28,-29.4,96,64
ZR,2008-04-24,2017-02-20,2026-07-02,-64.1,4570,2302
ZR,2005-05-06,2005-07-07,2005-12-08,-20.2,155,110
ZR,2006-08-16,2006-08-30,2006-10-31,-14.2,55,44
ZR,2005-01-10,2005-02-24,2005-03-22,-12.0,52,18
ZR,2006-02-06,2006-03-20,2006-05-16,-8.9,72,41
ZS,2008-07-14,2008-12-05,2010-11-08,-50.9,559,460
ZS,2012-08-31,2019-05-13,2021-01-05,-42.7,2054,413
ZS,2022-03-24,2024-08-16,2026-07-02,-41.0,1074,473
ZS,2005-06-27,2006-09-12,2007-06-04,-35.3,470,175
ZS,2008-03-04,2008-03-31,2008-06-30,-25.6,78,60
ZT,2011-09-20,2023-10-18,2026-07-02,-9.7,3726,688
ZT,2005-01-24,2006-06-28,2007-11-20,-4.0,737,364
ZT,2008-03-18,2008-06-12,2008-11-04,-3.3,166,103
ZT,2008-12-17,2009-06-08,2010-06-24,-1.5,397,273
ZT,2010-11-05,2011-02-08,2011-08-01,-1.0,192,124
ZW,2008-02-28,2009-09-08,2026-07-02,-80.3,4660,4261
ZW,2006-10-17,2007-04-06,2007-06-08,-25.1,169,45
ZW,2005-03-16,2005-09-05,2006-02-20,-24.0,244,120
ZW,2007-10-02,2007-11-13,2007-12-14,-21.5,54,23
ZW,2006-05-23,2006-07-04,2006-09-27,-19.4,92,61
