a,b,corr,overlap_obs
GC,RB,0.152,5142
SB,SI,0.152,5298
BZ,KC,0.152,5213
6E,ZT,0.151,5457
CT,PA,0.15,4912
PA,ZC,0.15,5484
GC,ZS,0.15,5273
GC,ZB,0.149,5418
PL,SB,0.149,5300
BZ,NG,0.148,5528
CL,ZW,0.148,5245
HO,KC,0.148,5158
KC,ZC,0.148,5203
NG,ZC,0.146,5464
KC,PL,0.146,5229
CT,SI,0.146,4914
KC,SI,0.146,5229
6N,CT,0.145,4913
6A,ZC,0.144,5471
CT,PL,0.143,4912
CL,NG,0.14,5315
CL,KC,0.138,5140
LBR,YM,0.137,5184
CT,KC,0.136,4746
6N,SB,0.136,5293
BZ,ZW,0.136,5450
6B,CC,0.136,5181
ES,ZS,0.135,5183
HO,ZW,0.134,5271
LBR,RTY,0.134,5178
ES,LBR,0.133,5181
KC,RB,0.132,4957
6E,BZ,0.132,5521
GC,ZC,0.132,5476
ZO,ZW,0.131,5453
6B,CT,0.131,4908
NKD,ZF,0.131,4949
YM,ZS,0.131,5179
6E,CT,0.13,4908
6A,ZR,0.129,5416
GF,RTY,0.129,5197
GF,YM,0.129,5197
RB,ZW,0.129,5076
NKD,ZT,0.128,4951
ZC,ZO,0.128,5443
RTY,ZS,0.128,5170
6E,HO,0.128,5334
6E,CL,0.127,5302
6E,CC,0.127,5181
ES,GF,0.125,5200
6A,CC,0.124,5181
NG,RB,0.124,5150
LE,YM,0.123,5199
6B,KC,0.123,5219
LE,RTY,0.121,5195
PL,ZC,0.121,5484
CC,KC,0.12,5014
LBR,NQ,0.12,5183
6N,ZC,0.12,5477
ES,LE,0.119,5200
6E,ZC,0.119,5471
ES,KC,0.118,5130
6E,KC,0.118,5219
GF,NQ,0.117,5202
6E,SB,0.117,5288
6E,RB,0.117,5135
HG,LBR,0.116,4511
6N,ZR,0.115,5421
KC,RTY,0.115,5125
GF,HE,0.115,5239
DC,ZO,0.115,5294
6N,CC,0.114,5186
GC,SB,0.114,5296
NQ,ZS,0.113,5185
6E,ZF,0.113,5455
LE,NQ,0.112,5200
ES,SB,0.111,5199
KC,YM,0.109,5131
LE,PL,0.108,5233
CC,SB,0.108,5055
HG,ZR,0.108,4547
6A,LE,0.108,5221
NKD,ZN,0.107,4954
CL,ZR,0.107,5203
RTY,SB,0.107,5194
6B,ZT,0.107,5457
NG,ZW,0.106,5458
SB,YM,0.105,5200
LE,PA,0.105,5233
CT,NG,0.104,4904
6B,SB,0.103,5288
BZ,ZR,0.103,5402
KC,NQ,0.103,5130
GC,KC,0.103,5227
HG,ZW,0.103,4595
6E,ZR,0.102,5416
HG,LE,0.102,4527
6A,LBR,0.101,5198
CC,HG,0.101,4352
PL,ZR,0.1,5426
DC,RB,0.099,5031
CC,HO,0.099,4996
BZ,LE,0.099,5217
DC,HO,0.099,5162
ES,ZC,0.099,5196
CT,GC,0.099,4910
PA,ZR,0.098,5426
CC,RB,0.098,4801
SI,ZR,0.098,5424
CL,LE,0.098,5186
BZ,LBR,0.097,5200
SB,ZO,0.097,5281
HE,LE,0.097,5233
CT,ZR,0.097,4869
6B,ZC,0.095,5471
CC,CL,0.095,4981
KC,ZW,0.094,5199
CL,DC,0.094,5138
SI,ZT,0.093,5462
SI,ZW,0.093,5470
LE,SI,0.092,5229
DC,ZS,0.092,5106
RB,ZR,0.091,5026
CC,SI,0.091,5189
ZR,ZW,0.091,5392
BZ,CC,0.091,5171
HO,LBR,0.089,5191
CC,DC,0.088,5044
HO,ZR,0.088,5225
6A,ZW,0.088,5464
CL,LBR,0.087,5173
SB,ZR,0.087,5246
CL,ZO,0.086,5242
NKD,ZS,0.086,4782
KC,ZR,0.086,5182
ZO,ZR,0.085,5407
GC,ZW,0.085,5468
NQ,SB,0.085,5199
RB,ZO,0.085,5079
RTY,ZC,0.085,5193
CT,LE,0.084,4724
LBR,RB,0.083,4992
YM,ZC,0.083,5294
6N,LE,0.082,5226
SI,ZF,0.082,5458
LBR,PA,0.082,5208
6N,LBR,0.081,5203
6N,ZW,0.081,5469
CC,ES,0.08,4970
NQ,ZC,0.079,5194
NKD,ZB,0.079,4913
HO,ZO,0.079,5274
NG,ZS,0.078,5259
GC,ZR,0.078,5424
PL,ZW,0.077,5474
PA,ZW,0.076,5472
LBR,PL,0.075,5212
CC,YM,0.075,5076
BZ,ZO,0.075,5451
KC,LBR,0.075,5124
YM,ZR,0.074,5280
6B,LE,0.074,5221
6B,ZR,0.074,5416
6B,ZF,0.074,5455
6A,NG,0.074,5517
6A,ZO,0.074,5469
CC,PL,0.073,5187
RTY,ZW,0.073,5203
6E,ZW,0.072,5464
ES,ZR,0.072,5178
6B,LBR,0.071,5198
CC,NKD,0.071,4686
NKD,SB,0.071,4808
KC,LE,0.071,5141
GC,RTY,0.07,5235
NKD,RB,0.07,4673
CC,GC,0.07,5185
HO,LE,0.069,5210
LBR,ZS,0.069,5155
ES,GC,0.069,5238
