variant,split,avg_points_ci_low,avg_points_ci_high,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
Sarah baseline,Overall,-4.27875072878243,-1.0326801171171702,6475.0,0.2742857142857143,-2.6632432432432434,-17244.5,-0.013650659743344581,-34489.0,0.9086195293332132,-38797.5,-0.9445197797789395,-1.3024314442328468,-0.11555936862806002,4147.631907817141,0.3707865168539326
Sarah baseline,Train 2019–22,-5.8726871994274035,-0.717698239151604,3026.0,0.2580964970257766,-3.3215465961665567,-10051.0,-0.06382274964816781,-20102.0,0.8748980925413076,-21335.5,-1.303795430103224,-1.7868010764153615,-0.24659737303219773,3753.918174777657,0.3409090909090909
Sarah baseline,Validation 2023–24,-3.6479447657425332,1.5031486439768045,1691.0,0.2554701360141928,-1.135866351271437,-1920.75,0.05541866162346209,-3841.5,0.9547379893369466,-8006.5,-0.39580867673864206,-0.5625472067866872,-0.2017171857619577,3538.89194515044,0.4166666666666667
Sarah baseline,Holdout 2025–26,-6.346594963245412,0.18523559011518725,1758.0,0.32025028441410697,-2.9992889647326506,-5272.75,0.006272276332153092,-10545.5,0.92002775576444,-15274.5,-0.8796898916233246,-1.2039765231990796,-0.3796997794400858,5444.138171509735,0.38095238095238093
1h reference,Overall,-1.722838301395579,1.0597125625771553,5943.0,0.2609793033821302,-0.3283695103483089,-1951.5,0.009782866202942655,-3903.0,0.9852938683004301,-11469.0,-0.05563032581099351,-0.08484619587864868,-0.01580207845496254,3041.236061655828,0.43820224719101125
1h reference,Train 2019–22,-3.4883616221513876,0.31110061931960054,2827.0,0.23947647683056245,-1.6085072515033605,-4547.25,-0.06452485599827221,-9094.5,0.9211327332327385,-11469.0,-0.8206191069770863,-1.2224625180258033,-0.2106262697490368,2748.010785874902,0.3181818181818182
1h reference,Validation 2023–24,-1.212258873683099,3.821140112627403,1585.0,0.24290220820189273,1.38801261829653,2200.0,0.12276076591188466,4400.0,1.0726174463414835,-4358.5,0.8706760487444379,1.4111310386999338,0.5942923042351934,2775.64733594936,0.6666666666666666
1h reference,Holdout 2025–26,-2.395511878850144,2.9059485441209154,1531.0,0.3193990855649902,0.2584911822338341,395.75,0.030029737283387717,791.5,1.0088441683241334,-5242.5,0.33831340714207664,0.5110356951947669,0.2793782646305966,3843.6730713926927,0.42857142857142855
1h · no BOS,Overall,-1.32170438390986,1.8835615143601345,4340.0,0.2490783410138249,0.2693548387096774,1169.0,0.03202667323105359,2338.0,1.0129042584604855,-6743.5,0.20362180590134876,0.33143744533298874,0.09475916746643756,2545.3328250549966,0.4606741573033708
1h · no BOS,Train 2019–22,-2.3961900331754222,1.729257426090952,2075.0,0.23180722891566266,-0.3481927710843373,-722.5,-0.00971427098812713,-1445.0,0.9812989769440328,-6743.5,-0.07900725015989393,-0.1298130446533352,-0.033650673008674,2329.5628647808835,0.4318181818181818
1h · no BOS,Validation 2023–24,-1.6995185335832774,4.2006463480558995,1151.0,0.22675933970460468,1.3768462206776715,1584.75,0.13678134215112994,3169.5,1.0764859190617535,-3832.5,0.7299175671151842,1.2279678140573496,0.45637342079127885,2333.7070785071846,0.5416666666666666
1h · no BOS,Holdout 2025–26,-3.2591774784861256,3.7974945584154067,1114.0,0.30430879712746856,0.275359066427289,306.75,0.0015417857335599692,613.5,1.009820242344693,-4146.5,0.2012644535553934,0.31801326982911327,0.1585615141165827,3167.4573241531925,0.42857142857142855
1h · RVOL 0.75–1.25,Overall,-1.2014080769485445,2.7926392197768286,2941.0,0.27065623937436245,0.8232743964637879,2421.25,0.03260249771518023,4842.5,1.0382771526699155,-5402.5,0.3453277899768921,0.5835271688757653,0.14715494165751836,2105.727269297631,0.5056179775280899
1h · RVOL 0.75–1.25,Train 2019–22,-3.9170970556488056,1.6539402020870653,1365.0,0.2512820512820513,-0.9831501831501831,-1342.0,-0.06679664966622213,-2684.0,0.950922040282692,-4643.0,-0.3676932661347731,-0.5926472732731842,-0.16908545176724282,1921.502581857067,0.4090909090909091
1h · RVOL 0.75–1.25,Validation 2023–24,-0.7564242046462564,6.788101162384602,831.0,0.259927797833935,3.2776774969915765,2723.75,0.18773571259052682,5447.5,1.1809289735456765,-2868.0,1.3910185856912562,2.5344636227614616,1.088173419921339,2064.4509604056434,0.6666666666666666
1h · RVOL 0.75–1.25,Holdout 2025–26,-2.344961031645677,5.113087687567217,745.0,0.3181208053691275,1.395302013422819,1039.5,0.04168187303625567,2079.0,1.0498387850747342,-4079.0,0.5197678990291486,0.8831766366199165,0.3239301959606903,2498.4924194665973,0.5238095238095238
1h · impulse/prior volume <0.75,Overall,-1.2081262375185347,5.935944200496185,1204.0,0.276578073089701,2.410921926910299,2902.75,0.08142600432012281,5805.5,1.1151051321959295,-2996.0,0.54936690316442,0.9848148716827289,0.26084034937993666,1435.3255932120694,0.5056179775280899
1h · impulse/prior volume <0.75,Train 2019–22,-3.9542379958915506,4.80898698158148,591.0,0.24873096446700507,0.36928934010152287,218.25,-0.0008641317444173621,436.5,1.019161545215101,-2996.0,0.018131816077242725,0.0324458677961546,0.007419556523892738,1237.0144985023774,0.4318181818181818
1h · impulse/prior volume <0.75,Validation 2023–24,1.365910506760532,13.001106765282632,311.0,0.29260450160771706,7.326366559485531,2278.5,0.1401738046718338,4557.0,1.4276062681805386,-817.5,1.6048206562305662,3.4276239967222604,2.6910471369819677,1370.8267188247685,0.625
1h · impulse/prior volume <0.75,Holdout 2025–26,-7.923002581805523,10.465243681726141,302.0,0.31456953642384106,1.3443708609271523,406.0,0.18196542321006035,812.0,1.0477661107679637,-2350.0,0.4193556579503932,0.6888605595950912,0.3305360533618969,1852.2695727938476,0.5238095238095238
1h · first Sarah test,Overall,-0.47058322043265516,2.412283007350207,5084.0,0.256294256490952,0.9718233674272226,4940.75,0.0433845012498683,9881.5,1.047263396038704,-3970.5,0.5538926953110295,0.8689502448180266,0.4418270485437504,2783.4912771826125,0.5393258426966292
1h · first Sarah test,Train 2019–22,-2.01834143123681,2.0756217543913307,2475.0,0.23959595959595958,-0.020202020202020204,-50.0,-0.021224082488879224,-100.0,0.9989180533616082,-3970.5,-0.00764789705164494,-0.011842425689916773,-0.005444606069517453,2484.2061486032667,0.5
