year,Sarah baseline,1h reference,1h · no BOS,1h · RVOL 0.75–1.25,1h · impulse/prior volume <0.75,1h · first Sarah test,1h · first physical touch,1h · width ≤0.5 ATR,1h · opposing room ≥2R/open
2019,-562.5,-1071.0,-232.0,54.0,-311.5,-512.0,-181.5,565.5,-734.0
2020,-1092.5,-1010.0,979.0,-52.0,75.0,-27.0,442.0,-4449.5,866.5
2021,-6086.0,-4364.0,-3102.5,-1563.5,-994.5,-614.0,-314.5,-2571.0,-3547.0
2022,-12361.0,-2649.5,910.5,-1122.5,1667.5,1053.0,2030.5,2318.5,-1069.0
2023,-1308.0,5193.5,4457.0,4626.5,725.5,4501.5,2780.5,4234.5,6744.5
2024,-2533.5,-793.5,-1287.5,821.0,3831.5,893.5,578.5,514.5,575.5
2025,-10906.5,-341.5,-567.0,-2660.5,1110.0,-139.0,1156.5,3986.5,-2229.5
2026,361.0,1133.0,1180.5,4739.5,-298.0,4725.5,4924.0,3636.5,5678.0
