20260601 074500;30483.50;30491.25;30477.50;30485.00;2675
20260601 075000;30484.50;30486.00;30462.75;30469.00;3285
20260601 075500;30468.50;30472.50;30460.50;30462.75;2304
20260601 080000;30462.00;30464.75;30445.00;30456.00;5026
20260601 080500;30455.50;30463.25;30433.50;30434.00;6854
20260601 081000;30434.00;30448.00;30418.75;30423.25;7008
20260601 081500;30423.00;30436.25;30415.00;30432.50;6499
20260601 082000;30432.25;30449.75;30430.25;30446.50;4841
20260601 082500;30447.25;30459.00;30445.00;30450.50;4902
20260601 083000;30449.75;30456.00;30433.25;30444.50;5935
20260601 083500;30444.50;30480.50;30443.25;30475.50;6701
20260601 084000;30475.75;30489.25;30466.25;30485.25;7098
20260601 084500;30485.50;30496.50;30473.25;30475.00;6463
20260601 085000;30474.50;30476.50;30451.25;30457.00;6042
20260601 085500;30457.25;30460.00;30445.75;30449.25;4792
20260601 090000;30449.25;30454.50;30430.25;30436.75;7527
20260601 090500;30436.50;30456.25;30429.50;30450.00;6612
20260601 091000;30450.50;30456.25;30315.25;30347.25;42625
20260601 091500;30349.00;30380.75;30338.25;30349.75;19820
20260601 092000;30350.25;30356.00;30295.25;30295.75;19733
20260601 092500;30295.25;30348.75;30291.00;30342.50;19197
20260601 093000;30343.00;30422.00;30305.00;30379.75;65925
20260601 093500;30379.50;30462.00;30371.50;30436.00;51697
20260601 094000;30436.00;30449.50;30402.75;30413.00;37695
20260601 094500;30412.00;30467.25;30410.75;30427.25;34724
20260601 095000;30428.00;30451.00;30377.00;30377.50;40016
20260601 095500;30377.50;30383.50;30305.25;30316.00;37510
20260601 100000;30313.75;30343.25;30295.00;30308.00;40237
20260601 100500;30308.50;30384.00;30303.00;30374.25;41264
20260601 101000;30373.75;30379.25;30336.00;30352.25;31567
20260601 101500;30352.25;30403.50;30338.50;30365.50;35608
20260601 102000;30364.00;30421.50;30359.00;30405.25;27143
20260601 102500;30405.50;30410.75;30374.00;30381.50;28821
20260601 103000;30381.50;30431.75;30368.25;30415.75;31353
20260601 103500;30415.50;30431.25;30390.25;30404.50;22682
20260601 104000;30403.75;30430.50;30397.50;30419.75;17107
20260601 104500;30419.75;30444.75;30406.25;30430.00;19429
20260601 105000;30430.25;30447.00;30411.50;30431.00;19260
20260601 105500;30431.00;30440.25;30414.50;30437.25;13142
20260601 110000;30437.00;30449.75;30420.00;30432.25;18648
20260601 110500;30432.75;30457.75;30412.50;30439.25;22077
20260601 111000;30439.25;30454.00;30415.75;30445.00;16895
20260601 111500;30445.50;30472.00;30445.00;30462.75;18524
20260601 112000;30463.00;30489.25;30462.75;30477.25;18233
20260601 112500;30477.50;30487.50;30462.00;30479.25;15972
20260601 113000;30479.25;30548.00;30477.75;30534.25;47429
20260601 113500;30534.25;30554.00;30531.00;30537.00;17324
20260601 114000;30537.25;30548.25;30520.25;30538.00;16959
20260601 114500;30538.00;30541.00;30507.00;30508.50;15416
20260601 115000;30508.25;30529.50;30500.00;30526.75;15258
20260601 115500;30526.25;30528.00;30496.25;30501.75;13140
20260601 120000;30501.50;30535.00;30501.00;30512.50;17870
20260601 120500;30512.25;30514.25;30496.25;30503.00;9879
20260601 121000;30503.25;30505.75;30470.50;30482.50;20926
20260601 121500;30482.50;30489.25;30450.00;30473.75;20030
20260601 122000;30474.50;30502.00;30471.00;30499.50;13291
20260601 122500;30499.50;30514.25;30492.00;30510.00;12462
20260601 123000;30510.50;30538.75;30510.25;30530.25;19664
20260601 123500;30530.50;30540.75;30517.25;30535.25;12157
20260601 124000;30535.50;30539.00;30522.00;30523.25;7868
20260601 124500;30523.50;30527.25;30507.00;30525.25;12977
20260601 125000;30525.50;30575.00;30522.50;30572.50;22647
20260601 125500;30572.75;30584.25;30565.75;30581.00;15897
20260601 130000;30581.25;30585.00;30547.75;30548.00;16641
