session,year,confirm_brackets,direction,side,prior_val,prior_vah,va_width,open,trigger_bracket,entry_time,entry,target,stop,distance_points,distance_rel,traversed,traversed_bars,traversed_before_trigger,outcome,exit_price,gross_points,net_points,net_dollars
2025-09-25,2025,2,long,1,25398.0,25572.0,174.0,25344.75,5,2025-09-25 16:29:00+00:00,25401.5,25572.0,25393.0,170.5,0.9798850574712644,False,,False,stop,25393.0,-8.5,-10.25,-20.5
2025-10-06,2025,2,short,-1,25786.0,25928.0,142.0,25982.5,1,2025-10-06 14:29:00+00:00,25911.25,25786.0,25933.0,125.25,0.8820422535211268,False,,False,stop,25933.0,-21.75,-23.5,-47.0
2025-10-09,2025,2,short,-1,25941.0,26061.0,120.0,26097.25,1,2025-10-09 14:29:00+00:00,26020.0,25941.0,26066.0,79.0,0.6583333333333333,True,180.0,False,target,25941.0,79.0,77.25,154.5
2025-10-14,2025,2,long,1,25594.0,25718.0,124.0,25406.75,6,2025-10-14 16:59:00+00:00,25660.25,25718.0,25589.0,57.75,0.4657258064516129,False,,False,stop,25589.0,-71.25,-73.0,-146.0
2025-10-15,2025,2,short,-1,25456.0,25710.0,254.0,25770.5,7,2025-10-15 17:29:00+00:00,25516.0,25456.0,25715.0,60.0,0.23622047244094488,False,,True,stop,25715.0,-199.0,-200.75,-401.5
2025-10-17,2025,2,long,1,25581.0,25915.0,334.0,25503.75,1,2025-10-17 14:29:00+00:00,25677.0,25915.0,25576.0,238.0,0.7125748502994012,False,,False,stop,25576.0,-101.0,-102.75,-205.5
2025-10-31,2025,2,short,-1,26744.0,26860.0,116.0,26967.5,5,2025-10-31 16:29:00+00:00,26773.5,26744.0,26865.0,29.5,0.2543103448275862,True,12.0,True,target,26744.0,29.5,27.75,55.5
2025-11-03,2025,2,short,-1,26768.0,26950.0,182.0,27004.0,1,2025-11-03 15:29:00+00:00,26812.25,26768.0,26955.0,44.25,0.24313186813186813,False,,False,session_close,26878.5,-66.25,-68.0,-136.0
2025-11-05,2025,2,long,1,26426.0,26654.0,228.0,26310.5,1,2025-11-05 15:29:00+00:00,26456.75,26654.0,26421.0,197.25,0.8651315789473685,False,,False,session_close,26509.5,52.75,51.0,102.0
2025-11-12,2025,2,short,-1,26270.0,26398.0,128.0,26546.75,1,2025-11-12 15:29:00+00:00,26381.25,26270.0,26403.0,111.25,0.869140625,True,43.0,False,target,26270.0,111.25,109.5,219.0
2025-11-14,2025,2,long,1,25784.0,26036.0,252.0,25491.0,3,2025-11-14 16:29:00+00:00,26009.25,26036.0,25779.0,26.75,0.10615079365079365,True,41.0,True,target,26036.0,26.75,25.0,50.0
2025-11-21,2025,2,long,1,25168.0,26078.0,910.0,24971.0,9,2025-11-21 19:29:00+00:00,25349.0,26078.0,25163.0,729.0,0.8010989010989011,False,,False,stop,25163.0,-186.0,-187.75,-375.5
2025-12-03,2025,2,long,1,26302.0,26408.0,106.0,26263.25,3,2025-12-03 16:29:00+00:00,26335.0,26408.0,26297.0,73.0,0.6886792452830188,True,126.0,False,target,26408.0,73.0,71.25,142.5
2025-12-04,2025,2,short,-1,26242.0,26388.0,146.0,26480.0,1,2025-12-04 15:29:00+00:00,26358.25,26242.0,26393.0,116.25,0.7962328767123288,False,,False,stop,26393.0,-34.75,-36.5,-73.0
2025-12-08,2025,2,short,-1,26448.0,26530.0,82.0,26559.75,1,2025-12-08 15:29:00+00:00,26469.25,26448.0,26535.0,21.25,0.25914634146341464,True,21.0,True,target,26448.0,21.25,19.5,39.0
2025-12-15,2025,2,short,-1,25919.0,26133.0,214.0,26176.25,3,2025-12-15 16:29:00+00:00,26023.5,25919.0,26138.0,104.5,0.4883177570093458,True,7.0,True,target,25919.0,104.5,102.75,205.5
2025-12-17,2025,2,short,-1,25750.0,25872.0,122.0,25949.5,1,2025-12-17 15:29:00+00:00,25852.5,25750.0,25877.0,102.5,0.8401639344262295,True,7.0,False,target,25750.0,102.5,100.75,201.5
2026-01-12,2026,2,long,1,26288.0,26508.0,220.0,26278.0,1,2026-01-12 15:29:00+00:00,26454.0,26508.0,26283.0,54.0,0.24545454545454545,True,102.0,False,target,26508.0,54.0,52.25,104.5
2026-01-21,2026,2,long,1,25784.0,25944.0,160.0,25728.75,1,2026-01-21 15:29:00+00:00,25911.75,25944.0,25779.0,32.25,0.2015625,True,4.0,False,target,25944.0,32.25,30.5,61.0
2026-02-02,2026,2,long,1,26184.0,26410.0,226.0,26074.5,1,2026-02-02 15:29:00+00:00,26397.75,26410.0,26179.0,12.25,0.05420353982300885,True,3.0,True,target,26410.0,12.25,10.5,21.0
2026-02-11,2026,2,short,-1,25828.0,25946.0,118.0,25950.75,9,2026-02-11 19:29:00+00:00,25881.0,25828.0,25951.0,53.0,0.4491525423728814,True,16.0,True,target,25828.0,53.0,51.25,102.5
2026-02-12,2026,2,short,-1,25686.0,25856.0,170.0,25879.0,1,2026-02-12 15:29:00+00:00,25765.25,25686.0,25861.0,79.25,0.4661764705882353,True,8.0,False,target,25686.0,79.25,77.5,155.0
2026-02-27,2026,2,long,1,25432.0,25612.0,180.0,25348.25,2,2026-02-27 15:59:00+00:00,25515.25,25612.0,25427.0,96.75,0.5375,False,,False,stop,25427.0,-88.25,-90.0,-180.0
2026-03-23,2026,2,short,-1,24452.0,24704.0,252.0,24826.25,6,2026-03-23 16:59:00+00:00,24700.25,24452.0,24709.0,248.25,0.9851190476190477,False,,False,stop,24709.0,-8.75,-10.5,-21.0
2026-04-02,2026,2,long,1,24462.0,24616.0,154.0,24095.0,3,2026-04-02 15:29:00+00:00,24512.5,24616.0,24457.0,103.5,0.672077922077922,False,,False,stop,24457.0,-55.5,-57.25,-114.5
2026-04-13,2026,2,long,1,25566.0,25662.0,96.0,25547.25,1,2026-04-13 14:29:00+00:00,25627.75,25662.0,25561.0,34.25,0.3567708333333333,True,25.0,True,target,25662.0,34.25,32.5,65.0
