level_type,levels,median_distance_from_close,revisit_by_1,revisit_by_2,revisit_by_3,revisit_by_5,revisit_by_10,revisit_by_20,revisit_by_50
poc,1823,38.75,0.7365532381997805,0.8035126234906695,0.8369923161361141,0.8743139407244787,0.9012074643249177,0.9298437566823955,0.9552546794588507
vah,1823,46.0,0.7091108671789242,0.7793633369923161,0.8249176728869374,0.8633997177356123,0.9074643249176729,0.9367718787569912,0.964536623277684
val,1823,63.0,0.6267837541163557,0.7206366630076839,0.7694840834248079,0.8177826564215148,0.8616904500548848,0.8963580924502988,0.9259373302077116
range_mid,1823,57.875,0.6942919868276619,0.7727771679473107,0.8117453347969265,0.8568076005904841,0.8964608804269655,0.9207836199757883,0.9465631467302543
close_mirror,1823,38.75,0.7184412733260154,0.7826564215148188,0.822722283205269,0.8568565019669874,0.9014512071234259,0.9251249394904242,0.9539296352011656
random_in_range,1823,62.71718507148762,0.632821075740944,0.7372581949164241,0.7823310568763681,0.8301522640777721,0.882920492713804,0.9213973260942441,0.94778144041226
