tradingview_trade_number,reference_trade_id,direction,tradingview_signal_time,reference_signal_time,zone_time_delta_hours,zone_width_delta_points
126,3671,long,2026-03-20 17:36:00+00:00,2026-03-27 13:56:00+00:00,1.0,0.0
127,3672,long,2026-03-20 19:11:00+00:00,2026-03-27 17:43:00+00:00,1.0,0.0
161,3698,short,2026-04-15 22:47:00+00:00,2026-04-15 14:56:00+00:00,1.0,0.0
164,3699,short,2026-04-16 15:37:00+00:00,2026-04-15 19:05:00+00:00,1.0,0.0
166,3700,short,2026-04-17 14:40:00+00:00,2026-04-15 19:35:00+00:00,1.0,0.0
150,3653,short,2026-04-07 22:51:00+00:00,2026-03-19 00:04:00+00:00,1.0,1.75
