trade_id,zone_id,direction,timeframe,zone_formed_at,zone_available_at,zone_proximal,zone_distal,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,points,pnl,source
3536,7865,long,1h,2026-01-02 14:00:00+00:00,2026-01-02 15:00:00+00:00,25702.5,25638.0,2026-01-02 15:08:00+00:00,25702.5,25637.0,25802.5,2026-01-02 15:12:00+00:00,25637.0,stop,-65.5,-131.0,python_reference
3552,7891,long,1h,2026-01-12 14:00:00+00:00,2026-01-12 15:00:00+00:00,25753.0,25719.75,2026-01-14 10:34:00+00:00,25753.0,25718.75,25853.0,2026-01-14 10:52:00+00:00,25718.75,stop,-34.25,-68.5,python_reference
3628,7734,long,1h,2025-11-21 16:00:00+00:00,2025-11-21 17:00:00+00:00,24175.5,23927.25,2026-03-08 23:57:00+00:00,24175.5,24075.5,24275.5,2026-03-09 01:10:00+00:00,24075.5,stop,-100.0,-200.0,python_reference
3653,8097,short,1h,2026-03-18 18:00:00+00:00,2026-03-18 19:00:00+00:00,24626.75,24697.0,2026-03-19 00:04:00+00:00,24626.75,24698.0,24526.75,2026-03-19 02:20:00+00:00,24698.0,stop,-71.25,-142.5,python_reference
3654,8099,short,1h,2026-03-19 07:00:00+00:00,2026-03-19 08:00:00+00:00,24597.75,24639.25,2026-03-19 09:49:00+00:00,24597.75,24640.25,24497.75,2026-03-19 09:51:00+00:00,24640.25,stop,-42.5,-85.0,python_reference
3669,7499,long,1h,2025-09-07 22:00:00+00:00,2025-09-07 23:00:00+00:00,23691.0,23650.5,2026-03-27 10:38:00+00:00,23691.0,23649.5,23791.0,2026-03-27 10:55:00+00:00,23649.5,stop,-41.5,-83.0,python_reference
3670,8131,short,1h,2026-03-27 12:00:00+00:00,2026-03-27 13:00:00+00:00,23649.75,23689.25,2026-03-27 13:25:00+00:00,23649.75,23690.25,23549.75,2026-03-27 13:35:00+00:00,23549.75,target,100.0,200.0,python_reference
3671,7493,long,1h,2025-09-04 14:00:00+00:00,2025-09-04 15:00:00+00:00,23484.75,23410.0,2026-03-27 13:56:00+00:00,23484.75,23409.0,23584.75,2026-03-27 15:31:00+00:00,23584.75,target,100.0,200.0,python_reference
3672,7489,long,1h,2025-09-03 19:00:00+00:00,2025-09-03 20:00:00+00:00,23365.5,23318.25,2026-03-27 17:43:00+00:00,23365.5,23317.25,23465.5,2026-03-27 19:04:00+00:00,23317.25,stop,-48.25,-96.5,python_reference
3673,8132,short,1h,2026-03-29 23:00:00+00:00,2026-03-30 00:00:00+00:00,23191.5,23242.0,2026-03-30 00:19:00+00:00,23191.5,23243.0,23091.5,2026-03-30 00:20:00+00:00,23243.0,stop,-51.5,-103.0,python_reference
3687,8162,long,1h,2026-04-08 08:00:00+00:00,2026-04-08 09:00:00+00:00,25171.25,25134.25,2026-04-08 12:21:00+00:00,25171.25,25133.25,25271.25,2026-04-08 13:33:00+00:00,25133.25,stop,-38.0,-76.0,python_reference
3698,7949,short,1h,2026-01-29 14:00:00+00:00,2026-01-29 15:00:00+00:00,26175.25,26204.0,2026-04-15 14:56:00+00:00,26175.25,26205.0,26075.25,2026-04-15 15:42:00+00:00,26205.0,stop,-29.75,-59.5,python_reference
3699,7945,short,1h,2026-01-28 12:00:00+00:00,2026-01-28 13:00:00+00:00,26317.25,26326.75,2026-04-15 19:05:00+00:00,26317.25,26327.75,26217.25,2026-04-15 19:11:00+00:00,26327.75,stop,-10.5,-21.0,python_reference
3700,7650,short,1h,2025-10-30 04:00:00+00:00,2025-10-30 05:00:00+00:00,26356.75,26399.5,2026-04-15 19:35:00+00:00,26356.75,26400.5,26256.75,2026-04-15 20:00:00+00:00,26344.0,timed_close,12.75,25.5,python_reference
3702,8189,long,1h,2026-04-16 05:00:00+00:00,2026-04-16 06:00:00+00:00,26443.0,26416.5,2026-04-16 08:04:00+00:00,26443.0,26415.5,26543.0,2026-04-16 08:35:00+00:00,26415.5,stop,-27.5,-55.0,python_reference
