round_trip_ticks,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
0,3915.0,0.23422733077905492,1.5888888888888888,6220.5,0.03803853301436063,12441.0,1.0880781878873909,-4360.0,0.7570101761203106,1.2664538612973977,0.3930643578095085,2260.998332748281,0.550561797752809
1,3915.0,0.2334610472541507,1.5888888888888888,6220.5,0.03803853301436063,10483.5,1.0734395796847636,-4620.0,0.6450011751973662,1.0700606648296338,0.31650456444970326,2261.4087250618295,0.550561797752809
2,3915.0,0.23320561941251597,1.5888888888888888,6220.5,0.03803853301436063,8526.0,1.0591053094952547,-4880.0,0.533023557296202,0.8769573200566727,0.24033167037803463,2261.8584262335776,0.5280898876404494
4,3915.0,0.2326947637292465,1.5888888888888888,6220.5,0.03803853301436063,4611.0,1.031313134742911,-5804.5,0.30918574775729957,0.5003704938876756,0.109192181478161,2262.8756593609796,0.5056179775280899
6,3915.0,0.2326947637292465,1.5888888888888888,6220.5,0.03803853301436063,696.0,1.004632017489859,-7225.5,0.08554316228058996,0.13620493363253974,0.024834773506600315,2264.049820322902,0.48314606741573035
8,3915.0,0.23218390804597702,1.5888888888888888,6220.5,0.03803853301436063,-3219.0,0.9789969562224535,-8646.5,-0.13785804092390813,-0.2160083078034517,-0.03398454110004587,2265.3806651093246,0.449438202247191
