date,SND baseline,Phase 6 locked candidate
2019-05-06,,
2019-05-07,,
2019-05-08,,
2019-05-09,,
2019-05-10,,
2019-05-11,,
2019-05-12,,
2019-05-13,,
2019-05-14,,
2019-05-15,,
2019-05-16,,
2019-05-17,,
2019-05-18,,
2019-05-19,,
2019-05-20,,
2019-05-21,,
2019-05-22,,
2019-05-23,,
2019-05-24,,
2019-05-25,0.9285714285714286,-5.484375
2019-05-26,0.9285714285714286,-5.484375
2019-05-27,1.052325581395349,-5.484375
2019-05-28,2.284090909090909,-5.425675675675675
2019-05-29,2.0572916666666665,-4.6125
2019-05-30,0.6078431372549019,-4.865853658536586
2019-05-31,-0.2688679245283019,-5.691860465116279
2019-06-01,-0.2688679245283019,-5.691860465116279
2019-06-02,-0.4305555555555556,-5.767045454545454
2019-06-03,0.793859649122807,-3.641304347826087
2019-06-04,-0.5208333333333334,-3.7127659574468086
2019-06-05,-0.819672131147541,-2.0625
2019-06-06,0.2782258064516129,-2.4019607843137254
2019-06-07,0.7757352941176471,-0.022727272727272728
2019-06-08,0.7757352941176471,-0.022727272727272728
2019-06-09,0.7757352941176471,-0.022727272727272728
2019-06-10,1.0357142857142858,-0.022727272727272728
2019-06-11,1.9075342465753424,-0.36637931034482757
2019-06-12,1.7833333333333334,-0.44583333333333336
2019-06-13,1.5584415584415585,-0.6229508196721312
2019-06-14,1.5759493670886076,-0.38306451612903225
2019-06-15,1.5759493670886076,-0.38306451612903225
2019-06-16,1.5759493670886076,-0.38306451612903225
2019-06-17,1.5061728395061729,-0.32421875
2019-06-18,1.3764705882352941,-0.4307692307692308
2019-06-19,1.4073033707865168,-1.0326086956521738
2019-06-20,0.6263736263736264,-1.1901408450704225
2019-06-21,0.4483695652173913,-1.3923611111111112
2019-06-22,0.4483695652173913,-1.3923611111111112
2019-06-23,0.4483695652173913,-1.3923611111111112
2019-06-24,0.4401041666666667,-1.162162162162162
2019-06-25,1.7396907216494846,-1.575657894736842
2019-06-26,1.8535353535353536,-1.146103896103896
2019-06-27,1.6782178217821782,-1.415625
2019-06-28,1.8480392156862746,-1.415625
2019-06-29,1.8480392156862746,-1.415625
2019-06-30,1.8480392156862746,-1.415625
2019-07-01,2.125,-0.9847560975609756
2019-07-02,2.3154205607476634,-0.5148809523809523
2019-07-03,2.1136363636363638,-0.6724137931034483
2019-07-04,1.90625,-0.6544943820224719
2019-07-05,1.4051724137931034,-0.8611111111111112
2019-07-06,1.4051724137931034,-0.8611111111111112
2019-07-07,1.4051724137931034,-0.8611111111111112
2019-07-08,1.3347457627118644,-0.9313186813186813
2019-07-09,0.9648760330578512,-1.14247311827957
2019-07-10,0.6350806451612904,-1.2657894736842106
2019-07-11,0.34523809523809523,-1.34375
2019-07-12,0.234375,-1.4097938144329898
2019-07-13,0.234375,-1.4097938144329898
2019-07-14,0.1434108527131783,-1.4097938144329898
2019-07-15,0.07633587786259542,-1.4671717171717171
2019-07-16,0.39849624060150374,-1.0123762376237624
2019-07-17,0.32649253731343286,-1.0490196078431373
2019-07-18,0.8833333333333333,-1.1538461538461537
2019-07-19,0.391304347826087,-1.3985849056603774
2019-07-20,0.391304347826087,-1.3985849056603774
2019-07-21,0.391304347826087,-1.3985849056603774
2019-07-22,0.2375886524822695,-1.4768518518518519
2019-07-23,-0.09246575342465753,-1.8274336283185841
2019-07-24,-0.3875838926174497,-2.126086956521739
2019-07-25,-0.6185064935064936,-2.35
2019-07-26,-0.38225806451612904,-2.0330578512396693
2019-07-27,-0.38225806451612904,-2.0330578512396693
2019-07-28,-0.38225806451612904,-2.0330578512396693
2019-07-29,-0.23076923076923078,-2.1077235772357725
2019-07-30,-0.19025157232704404,-2.1370967741935485
2019-07-31,0.2822085889570552,-1.4173228346456692
2019-08-01,2.036144578313253,-0.04007633587786259
2019-08-02,2.473529411764706,-0.04007633587786259
2019-08-03,2.473529411764706,-0.04007633587786259
2019-08-04,3.3875739644970415,1.1288461538461538
2019-08-05,2.8026315789473686,0.7253787878787878
2019-08-06,2.5248538011695905,0.4567669172932331
2019-08-07,1.5380116959064327,-0.5827067669172933
2019-08-08,1.5263157894736843,0.2840909090909091
2019-08-09,1.8034682080924855,0.25
2019-08-10,1.8034682080924855,0.25
2019-08-11,1.2325581395348837,-0.7030075187969925
2019-08-12,2.276627218934911,-0.21374045801526717
2019-08-13,1.4220588235294118,-0.041666666666666664
2019-08-14,0.5176470588235295,0.10687022900763359
2019-08-15,1.495639534883721,0.22388059701492538
2019-08-16,1.04,0.007352941176470588
2019-08-17,1.04,0.007352941176470588
2019-08-18,0.09,0.11481481481481481
2019-08-19,0.16428571428571428,0.25757575757575757
2019-08-20,0.03571428571428571,0.26515151515151514
2019-08-21,0.0,0.39341085271317827
2019-08-22,-0.16473988439306358,0.6082677165354331
2019-08-23,-0.7779329608938548,0.22093023255813954
2019-08-24,-0.7779329608938548,0.22093023255813954
