test_year,chosen_side,chosen_max_gap_bps,train_trades,train_tstat,train_avg_net_pnl_dollars,trades,sessions,trades_per_year,fill_rate,stop_rate,deadline_rate,win_rate,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,per_trade_tstat,per_session_tstat,total_net_pnl_dollars,pnl_per_year_dollars,profit_factor,sharpe_ratio,max_drawdown_dollars,return_over_max_dd,worst_trade_dollars,best_trade_dollars,avg_mae_points,avg_minutes_held
2022,Short,3.0,118,1.5048299678017543,1.0423728813559323,59,199,74.71356783919599,1.0,0.0,0.0,0.5932203389830508,1.652542372881356,1.056355861123997,2.248728884638715,5.432735386405788,4.690148522506754,97.5,123.46733668341709,9.125,5.277889918857247,1.5,65.0,-1.0,8.0,10.932203389830509,13.05084745762712
2023,Short,3.0,177,2.636405840406218,1.2457627118644068,63,198,80.18181818181819,0.9841269841269841,0.0,0.015873015873015872,0.6190476190476191,0.8015873015873016,-1.0795861427451021,2.6827607459197056,0.8351607655857615,0.8365382135112697,50.5,64.27272727272728,1.7481481481481482,0.9437423838250069,56.0,0.9017857142857143,-56.0,7.5,5.583333333333333,13.571428571428571
2024,Short,7.5,339,2.720347643381228,2.234513274336283,95,197,121.5228426395939,0.9157894736842105,0.0,0.08421052631578947,0.7578947368421053,-0.07894736842105263,-5.6443698369998785,5.486475100157774,-0.027802741098918324,-0.027879147488898543,-7.5,-9.593908629441625,0.9881610102604578,-0.03153164633089791,478.5,-0.01567398119122257,-132.0,25.0,12.892105263157895,42.26315789473684
2025,Short,3.0,304,2.5250965490771775,1.174342105263158,60,196,77.14285714285714,1.0,0.0,0.0,0.75,3.941666666666667,2.8448771508393063,5.038456182494027,7.0437624130997785,5.630340651925112,236.5,304.07142857142856,34.785714285714285,6.384206212101911,1.5,157.66666666666666,-1.0,14.0,13.616666666666667,16.0
2026,Short,3.0,364,4.050081683399632,1.6304945054945055,31,120,65.10000000000001,0.967741935483871,0.0,0.03225806451612903,0.8387096774193549,-0.12903225806451613,-11.819766090146619,11.561701574017587,-0.021632395731322574,-0.02189803694484866,-4.0,-8.4,0.9777777777777777,-0.03173327033697771,177.5,-0.022535211267605635,-177.5,15.0,23.475806451612904,28.387096774193548
