year,trades,sessions,trades_per_year,fill_rate,stop_rate,deadline_rate,win_rate,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,per_trade_tstat,per_session_tstat,total_net_pnl_dollars,pnl_per_year_dollars,profit_factor,sharpe_ratio,max_drawdown_dollars,return_over_max_dd,worst_trade_dollars,best_trade_dollars,avg_mae_points,avg_minutes_held
2020,40,200,50.400000000000006,0.975,0.0,0.025,0.725,0.575,-1.9510535200785972,3.1010535200785974,0.4461422891645362,0.44977760901703145,23.0,28.98,1.4466019417475728,0.5048741139552292,48.5,0.4742268041237113,-48.5,5.5,10.025,21.875
2021,78,201,97.79104477611939,0.9743589743589743,0.0,0.02564102564102564,0.7564102564102564,1.2820512820512822,-0.3214059339346189,2.8855084980371832,1.5670978520180572,1.55818066583424,100.0,125.3731343283582,2.098901098901099,1.7446971551767751,41.0,2.4390243902439024,-41.0,7.5,6.951923076923077,16.28205128205128
2022,59,199,74.71356783919599,1.0,0.0,0.0,0.5932203389830508,1.652542372881356,1.056355861123997,2.248728884638715,5.432735386405788,4.690148522506754,97.5,123.46733668341709,9.125,5.277889918857247,1.5,65.0,-1.0,8.0,10.932203389830509,13.05084745762712
2023,63,198,80.18181818181819,0.9841269841269841,0.0,0.015873015873015872,0.6190476190476191,0.8015873015873016,-1.0795861427451021,2.6827607459197056,0.8351607655857615,0.8365382135112697,50.5,64.27272727272728,1.7481481481481482,0.9437423838250069,56.0,0.9017857142857143,-56.0,7.5,5.583333333333333,13.571428571428571
2024,64,197,81.86802030456853,0.96875,0.0,0.03125,0.734375,1.34375,-1.6420884081593723,4.329588408159372,0.8820643534502431,0.8831041127450536,86.0,110.01015228426395,1.7319148936170212,0.9988012211466141,87.5,0.9828571428571429,-87.5,9.5,9.12109375,25.703125
2025,60,196,77.14285714285714,1.0,0.0,0.0,0.75,3.941666666666667,2.8448771508393063,5.038456182494027,7.0437624130997785,5.630340651925112,236.5,304.07142857142856,34.785714285714285,6.384206212101911,1.5,157.66666666666666,-1.0,14.0,13.616666666666667,16.0
2026,31,120,65.10000000000001,0.967741935483871,0.0,0.03225806451612903,0.8387096774193549,-0.12903225806451613,-11.819766090146619,11.561701574017587,-0.021632395731322574,-0.02189803694484866,-4.0,-8.4,0.9777777777777777,-0.03173327033697771,177.5,-0.022535211267605635,-177.5,15.0,23.475806451612904,28.387096774193548
