reference_close,side,max_gap_bps,trades,sessions,trades_per_year,fill_rate,stop_rate,deadline_rate,win_rate,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,per_trade_tstat,per_session_tstat,total_net_pnl_dollars,pnl_per_year_dollars,profit_factor,sharpe_ratio,max_drawdown_dollars,return_over_max_dd,worst_trade_dollars,best_trade_dollars,avg_mae_points,avg_minutes_held
17:00,Short,3.0,395,1311,75.92677345537757,0.9822784810126582,0.0,0.017721518987341773,0.7088607594936709,1.4924050632911392,0.33158779819670103,2.6532223283855774,2.5198283015116827,2.5079811805495393,589.5,113.31350114416476,2.1196581196581197,1.099570798903558,177.5,3.3211267605633803,-177.5,15.0,10.3,18.367088607594937
17:00,Short,7.5,578,1311,111.10297482837528,0.9567474048442907,0.0,0.04325259515570934,0.7698961937716263,1.741349480968858,-0.41380756921202755,3.8965065311497438,1.583635073755386,1.5824804849048326,1006.5,193.4691075514874,1.4054380664652568,0.6938047799285413,648.5,1.5520431765612952,-303.0,39.0,14.125432525951558,31.782006920415224
17:00,Short,5.0,517,1311,99.37757437070938,0.9632495164410058,0.0,0.0367504835589942,0.7543520309477756,1.3878143133462282,-0.5892467805338195,3.364875407226276,1.3758128675250532,1.3750933669812424,717.5,137.91762013729976,1.4187335862270207,0.6028803261463236,502.0,1.4292828685258965,-303.0,27.5,12.723887814313347,26.431334622823986
16:00,Short,2.0,86,1311,16.530892448512585,0.9767441860465116,0.0,0.023255813953488372,0.7325581395348837,0.8313953488372093,-1.1835407781566607,2.8463314758310796,0.8087129570302898,0.8102384613383106,71.5,13.74370709382151,1.598326359832636,0.35523175339016766,97.5,0.7333333333333333,-73.0,8.0,12.787790697674419,22.732558139534884
17:00,Short,10.0,619,1311,118.98398169336384,0.9434571890145396,0.0,0.05654281098546042,0.7689822294022617,0.8731825525040388,-1.6938871612325919,3.4402522662406696,0.666677012773798,0.6668351014636712,540.5,103.89473684210526,1.1462589636043836,0.2923596121613165,735.0,0.7353741496598639,-303.0,48.0,15.494749596122778,37.423263327948305
16:00,Long,inf,581,1311,111.67963386727689,0.7022375215146299,0.0,0.2977624784853701,0.7314974182444062,1.661790017211704,-6.109649790035825,9.433229824459232,0.4191049136424946,0.4192706958896987,965.5,185.58810068649885,1.0639107698417951,0.18382028446292814,1782.5,0.5416549789621319,-675.5,411.5,35.570998278829606,149.75903614457832
17:00,Short,2.0,296,1311,56.89702517162471,0.9831081081081081,0.0,0.016891891891891893,0.6182432432432432,0.018581081081081082,-1.4175299992789194,1.4546921614410817,0.025358936713217733,0.025392170343729287,5.5,1.05720823798627,1.0123456790123457,0.011132654920732624,177.5,0.030985915492957747,-177.5,10.0,10.068412162162161,16.993243243243242
17:00,Both,7.5,1018,1311,195.6796338672769,0.9469548133595285,0.0,0.05304518664047151,0.7524557956777996,-0.17239685658153242,-2.2785254554843295,1.9337317423212648,-0.16043257415002754,-0.16044974755151178,-175.5,-33.734553775743706,0.9700256191289496,-0.07034576593610332,1414.5,-0.12407211028632026,-529.5,39.0,15.137770137524559,37.156188605108056
16:00,Long,25.0,484,1311,93.03432494279176,0.7644628099173554,0.0,0.23553719008264462,0.762396694214876,-1.149793388429752,-8.21766874773799,5.918081970878486,-0.31884456561510377,-0.3190315302986932,-556.5,-106.97025171624713,0.943713967836553,-0.13987256258800684,2175.5,-0.2558032636175592,-675.5,140.0,29.789256198347108,126.06404958677686
16:00,Short,7.5,292,1311,56.12814645308924,0.8732876712328768,0.0,0.1267123287671233,0.8047945205479452,-0.7294520547945206,-4.873064708046536,3.4141605984574954,-0.3450370212575787,-0.3454425969740212,-213.0,-40.94279176201373,0.9238197424892703,-0.1514519308501412,660.5,-0.32248296744890237,-303.0,35.0,16.006849315068493,74.48630136986301
