stop_points,trades,sessions,trades_per_year,fill_rate,stop_rate,deadline_rate,win_rate,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,per_trade_tstat,per_session_tstat,total_net_pnl_dollars,pnl_per_year_dollars,profit_factor,sharpe_ratio,max_drawdown_dollars,return_over_max_dd,worst_trade_dollars,best_trade_dollars,avg_mae_points,avg_minutes_held
,395,1311,75.92677345537757,0.9822784810126582,0.0,0.017721518987341773,0.7088607594936709,1.4924050632911392,0.33158779819670103,2.6532223283855774,2.5198283015116827,2.5079811805495393,589.5,113.31350114416476,2.1196581196581197,1.099570798903558,177.5,3.3211267605633803,-177.5,15.0,10.3,18.367088607594937
10.0,395,1311,75.92677345537757,0.6455696202531646,0.35443037974683544,0.0,0.4607594936708861,-6.1936708860759495,-7.373108884290324,-5.014232887861575,-10.292505399126975,-9.451981468408771,-2446.5,-470.26544622425627,0.21548821548821548,-4.144019458775427,2451.5,-0.9979604323883337,-22.0,14.0,9.082278481012658,5.6075949367088604
20.0,395,1311,75.92677345537757,0.8632911392405064,0.13670886075949368,0.0,0.6126582278481013,-3.579746835443038,-5.114279596620493,-2.045214074265583,-4.572189727118457,-4.493704861252776,-1414.0,-271.7986270022883,0.3895963738398446,-1.970168948094671,1443.0,-0.9799029799029799,-42.0,14.0,9.372784810126582,8.50632911392405
30.0,395,1311,75.92677345537757,0.9265822784810127,0.06835443037974684,0.005063291139240506,0.660759493670886,-1.991139240506329,-3.6408728231188325,-0.3414056578938258,-2.3655705815236456,-2.356006006339985,-786.5,-151.1807780320366,0.5601230425055929,-1.0329405287025306,840.5,-0.9357525282569898,-62.0,14.0,9.770253164556962,12.632911392405063
50.0,395,1311,75.92677345537757,0.9696202531645569,0.017721518987341773,0.012658227848101266,0.6987341772151898,0.1848101265822785,-1.3395048366856703,1.7091250898502275,0.2376288389639304,0.23782753882717778,73.0,14.03203661327231,1.072027627035027,0.10427040637209492,245.5,0.2973523421588595,-102.0,15.0,10.093037974683543,16.240506329113924
80.0,395,1311,75.92677345537757,0.979746835443038,0.005063291139240506,0.015189873417721518,0.7063291139240506,1.0873417721518988,-0.28053426955896543,2.455217813862763,1.5579998948211695,1.5560352814860674,429.5,82.558352402746,1.638187221396731,0.6822104451401251,324.0,1.3256172839506173,-162.0,15.0,10.26392405063291,17.518987341772153
