time,open,high,low,close,P6 · research proximal,P6 · direction (+1/-1),P6 · opposing room R,P6 · zone created Unix seconds,P6 · active research entry,P6 · active stop,P6 · active target
2026-09-04T12:00:00-04:00,29514.75,29519,29508,29519,,,,,,,
2026-09-04T12:01:00-04:00,29518.5,29520.25,29510,29513.5,,,,,,,
2026-09-04T12:02:00-04:00,29512.75,29516.25,29509.75,29513.25,,,,,,,
2026-09-04T12:03:00-04:00,29513.5,29515,29504,29508,,,,,,,
2026-09-04T12:04:00-04:00,29508.25,29516.25,29507,29514.25,,,,,,,
2026-09-04T12:05:00-04:00,29513.75,29524,29513.75,29521,,,,,,,
2026-09-04T12:06:00-04:00,29520.75,29522.75,29507.75,29519.5,,,,,,,
2026-09-04T12:07:00-04:00,29519.5,29529.75,29518.75,29528.75,,,,,,,
2026-09-04T12:08:00-04:00,29528.5,29536.5,29527.25,29535,,,,,,,
2026-09-04T12:09:00-04:00,29535,29536.25,29529,29532,,,,,,,
2026-09-04T12:10:00-04:00,29532.25,29539.75,29527.5,29537,,,,,,,
2026-09-04T12:11:00-04:00,29537.5,29541.75,29534,29540.75,,,,,,,
2026-09-04T12:12:00-04:00,29541,29547,29538,29544,,,,,,,
2026-09-04T12:13:00-04:00,29544.25,29552.5,29542.25,29543,,,,,,,
2026-09-04T12:14:00-04:00,29543.25,29550.25,29541.25,29547.75,,,,,,,
2026-09-04T12:15:00-04:00,29547.75,29548.25,29539.25,29542.25,,,,,,,
2026-09-04T12:16:00-04:00,29542.5,29547.5,29538.75,29539.5,,,,,,,
2026-09-04T12:17:00-04:00,29539.5,29542.5,29535.5,29541.5,,,,,,,
2026-09-04T12:18:00-04:00,29541.5,29546,29537.25,29543.75,,,,,,,
2026-09-04T12:19:00-04:00,29543.5,29547.25,29542,29544,,,,,,,
2026-09-04T12:20:00-04:00,29544,29557.75,29544,29554.5,,,,,,,
2026-09-04T12:21:00-04:00,29554.75,29565.25,29553.75,29557,,,,,,,
2026-09-04T12:22:00-04:00,29557,29557.25,29549.75,29552.5,,,,,,,
2026-09-04T12:23:00-04:00,29552.25,29554.25,29546,29552.5,,,,,,,
2026-09-04T12:24:00-04:00,29552.25,29556.25,29546,29554.25,,,,,,,
2026-09-04T12:25:00-04:00,29554.25,29554.75,29547.75,29551.5,,,,,,,
2026-09-04T12:26:00-04:00,29551.25,29554.25,29546.25,29548.25,,,,,,,
2026-09-04T12:27:00-04:00,29548.5,29559.75,29548.25,29559.75,,,,,,,
2026-09-04T12:28:00-04:00,29559.25,29560.75,29554.5,29558,,,,,,,
2026-09-04T12:29:00-04:00,29558,29559.25,29549.5,29554,,,,,,,
2026-09-04T12:30:00-04:00,29553.75,29557.25,29548.5,29556.75,,,,,,,
2026-09-04T12:31:00-04:00,29556.5,29563.5,29555.25,29562.25,,,,,,,
2026-09-04T12:32:00-04:00,29562.25,29567.75,29560.25,29566.75,,,,,,,
2026-09-04T12:33:00-04:00,29566.5,29567,29562.5,29565,,,,,,,
2026-09-04T12:34:00-04:00,29564.5,29571.5,29563.75,29570.75,,,,,,,
2026-09-04T12:35:00-04:00,29570.75,29574,29566.75,29570.5,,,,,,,
2026-09-04T12:36:00-04:00,29570.5,29570.5,29561.5,29563,,,,,,,
2026-09-04T12:37:00-04:00,29562.75,29566.5,29558,29563,,,,,,,
2026-09-04T12:38:00-04:00,29562.5,29564,29559.25,29559.25,,,,,,,
2026-09-04T12:39:00-04:00,29559.5,29563.25,29557.25,29562,,,,,,,
2026-09-04T12:40:00-04:00,29562.25,29567.5,29561.25,29564.75,,,,,,,
2026-09-04T12:41:00-04:00,29564.75,29565.5,29558.75,29562.75,,,,,,,
2026-09-04T12:42:00-04:00,29563,29563.25,29557.25,29562.75,,,,,,,
2026-09-04T12:43:00-04:00,29562.5,29565.75,29558.25,29563,,,,,,,
2026-09-04T12:44:00-04:00,29563.25,29569,29563.25,29568,,,,,,,
2026-09-04T12:45:00-04:00,29568.25,29570.5,29564.5,29567.25,,,,,,,
2026-09-04T12:46:00-04:00,29566.75,29570.5,29566,29569.25,,,,,,,
2026-09-04T12:47:00-04:00,29569.25,29580.75,29568.5,29579.5,,,,,,,
2026-09-04T12:48:00-04:00,29579.25,29580.5,29573.5,29578.75,,,,,,,
2026-09-04T12:49:00-04:00,29579,29589.75,29578.5,29587.5,,,,,,,
2026-09-04T12:50:00-04:00,29587.25,29596,29587.25,29595,,,,,,,
2026-09-04T12:51:00-04:00,29595,29595.25,29588.25,29591.25,,,,,,,
2026-09-04T12:52:00-04:00,29591.5,29592.25,29587.75,29591.5,,,,,,,
2026-09-04T12:53:00-04:00,29591.75,29593.5,29585.5,29585.75,,,,,,,
2026-09-04T12:54:00-04:00,29585.75,29589.5,29584.5,29585.25,,,,,,,
2026-09-04T12:55:00-04:00,29585,29588.5,29581.25,29586.5,,,,,,,
2026-09-04T12:56:00-04:00,29586.25,29588.25,29577.25,29580,,,,,,,
2026-09-04T12:57:00-04:00,29580,29585.75,29579.75,29583.5,,,,,,,
2026-09-04T12:58:00-04:00,29583.5,29587,29582,29585.75,,,,,,,
2026-09-04T12:59:00-04:00,29585.5,29586,29575,29575.75,,,,,,,
2026-09-04T13:00:00-04:00,29576,29580.5,29564.25,29569.75,,,,,,,
2026-09-04T13:01:00-04:00,29570.25,29571,29563.25,29568.25,,,,,,,
2026-09-04T13:02:00-04:00,29568.25,29568.5,29552.25,29556.75,,,,,,,
2026-09-04T13:03:00-04:00,29557,29557.25,29550,29550.75,,,,,,,
2026-09-04T13:04:00-04:00,29550.75,29554.25,29544.75,29550.75,,,,,,,
2026-09-04T13:05:00-04:00,29550.75,29560.5,29550,29557,,,,,,,
2026-09-04T13:06:00-04:00,29557.25,29558,29549.75,29551.5,,,,,,,
2026-09-04T13:07:00-04:00,29551.5,29556.5,29549.5,29552,,,,,,,
2026-09-04T13:08:00-04:00,29552,29556,29541,29542,,,,,,,
2026-09-04T13:09:00-04:00,29541.75,29545.5,29538.5,29539.5,,,,,,,
2026-09-04T13:10:00-04:00,29539.75,29547,29538.75,29539.75,,,,,,,
2026-09-04T13:11:00-04:00,29540,29544,29532.75,29532.75,,,,,,,
2026-09-04T13:12:00-04:00,29533,29540.5,29531.25,29539.5,,,,,,,
2026-09-04T13:13:00-04:00,29539,29542.25,29535.5,29537.75,,,,,,,
2026-09-04T13:14:00-04:00,29538,29541.25,29532.5,29535.25,,,,,,,
2026-09-04T13:15:00-04:00,29535,29539.25,29531.75,29534.25,,,,,,,
2026-09-04T13:16:00-04:00,29534,29537.75,29529.75,29536,,,,,,,
2026-09-04T13:17:00-04:00,29536.25,29543.5,29536,29540.75,,,,,,,
2026-09-04T13:18:00-04:00,29541,29541.5,29535.75,29537.5,,,,,,,
2026-09-04T13:19:00-04:00,29537.25,29539.75,29526.5,29531.25,,,,,,,
2026-09-04T13:20:00-04:00,29531.5,29535.75,29531,29533.75,,,,,,,
2026-09-04T13:21:00-04:00,29533.25,29533.25,29520.25,29522,,,,,,,
2026-09-04T13:22:00-04:00,29521.75,29528,29521,29526.25,,,,,,,
2026-09-04T13:23:00-04:00,29526,29526.25,29520.5,29524.5,,,,,,,
2026-09-04T13:24:00-04:00,29524.5,29524.75,29516.25,29518.5,,,,,,,
