Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
70,Entry long,2026-02-18 08:49,P6L|sig=1771422480000|zone=1771394400000|prox=25333.50|dist=25310.25|room=4.6907,25339.75,1,50679.5,-61,-0.12,0,34,0.07,-61,-0.12,-5,0.00,41
71,Exit short,2026-02-19 00:48,P6 Short Exit,25508.75,1,50978,-39.5,-0.08,0,6.5,0.01,-39.5,-0.08,-44.5,0.00,17
71,Entry short,2026-02-19 00:31,P6S|sig=1771479000000|zone=1771470000000|prox=25488.00|dist=25507.75|room=9.1807,25489,1,50978,-39.5,-0.08,0,6.5,0.01,-39.5,-0.08,-44.5,0.00,17
72,Exit short,2026-02-20 04:07,P6 Short Exit,25469.25,1,50905,-33.5,-0.07,0,5.5,0.01,-33.5,-0.07,-78,-0.01,3
72,Entry short,2026-02-20 04:04,P6S|sig=1771578180000|zone=1771567200000|prox=25451.00|dist=25468.25|room=5.5616,25452.5,1,50905,-33.5,-0.07,0,5.5,0.01,-33.5,-0.07,-78,-0.01,3
73,Exit short,2026-02-24 07:06,P6 Short Exit,25399.5,1,50761,-38,-0.07,0,25.5,0.05,-38,-0.07,-116,-0.01,2
73,Entry short,2026-02-24 07:04,P6S|sig=1771934580000|zone=1771905600000|prox=25381.25|dist=25398.50|room=4.589,25380.5,1,50761,-38,-0.07,0,25.5,0.05,-38,-0.07,-116,-0.01,2
74,Exit long,2026-02-24 09:30,P6 Long Exit,25303.5,1,50688.5,-81.5,-0.16,0,11,0.02,-81.5,-0.16,-197.5,-0.02,9
74,Entry long,2026-02-24 09:21,P6L|sig=1771942800000|zone=1771934400000|prox=25341.00|dist=25304.50|room=6.4467,25344.25,1,50688.5,-81.5,-0.16,0,11,0.02,-81.5,-0.16,-197.5,-0.02,9
75,Exit long,2026-02-24 09:40,P6 Long Exit,25335.75,1,50460,211.5,0.42,0,211.5,0.42,-55.5,-0.11,14,0.00,6
