Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
7,Exit long,2026-01-06 03:10,P6 Long Exit,26123.75,1,52265,-17.5,-0.03,0,24.5,0.05,-17.5,-0.03,405,0.04,6
7,Entry long,2026-01-06 03:04,1h first touch + room,26132.5,1,52265,-17.5,-0.03,0,24.5,0.05,-17.5,-0.03,405,0.04,6
8,Exit long,2026-01-06 03:27,P6 Long Exit,26059.5,1,52152.5,-33.5,-0.06,0,2,0.00,-33.5,-0.06,371.5,0.04,4
8,Entry long,2026-01-06 03:23,1h first touch + room,26076.25,1,52152.5,-33.5,-0.06,0,2,0.00,-33.5,-0.06,371.5,0.04,4
9,Exit short,2026-01-07 09:41,P6 Short Exit,26351.75,1,52675.5,-28,-0.05,0,205,0.39,-28,-0.05,343.5,0.03,755
9,Entry short,2026-01-06 21:06,1h first touch + room,26337.75,1,52675.5,-28,-0.05,0,205,0.39,-28,-0.05,343.5,0.03,755
10,Exit short,2026-01-07 09:46,P6 Short Exit,26377,1,52704,-50,-0.09,0,11.5,0.02,-50,-0.09,293.5,0.03,3
10,Entry short,2026-01-07 09:43,1h first touch + room,26352,1,52704,-50,-0.09,0,11.5,0.02,-50,-0.09,293.5,0.03,3
11,Exit short,2026-01-07 10:35,P6 Short Exit,26402.75,1,52759,-46.5,-0.09,0,118.5,0.22,-46.5,-0.09,247,0.02,46
11,Entry short,2026-01-07 09:49,1h first touch + room,26379.5,1,52759,-46.5,-0.09,0,118.5,0.22,-46.5,-0.09,247,0.02,46
12,Exit short,2026-01-08 01:01,P6 Short Exit,26243,1,52686,200,0.38,0,200,0.38,-19,-0.04,447,0.04,322
12,Entry short,2026-01-07 19:39,1h first touch + room,26343,1,52686,200,0.38,0,200,0.38,-19,-0.04,447,0.04,322
13,Exit short,2026-01-08 02:24,P6 Short Exit,26302.75,1,52559,-46.5,-0.09,0,2.5,0.00,-46.5,-0.09,400.5,0.04,0
13,Entry short,2026-01-08 02:24,1h first touch + room,26279.5,1,52559,-46.5,-0.09,0,2.5,0.00,-46.5,-0.09,400.5,0.04,0
14,Exit short,2026-01-09 16:00,15:00 CT close,26437,1,52950.5,76.5,0.14,0,81.5,0.15,-38,-0.07,477,0.05,73
14,Entry short,2026-01-09 14:47,1h first touch + room,26475.25,1,52950.5,76.5,0.14,0,81.5,0.15,-38,-0.07,477,0.05,73
15,Exit long,2026-01-13 08:30,P6 Long Exit,26487.5,1,52773.5,201.5,0.38,0,201.5,0.38,-22.5,-0.04,678.5,0.07,566
15,Entry long,2026-01-12 23:04,1h first touch + room,26386.75,1,52773.5,201.5,0.38,0,201.5,0.38,-22.5,-0.04,678.5,0.07,566
16,Exit long,2026-01-13 10:15,P6 Long Exit,26393.75,1,52828.5,-41,-0.08,0,103.5,0.20,-41,-0.08,637.5,0.06,12
16,Entry long,2026-01-13 10:03,1h first touch + room,26414.25,1,52828.5,-41,-0.08,0,103.5,0.20,-41,-0.08,637.5,0.06,12
17,Exit long,2026-01-13 13:50,P6 Long Exit,26354.5,1,52910.5,-201.5,-0.38,0,76.5,0.14,-201.5,-0.38,436,0.04,92
17,Entry long,2026-01-13 12:18,1h first touch + room,26455.25,1,52910.5,-201.5,-0.38,0,76.5,0.14,-201.5,-0.38,436,0.04,92
18,Exit short,2026-01-14 04:10,P6 Short Exit,26385.25,1,52745,-25.5,-0.05,0,8,0.02,-25.5,-0.05,410.5,0.04,9
