reference_close,sample,split_ts,side,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
16:00,First half,2023-04-17 18:00:00-04:00,All,651,442,0.6789554531490015,0.6421314206285865,0.7136798934535235,13.75,23.273041474654377,19.54602789365552,20.0,-3.19815668202765,-3.69815668202765,-9.458652254756155,2.0623388907008553,-1.2582691665363865,-2407.5,0.7127496159754224,0.8492249882573979,3916.0,29.005760368663594
16:00,Second half,2023-04-17 18:00:00-04:00,All,652,420,0.6441717791411042,0.6066763911809905,0.6799782529469998,16.75,31.499616564417177,15.188630938605936,15.0,-3.9225460122699385,-4.4225460122699385,-12.089193955261592,3.2441019307217163,-1.130615496739534,-2883.5,0.7101226993865031,0.8591594011771314,4481.5,37.58243865030675
16:00,First half,2023-04-17 18:00:00-04:00,Short,380,242,0.6368421052631579,0.5873430633357657,0.6836021344631054,14.25,22.20921052631579,18.560553672856713,25.0,-7.480263157894737,-7.980263157894737,-14.708003846761272,-1.252522469028202,-2.3248560286938087,-3032.5,0.6736842105263158,0.6877574135090609,3498.0,28.25
16:00,First half,2023-04-17 18:00:00-04:00,Long,271,200,0.7380073800738007,0.6825889663375969,0.7867725358356071,13.5,24.764760147601475,20.927873664517314,12.5,2.8062730627306274,2.3062730627306274,-7.789965690561695,12.40251181602295,0.4477124885391362,625.0,0.7675276752767528,1.0999120773719127,1193.5,30.06549815498155
16:00,Second half,2023-04-17 18:00:00-04:00,Long,310,208,0.6709677419354839,0.6168497721384872,0.7209003784561553,16.5,28.778225806451612,13.818450499714979,15.0,3.7516129032258063,3.2516129032258063,-8.326157741383568,14.829383547835182,0.5504552152469321,1008.0,0.7483870967741936,1.1166801713161245,1347.0,40.383870967741935
16:00,Second half,2023-04-17 18:00:00-04:00,Short,342,212,0.6198830409356725,0.5673749840165703,0.66972787885374,17.0,33.96637426900585,16.430607359822883,10.0,-10.878654970760234,-11.378654970760234,-21.511610237815113,-1.2456997037053537,-2.200913112053347,-3891.5,0.6754385964912281,0.6711732646077148,4518.5,35.04312865497076
17:00,First half,2023-04-10 18:00:00-04:00,All,608,555,0.912828947368421,0.8877355645164715,0.9327384205545426,3.0,5.495065789473684,4.71466945061051,5.0,-4.0912828947368425,-4.5912828947368425,-9.172250914536136,-0.010314874937550123,-1.9643772121103493,-2791.5,0.8404605263157895,0.6168942565017498,3535.5,19.628700657894736
17:00,Second half,2023-04-10 18:00:00-04:00,All,609,532,0.8735632183908046,0.8448053889020578,0.8976378538096449,4.5,10.02791461412151,4.7842264874203115,5.0,-2.8916256157635467,-3.3916256157635467,-8.665558949493793,1.882307717966699,-1.2604376444919225,-2065.5,0.825944170771757,0.7926204819277108,2460.0,26.729474548440066
17:00,First half,2023-04-10 18:00:00-04:00,Long,268,239,0.8917910447761194,0.8489140209746474,0.9235950762918587,2.75,5.4710820895522385,4.781449912085825,5.0,-6.3638059701492535,-6.8638059701492535,-13.80668701818076,0.0790750778822531,-1.9376412344399658,-1839.5,0.8059701492537313,0.495889284735544,2228.0,20.986940298507463
17:00,First half,2023-04-10 18:00:00-04:00,Short,340,316,0.9294117647058824,0.8971193433892553,0.9521092544361365,3.25,5.513970588235294,4.662030733918202,5.0,-2.3,-2.8,-8.897973049370691,3.2979730493706914,-0.8999546497776583,-952.0,0.8676470588235294,0.7382817869415808,1398.0,18.558088235294118
17:00,Second half,2023-04-10 18:00:00-04:00,Short,345,303,0.8782608695652174,0.8395303621488651,0.9086605232952106,4.5,9.002898550724638,4.236784027298579,5.0,-4.478260869565218,-4.978260869565218,-11.373193362357412,1.4166716232269758,-1.525772492196594,-1717.5,0.8347826086956521,0.6875568491904676,1857.0,25.35217391304348
17:00,Second half,2023-04-10 18:00:00-04:00,Long,264,229,0.8674242424242424,0.8212018286127583,0.9031072488925969,4.0,11.367424242424242,5.499634247806667,5.0,-0.8181818181818182,-1.3181818181818181,-10.167906404120577,7.531542767756941,-0.2919400354216614,-348.0,0.8143939393939394,0.9220255433564867,1302.0,28.529356060606062
