reference_close,reference_ts,reference_age_hours,asia_start_ts,asia_end_ts,side,ny_close,entry_price,raw_gap_points,gap_points,gap_bps,filled,fill_bar_ts,fill_minutes_upper_bound,exit_ts,exit_price,gross_points,net_points,gross_pnl_dollars,net_pnl_dollars,mae_points_bar_based,mfe_points_bar_based,asia_bars
16:00,2020-05-11 16:00:00-04:00,2.0,2020-05-11 18:00:00-04:00,2020-05-12 00:00:00-04:00,Long,9286.75,9281.25,-5.5,5.5,5.922416345869114,True,2020-05-11 18:00:00-04:00,5.0,2020-05-11 18:05:00-04:00,9286.75,5.5,5.25,11.0,10.5,1.0,10.25,72
16:00,2020-05-12 16:00:00-04:00,2.0,2020-05-12 18:00:00-04:00,2020-05-13 00:00:00-04:00,Long,9102.25,9047.75,-54.5,54.5,59.875305556318494,False,,,2020-05-13 00:00:00-04:00,9087.25,39.5,39.25,79.0,78.5,49.75,41.75,72
16:00,2020-05-13 16:00:00-04:00,2.0,2020-05-13 18:00:00-04:00,2020-05-14 00:00:00-04:00,Short,8990.75,9011.5,20.75,20.75,23.079275922475876,True,2020-05-13 20:00:00-04:00,125.0,2020-05-13 20:05:00-04:00,8990.75,20.75,20.5,41.5,41.0,26.75,27.5,72
16:00,2020-05-14 16:00:00-04:00,2.0,2020-05-14 18:00:00-04:00,2020-05-15 00:00:00-04:00,Long,9086.75,9085.75,-1.0,1.0,1.1005034803422566,True,2020-05-14 18:00:00-04:00,5.0,2020-05-14 18:05:00-04:00,9086.75,1.0,0.75,2.0,1.5,7.75,7.0,72
16:00,2020-05-18 16:00:00-04:00,2.0,2020-05-18 18:00:00-04:00,2020-05-19 00:00:00-04:00,Long,9320.0,9317.0,-3.0,3.0,3.218884120171674,True,2020-05-18 18:00:00-04:00,5.0,2020-05-18 18:05:00-04:00,9320.0,3.0,2.75,6.0,5.5,6.75,16.75,72
16:00,2020-05-20 16:00:00-04:00,2.0,2020-05-20 18:00:00-04:00,2020-05-21 00:00:00-04:00,Short,9480.25,9496.25,16.0,16.0,16.877192057171488,True,2020-05-20 19:35:00-04:00,100.0,2020-05-20 19:40:00-04:00,9480.25,16.0,15.75,32.0,31.5,7.0,16.0,72
16:00,2020-05-21 16:00:00-04:00,2.0,2020-05-21 18:00:00-04:00,2020-05-22 00:00:00-04:00,Long,9378.0,9361.0,-17.0,17.0,18.127532522925996,True,2020-05-21 18:10:00-04:00,15.0,2020-05-21 18:15:00-04:00,9378.0,17.0,16.75,34.0,33.5,11.5,19.75,72
16:00,2020-05-26 16:00:00-04:00,2.0,2020-05-26 18:00:00-04:00,2020-05-27 00:00:00-04:00,Short,9388.0,9409.75,21.75,21.75,23.167873881550918,True,2020-05-26 20:05:00-04:00,130.0,2020-05-26 20:10:00-04:00,9388.0,21.75,21.5,43.5,43.0,7.0,31.0,72
16:00,2020-05-27 16:00:00-04:00,2.0,2020-05-27 18:00:00-04:00,2020-05-28 00:00:00-04:00,Short,9434.5,9437.0,2.5,2.5,2.649848958609359,True,2020-05-27 18:00:00-04:00,5.0,2020-05-27 18:05:00-04:00,9434.5,2.5,2.25,5.0,4.5,4.25,13.75,72
16:00,2020-05-28 16:00:00-04:00,2.0,2020-05-28 18:00:00-04:00,2020-05-29 00:00:00-04:00,Short,9415.0,9454.75,39.75,39.75,42.219861922464155,True,2020-05-28 19:55:00-04:00,120.0,2020-05-28 20:00:00-04:00,9415.0,39.75,39.5,79.5,79.0,5.75,39.75,72
16:00,2020-06-01 16:00:00-04:00,2.0,2020-06-01 18:00:00-04:00,2020-06-02 00:00:00-04:00,Long,9594.0,9589.0,-5.0,5.0,5.211590577444236,True,2020-06-01 18:00:00-04:00,5.0,2020-06-01 18:05:00-04:00,9594.0,5.0,4.75,10.0,9.5,3.75,7.0,72
16:00,2020-06-02 16:00:00-04:00,2.0,2020-06-02 18:00:00-04:00,2020-06-03 00:00:00-04:00,Short,9655.0,9657.0,2.0,2.0,2.0714655618850335,True,2020-06-02 18:00:00-04:00,5.0,2020-06-02 18:05:00-04:00,9655.0,2.0,1.75,4.0,3.5,2.25,11.25,72
16:00,2020-06-03 16:00:00-04:00,2.0,2020-06-03 18:00:00-04:00,2020-06-04 00:00:00-04:00,Long,9697.0,9684.0,-13.0,13.0,13.40620810559967,True,2020-06-03 19:25:00-04:00,90.0,2020-06-03 19:30:00-04:00,9697.0,13.0,12.75,26.0,25.5,16.75,15.5,72
16:00,2020-06-04 16:00:00-04:00,2.0,2020-06-04 18:00:00-04:00,2020-06-05 00:00:00-04:00,Short,9627.5,9642.25,14.75,14.75,15.320695923136848,True,2020-06-04 18:15:00-04:00,20.0,2020-06-04 18:20:00-04:00,9627.5,14.75,14.5,29.5,29.0,1.75,15.0,72
16:00,2020-06-08 16:00:00-04:00,2.0,2020-06-08 18:00:00-04:00,2020-06-09 00:00:00-04:00,Long,9896.5,9887.25,-9.25,9.25,9.346738746021321,True,2020-06-08 20:05:00-04:00,130.0,2020-06-08 20:10:00-04:00,9896.5,9.25,9.0,18.5,18.0,16.0,9.75,72
16:00,2020-06-09 16:00:00-04:00,2.0,2020-06-09 18:00:00-04:00,2020-06-10 00:00:00-04:00,Long,9963.75,9960.0,-3.75,3.75,3.763643206624012,True,2020-06-09 18:00:00-04:00,5.0,2020-06-09 18:05:00-04:00,9963.75,3.75,3.5,7.5,7.0,2.5,10.0,72
16:00,2020-06-10 16:00:00-04:00,2.0,2020-06-10 18:00:00-04:00,2020-06-11 00:00:00-04:00,Long,10089.25,10086.25,-3.0,3.0,2.9734618529623114,True,2020-06-10 18:00:00-04:00,5.0,2020-06-10 18:05:00-04:00,10089.25,3.0,2.75,6.0,5.5,3.5,12.75,72
16:00,2020-06-11 16:00:00-04:00,2.0,2020-06-11 18:00:00-04:00,2020-06-12 00:00:00-04:00,Short,9592.5,9618.0,25.5,25.5,26.583268178264266,False,,,2020-06-12 00:00:00-04:00,9717.0,-99.0,-99.25,-198.0,-198.5,105.0,23.25,72
16:00,2020-06-15 16:00:00-04:00,2.0,2020-06-15 18:00:00-04:00,2020-06-16 00:00:00-04:00,Short,9778.25,9816.25,38.0,38.0,38.861759517296036,False,,,2020-06-16 00:00:00-04:00,9929.0,-112.75,-113.0,-225.5,-226.0,143.0,16.75,72
16:00,2020-06-16 16:00:00-04:00,2.0,2020-06-16 18:00:00-04:00,2020-06-17 00:00:00-04:00,Short,9953.25,9962.75,9.5,9.5,9.544621103659608,True,2020-06-16 18:00:00-04:00,5.0,2020-06-16 18:05:00-04:00,9953.25,9.5,9.25,19.0,18.5,4.25,15.0,72
16:00,2020-06-17 16:00:00-04:00,2.0,2020-06-17 18:00:00-04:00,2020-06-18 00:00:00-04:00,Short,9979.0,9998.5,19.5,19.5,19.541036175969538,True,2020-06-17 18:00:00-04:00,5.0,2020-06-17 18:05:00-04:00,9979.0,19.5,19.25,39.0,38.5,0.0,22.0,72
