reference_close,year,max_gap_bps,side,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
16:00,2020,0.5,All,1,1,1.0,0.2065493117918027,1.0,0.5,0.5,0.44416807319889845,5.0,1.0,0.5,,,,0.5,1.0,inf,0.0,12.25
16:00,2021,0.5,All,8,8,1.0,0.6755924316585924,1.0,0.5,0.53125,0.3566008881205446,5.0,1.0625,0.5625,0.27335785713907884,0.8516421428609211,3.8129334558134556,4.5,0.75,inf,0.0,6.21875
16:00,2022,0.5,All,6,6,1.0,0.6096657083436265,1.0,0.5,0.4166666666666667,0.356790788677905,5.0,0.8333333333333334,0.3333333333333333,0.12673498760219135,0.5399316790644753,3.162277660168378,2.0,0.6666666666666666,inf,0.0,13.291666666666666
16:00,2023,0.5,All,2,2,1.0,0.34238022395464934,1.0,0.625,0.625,0.439168702916089,5.0,1.25,0.75,0.260009,1.239991,3.0,1.5,1.0,inf,0.0,3.375
16:00,2024,0.5,All,9,9,1.0,0.700854948272956,1.0,0.75,0.6666666666666666,0.3488594641253688,5.0,1.3333333333333333,0.8333333333333334,0.4681156052123002,1.1985510614543666,4.47213595499958,7.5,0.7777777777777778,inf,0.0,10.88888888888889
16:00,2025,0.5,All,3,3,1.0,0.4385029643606804,1.0,0.5,0.5,0.19434893996874736,5.0,1.0,0.5,-0.06579287150098789,1.065792871500988,1.732050807568877,1.5,0.6666666666666666,inf,0.0,9.083333333333334
16:00,2026,0.5,All,3,3,1.0,0.4385029643606804,1.0,0.75,0.75,0.2791996759228636,5.0,1.5,1.0,0.4342071284990121,1.565792871500988,3.464101615137754,3.0,1.0,inf,0.0,17.333333333333332
17:00,2020,0.5,All,16,15,0.9375,0.716712622018518,0.9888806553587528,0.25,0.3125,0.289649893053719,5.0,-1.84375,-2.34375,-7.19995284465929,2.5124528446592898,-0.9459377567088203,-37.5,0.25,0.05063291139240506,39.5,9.296875
17:00,2021,0.5,All,29,29,1.0,0.8830301998708162,0.9999999999999999,0.25,0.4051724137931034,0.2717320169559583,5.0,0.8103448275862069,0.3103448275862069,0.1779182019284999,0.4427714532439139,4.593220484431881,9.0,0.4827586206896552,inf,0.0,7.586206896551724
17:00,2022,0.5,All,26,25,0.9615384615384616,0.8110722092608275,0.9931780150820143,0.375,0.38461538461538464,0.2970946020184839,5.0,-1.8653846153846154,-2.3653846153846154,-7.512226796164068,2.781457565394837,-0.900759830876647,-61.5,0.46153846153846156,0.09558823529411764,68.0,12.932692307692308
17:00,2023,0.5,All,37,36,0.972972972972973,0.8617593000381216,0.9952130256010299,0.25,0.3783783783783784,0.26320337102295016,5.0,0.3783783783783784,-0.12162162162162163,-0.8563926758807774,0.6131494326375342,-0.3244194210131811,-4.5,0.43243243243243246,0.6666666666666666,13.5,10.777027027027026
17:00,2024,0.5,All,36,34,0.9444444444444444,0.8185534265532164,0.9846300134744463,0.5,0.5208333333333334,0.2771999049235204,5.0,-2.236111111111111,-2.736111111111111,-7.707288245692691,2.2350660234704685,-1.0787544142156487,-98.5,0.5833333333333334,0.1581196581196581,107.5,10.069444444444445
17:00,2025,0.5,All,30,29,0.9666666666666667,0.8332960885388428,0.9940914096838022,0.75,0.6833333333333333,0.29531557596976754,5.0,-0.75,-1.25,-5.36038245653459,2.86038245653459,-0.596040642423704,-37.5,0.8333333333333334,0.3951612903225806,62.0,10.133333333333333
17:00,2026,0.5,All,9,9,1.0,0.700854948272956,1.0,0.5,0.5833333333333334,0.2056506828901955,5.0,1.1666666666666667,0.6666666666666666,0.10087379516567885,1.2324595381676544,2.309401076758503,6.0,0.5555555555555556,inf,0.0,16.77777777777778
16:00,2020,0.5,Long,1,1,1.0,0.2065493117918027,1.0,0.5,0.5,0.44416807319889845,5.0,1.0,0.5,,,,0.5,1.0,inf,0.0,12.25
16:00,2021,0.5,Long,4,4,1.0,0.5101091596030786,0.9999999999999999,0.5,0.5,0.34364407307906136,5.0,1.0,0.5,0.0999240238146426,0.9000759761853574,2.449489742783178,2.0,0.75,inf,0.0,5.5
16:00,2021,0.5,Short,4,4,1.0,0.5101091596030786,0.9999999999999999,0.625,0.5625,0.3695577031620279,5.0,1.125,0.625,0.15586933404336412,1.0941306659566359,2.6111648393354674,2.5,0.75,inf,0.0,6.9375
16:00,2022,0.5,Long,3,3,1.0,0.4385029643606804,1.0,0.25,0.3333333333333333,0.2673505261941807,5.0,0.6666666666666666,0.16666666666666666,-0.15999400000000005,0.49332733333333334,0.9999999999999999,0.5,0.3333333333333333,inf,0.0,21.666666666666668
16:00,2022,0.5,Short,3,3,1.0,0.4385029643606804,1.0,0.5,0.5,0.44623105116162926,5.0,1.0,0.5,0.5,0.5,,1.5,1.0,inf,0.0,4.916666666666667
16:00,2023,0.5,Long,2,2,1.0,0.34238022395464934,1.0,0.625,0.625,0.439168702916089,5.0,1.25,0.75,0.260009,1.239991,3.0,1.5,1.0,inf,0.0,3.375
16:00,2024,0.5,Short,4,4,1.0,0.5101091596030786,0.9999999999999999,0.75,0.6875,0.34811415151599095,5.0,1.375,0.875,0.25844151253787506,1.4915584874621248,2.781517949836592,3.5,0.75,inf,0.0,5.875
16:00,2024,0.5,Long,5,5,1.0,0.5655175313406071,1.0,0.75,0.65,0.349455714212871,5.0,1.3,0.8,0.3003052659030316,1.2996947340969685,3.1378581622109443,4.0,0.8,inf,0.0,14.9
16:00,2025,0.5,Short,3,3,1.0,0.4385029643606804,1.0,0.5,0.5,0.19434893996874736,5.0,1.0,0.5,-0.06579287150098789,1.065792871500988,1.732050807568877,1.5,0.6666666666666666,inf,0.0,9.083333333333334
16:00,2026,0.5,Short,3,3,1.0,0.4385029643606804,1.0,0.75,0.75,0.2791996759228636,5.0,1.5,1.0,0.4342071284990121,1.565792871500988,3.464101615137754,3.0,1.0,inf,0.0,17.333333333333332
