reference_close,sample,split_ts,max_gap_bps,side,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
16:00,First half,2023-04-17 18:00:00-04:00,0.5,All,16,16,1.0,0.8063923170025951,1.0,0.5,0.484375,0.3644662157202575,5.0,0.96875,0.46875,0.30213504659885526,0.6353649534011447,5.514109665703558,7.5,0.75,inf,0.0,9.0625
16:00,Second half,2023-04-17 18:00:00-04:00,0.5,All,16,16,1.0,0.8063923170025951,1.0,0.75,0.65625,0.3153111805838685,5.0,1.3125,0.8125,0.5614543173618345,1.0635456826381655,6.343350474165465,13.0,0.8125,inf,0.0,11.296875
16:00,First half,2023-04-17 18:00:00-04:00,0.5,Long,9,9,1.0,0.700854948272956,1.0,0.5,0.4444444444444444,0.33494838726568,5.0,0.8888888888888888,0.3888888888888889,0.1711151111111111,0.6066626666666667,3.5,3.5,0.6666666666666666,inf,0.0,11.38888888888889
16:00,First half,2023-04-17 18:00:00-04:00,0.5,Short,7,7,1.0,0.6456695613241317,1.0,0.5,0.5357142857142857,0.4024177094475713,5.0,1.0714285714285714,0.5714285714285714,0.3158294060242725,0.8270277368328702,4.3817804600413295,4.0,0.8571428571428571,inf,0.0,6.071428571428571
16:00,Second half,2023-04-17 18:00:00-04:00,0.5,Long,6,6,1.0,0.6096657083436265,1.0,0.75,0.6666666666666666,0.37197940593384976,5.0,1.3333333333333333,0.8333333333333334,0.42013664187104943,1.2465300247956173,3.952847075210473,5.0,0.8333333333333334,inf,0.0,13.0
16:00,Second half,2023-04-17 18:00:00-04:00,0.5,Short,10,10,1.0,0.7224671969739421,0.9999999999999999,0.75,0.65,0.28131024537387966,5.0,1.3,0.8,0.4668701772686877,1.1331298227313125,4.706787243316416,8.0,0.8,inf,0.0,10.275
16:00,First half,2023-04-17 18:00:00-04:00,1.0,All,35,34,0.9714285714285714,0.8546691262822592,0.9949385082005704,0.75,0.7357142857142858,0.5848196633156098,5.0,-0.6285714285714286,-1.1285714285714286,-5.190325215104158,2.9331823579613014,-0.5445823375022407,-39.5,0.8571428571428571,0.44755244755244755,71.5,12.885714285714286
16:00,Second half,2023-04-17 18:00:00-04:00,1.0,All,47,46,0.9787234042553191,0.8888701884870314,0.9962342320030542,1.25,1.25,0.6044978930131906,5.0,-0.13829787234042554,-0.6382978723404256,-5.756163677611576,4.479567932930725,-0.24444580977002547,-30.0,0.9148936170212766,0.7510373443983402,120.5,13.042553191489361
16:00,First half,2023-04-17 18:00:00-04:00,1.0,Long,16,16,1.0,0.8063923170025951,1.0,0.625,0.671875,0.5242303859750295,5.0,1.34375,0.84375,0.5247066541123699,1.16279334588763,5.183369740556993,13.5,0.8125,inf,0.0,9.6875
16:00,First half,2023-04-17 18:00:00-04:00,1.0,Short,19,18,0.9473684210526315,0.7536126862526763,0.9906480060413981,0.75,0.7894736842105263,0.6358422126550458,5.0,-2.289473684210526,-2.789473684210526,-10.27582884214796,4.69688147372691,-0.7302977062480543,-53.0,0.8947368421052632,0.25874125874125875,71.5,15.578947368421053
16:00,Second half,2023-04-17 18:00:00-04:00,1.0,Short,27,27,1.0,0.8754449685379287,1.0,1.0,1.1759259259259258,0.5823444383380966,5.0,2.3518518518518516,1.8518518518518519,1.4147945948698508,2.288909108833853,8.304547985373997,50.0,0.9259259259259259,inf,0.0,8.703703703703704
16:00,Second half,2023-04-17 18:00:00-04:00,1.0,Long,20,19,0.95,0.7638688045357189,0.9911185512976646,1.25,1.35,0.6344050568245673,5.0,-3.5,-4.0,-16.028781380285768,8.028781380285768,-0.6517581251288607,-80.0,0.9,0.3360995850622407,120.5,18.9
16:00,First half,2023-04-17 18:00:00-04:00,2.0,All,67,65,0.9701492537313433,0.8975344435316684,0.9917753052351465,1.25,1.3582089552238805,1.0321357393747255,5.0,0.9776119402985075,0.47761194029850745,-1.9959582697888356,2.9511821503858506,0.37844173783212304,32.0,0.9104477611940298,1.290909090909091,71.5,13.60820895522388
16:00,Second half,2023-04-17 18:00:00-04:00,2.0,All,89,87,0.9775280898876404,0.9217236525985112,0.9938156013535208,2.0,2.2331460674157304,1.0549023472735977,5.0,-1.1404494382022472,-1.6404494382022472,-10.220556152761166,6.939657276356672,-0.37472981976330993,-146.0,0.9438202247191011,0.6998972250770812,366.0,16.176966292134832
16:00,First half,2023-04-17 18:00:00-04:00,2.0,Long,34,34,1.0,0.8984854444077807,0.9999999999999999,1.25,1.4338235294117647,1.074529931659492,5.0,2.8676470588235294,2.3676470588235294,1.7923892707681799,2.942904846878879,8.066823424828636,80.5,0.9117647058823529,inf,0.0,12.875
16:00,First half,2023-04-17 18:00:00-04:00,2.0,Short,33,31,0.9393939393939394,0.8039375504673153,0.9832191170641916,1.0,1.2803030303030303,0.9884568745964815,5.0,-0.9696969696969697,-1.4696969696969697,-6.406576782764394,3.4671828433704546,-0.5834764589347744,-48.5,0.9090909090909091,0.5590909090909091,83.0,14.363636363636363
16:00,Second half,2023-04-17 18:00:00-04:00,2.0,Long,36,34,0.9444444444444444,0.8185534265532164,0.9846300134744463,2.0,2.2777777777777777,1.069620951021465,5.0,-9.305555555555555,-9.805555555555555,-30.884600092747363,11.27348898163625,-0.9117365758670778,-353.0,0.9166666666666666,0.2744090441932169,425.5,22.61111111111111
16:00,Second half,2023-04-17 18:00:00-04:00,2.0,Short,53,53,1.0,0.9324180104293549,1.0,2.25,2.202830188679245,1.0449048051052348,5.0,4.40566037735849,3.9056603773584904,3.2336128922556533,4.577707862461327,11.390495322927503,207.0,0.9622641509433962,inf,0.0,11.806603773584905
16:00,First half,2023-04-17 18:00:00-04:00,3.0,All,103,97,0.941747572815534,0.8786977879611798,0.9730315028294269,2.0,2.046116504854369,1.5632980526533216,5.0,-0.8106796116504854,-1.3106796116504855,-5.543522275467268,2.9221630521662973,-0.6068935366599597,-135.0,0.9029126213592233,0.7178683385579937,236.0,14.053398058252426
