reference_close,bucket_unit,side,gap_bucket,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
16:00,points,All,0-1 points,38,38,1.0,0.9081901304590217,1.0000000000000002,0.5,0.5723684210526315,0.4125741400108735,5.0,1.144736842105263,0.6447368421052632,0.5226662909596245,0.7668073932509019,10.35189067420826,24.5,0.8157894736842105,inf,0.0,11.31578947368421
16:00,points,All,1-2 points,45,44,0.9777777777777777,0.8843331811799517,0.9960664011606768,1.25,1.2777777777777777,0.8443809665257184,5.0,0.9222222222222223,0.4222222222222222,-2.7854935240194987,3.629937968463943,0.25798431688503964,19.0,0.9777777777777777,1.2657342657342658,71.5,12.75
16:00,points,All,2-3 points,51,47,0.9215686274509803,0.8150005357926896,0.9690778034264261,2.25,2.3137254901960786,1.5347236522524792,5.0,-0.9607843137254902,-1.4607843137254901,-7.31794824675459,4.39637961930361,-0.48881757441028106,-74.5,0.9215686274509803,0.7230483271375465,125.0,13.97549019607843
16:00,points,All,3-5 points,111,102,0.918918918918919,0.8530540763927809,0.9567579976259578,3.75,3.864864864864865,2.5579901397371065,5.0,-2.6486486486486487,-3.1486486486486487,-11.56912526647476,5.271827969177462,-0.7328846430064917,-349.5,0.918918918918919,0.6774342408860176,517.5,16.963963963963963
16:00,points,All,5-10 points,216,174,0.8055555555555556,0.7476280894663628,0.8528046072219982,7.25,7.355324074074074,4.959100181154375,5.0,-1.0532407407407407,-1.5532407407407407,-6.854471344666686,3.7479898631852047,-0.5742621218799016,-335.5,0.8101851851851852,0.8794682953116579,627.5,17.92939814814815
16:00,points,All,10-15 points,193,140,0.7253886010362695,0.6584853587700102,0.7834947022112732,12.25,12.471502590673575,8.438994921644099,22.5,-1.7927461139896372,-2.2927461139896375,-11.07360600599252,6.488113778013246,-0.5117607956200504,-442.5,0.7409326424870466,0.8857327307940607,1415.5,26.673575129533678
16:00,points,All,15-20 points,148,94,0.6351351351351351,0.5550712166504052,0.7083614472261354,17.25,17.344594594594593,11.731018687637201,37.5,-2.6655405405405403,-3.1655405405405403,-14.524112221035287,8.193031139954206,-0.5462258525562922,-468.5,0.6824324324324325,0.8739913932221625,1162.0,29.51858108108108
16:00,points,All,20-30 points,167,99,0.592814371257485,0.5170250610653843,0.6644297228201795,23.75,24.218562874251496,16.52240475983926,95.0,-5.721556886227545,-6.221556886227545,-21.421893770382507,8.978779997927415,-0.8022208727274528,-1039.0,0.6526946107784432,0.8254661515202419,1538.5,38.287425149700596
16:00,points,All,30-50 points,158,82,0.5189873417721519,0.44155854284892476,0.5955147759500656,37.25,37.587025316455694,23.857775166996497,112.5,6.639240506329114,6.139240506329114,-8.17289954724291,20.45138055990114,0.8407331352758609,970.0,0.6075949367088608,1.178686561665285,940.0,43.889240506329116
16:00,points,All,50-75 points,81,24,0.2962962962962963,0.20791956988081306,0.4031196503880038,57.0,59.24691358024691,36.37486234546776,127.5,-21.30246913580247,-21.80246913580247,-49.33770972314119,5.732771451536252,-1.551904167379349,-1766.0,0.41975308641975306,0.6483822797411648,2674.5,63.26234567901235
16:00,points,All,75-100 points,34,8,0.23529411764705882,0.12436985469356415,0.3999613806199636,86.5,86.66911764705883,57.98338207221066,172.5,-47.9264705882353,-48.4264705882353,-113.10659446281383,16.25365328634323,-1.4674390417688188,-1646.5,0.4117647058823529,0.5271395749569213,1960.0,87.34558823529412
16:00,points,All,100-150 points,32,9,0.28125,0.15564580423200683,0.45374509566504084,120.875,124.3359375,80.9489716148708,45.0,-0.46875,-0.96875,-77.72161918220932,75.78411918220932,-0.02473803448953158,-31.0,0.4375,0.9887782805429864,1899.5,81.578125
16:00,points,All,150-250 points,24,1,0.041666666666666664,0.007393456083597233,0.20241806658845338,192.75,194.66666666666666,112.78074938587065,15.0,-8.625,-9.125,-87.71566496688233,69.46566496688233,-0.22756737721377596,-219.0,0.625,0.8767238952997467,1291.5,79.55208333333333
16:00,points,All,250+ points,5,0,0.0,2.7755575615628914e-17,0.4344824686593928,284.25,423.95,206.36246894413384,,14.0,13.5,-99.18983420573609,126.18983420573609,0.23479947580447474,67.5,0.4,1.3096330275229358,145.0,91.05
16:00,points,Long,0-1 points,17,17,1.0,0.8156818626193445,1.0,0.5,0.5441176470588235,0.40805543618326046,5.0,1.088235294117647,0.5882352941176471,0.3959619024574904,0.7805086857778037,5.996253511966891,10.0,0.7647058823529411,inf,0.0,11.955882352941176
16:00,points,Long,1-2 points,19,19,1.0,0.8318207737404363,0.9999999999999999,1.25,1.3026315789473684,0.8600507698420939,5.0,2.6052631578947367,2.1052631578947367,1.8615150395238798,2.349011276265594,16.928294780606358,40.0,1.0,inf,0.0,12.078947368421053
16:00,points,Long,2-3 points,25,24,0.96,0.8045593608838223,0.9929037665766179,2.25,2.33,1.4974592239830928,5.0,-0.3,-0.8,-10.577418139610549,8.977418139610547,-0.16036658938087056,-20.0,0.96,0.8340248962655602,120.5,17.36
16:00,points,Long,3-5 points,50,44,0.88,0.7619518250454469,0.9438239988188064,3.75,3.86,2.6606606994644513,5.0,-6.18,-6.68,-22.244207683497365,8.884207683497367,-0.8411966600703973,-334.0,0.88,0.4833720030935808,490.5,18.97
16:00,points,Long,5-10 points,96,78,0.8125,0.7229774566977561,0.8779753005264296,6.875,7.143229166666667,4.671579248688273,5.0,-0.546875,-1.046875,-8.471365281731792,6.377615281731791,-0.2763606974540212,-100.5,0.8125,0.9151898734177215,408.0,17.934895833333332
16:00,points,Long,10-15 points,85,63,0.7411764705882353,0.6390772468503565,0.8224190018186512,12.75,12.605882352941176,8.318879317486743,15.0,-1.2823529411764707,-1.7823529411764707,-17.26320723405573,13.698501351702788,-0.2256559963623479,-151.5,0.7764705882352941,0.9129560471128986,1002.5,30.43235294117647
16:00,points,Long,15-20 points,67,47,0.7014925373134329,0.5834478615931072,0.797684887878385,17.0,17.04850746268657,11.036053275336384,25.0,4.888059701492537,4.388059701492537,-13.80694473423635,22.583064137221424,0.47268133817476515,294.0,0.7761194029850746,1.2234042553191489,426.0,28.77238805970149
16:00,points,Long,20-30 points,71,46,0.647887323943662,0.5318206211867402,0.7487725194855646,23.75,24.161971830985916,15.62866658390434,90.0,-7.211267605633803,-7.711267605633803,-37.523106341721224,22.10057113045362,-0.5069733214111711,-547.5,0.7183098591549296,0.8069804336329984,1126.5,46.109154929577464
16:00,points,Long,30-50 points,73,42,0.5753424657534246,0.46099380375187643,0.6821580853473754,37.0,37.36643835616438,22.970066715576923,117.5,9.945205479452055,9.445205479452055,-13.332753564802873,32.223164523706984,0.8127270172170208,689.5,0.6438356164383562,1.2755244755244755,530.0,51.76027397260274
