reference_close,year,side,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
16:00,2020,All,198,133,0.6717171717171717,0.6035837834420869,0.7333142967486194,14.875,23.78409090909091,24.56869948465899,20.0,-11.01010101010101,-11.51010101010101,-24.00277180918527,0.9825697889832483,-1.8058095005445332,-2279.0,0.6919191919191919,0.64960024600246,2635.0,35.053030303030305
16:00,2021,All,199,133,0.6683417085427136,0.6002842606703135,0.7300229672973614,11.75,17.12437185929648,11.965976446338093,20.0,-3.698492462311558,-4.198492462311558,-12.03446700422641,3.637482079603296,-1.0501430340776912,-835.5,0.7035175879396985,0.7896790434235368,1297.5,24.47110552763819
16:00,2022,All,198,138,0.696969696969697,0.6297096975411859,0.7567322179716832,16.0,30.8270202020202,23.844049281950397,20.0,5.818181818181818,5.318181818181818,-5.942998394392578,16.579362030756215,0.9256085696463627,1053.0,0.7474747474747475,1.23791233619521,714.0,29.275252525252526
16:00,2023,All,197,117,0.5939086294416244,0.5241694238224176,0.6600554877376416,11.25,17.40228426395939,12.479544616142245,10.0,-5.619289340101523,-6.119289340101523,-12.576403944655345,0.33782526445229877,-1.8574220138085165,-1205.5,0.6700507614213198,0.6762889366272825,1284.5,20.866751269035532
16:00,2024,All,197,116,0.5888324873096447,0.5190624216343356,0.6552043865981527,14.25,27.79695431472081,14.783266229424266,22.5,-13.83756345177665,-14.33756345177665,-26.64292724633235,-2.0321996572209517,-2.283647089379904,-2824.5,0.649746192893401,0.5720778728884175,3288.5,33.57233502538071
16:00,2025,All,194,135,0.6958762886597938,0.6278569282382519,0.7562890461684554,18.375,37.63788659793814,17.34295194359314,10.0,-2.536082474226804,-3.036082474226804,-19.205238592731888,13.133073644278278,-0.368022443898923,-589.0,0.7525773195876289,0.9125269176505532,1756.5,42.759020618556704
16:00,2026,All,120,90,0.75,0.6655886326483037,0.8189017839052589,26.0,43.84791666666667,16.04326290414333,10.0,12.079166666666667,11.579166666666667,-12.068657103292617,35.226990436625954,0.9596971813320369,1389.5,0.8,1.3101216382100211,1290.0,56.333333333333336
17:00,2020,All,190,173,0.9105263157894737,0.8613945321269766,0.9433868644860709,3.5,6.255263157894737,6.355859577706997,5.0,-3.9157894736842107,-4.41578947368421,-11.76259938507561,2.93102043770719,-1.1780335280732592,-839.0,0.8578947368421053,0.6453930684699916,1320.5,23.057894736842105
17:00,2021,All,188,179,0.9521276595744681,0.9115356980782795,0.974612692323554,2.75,3.7074468085106385,2.6315514788963434,5.0,3.396276595744681,2.896276595744681,-0.19813310477063562,5.990686296259998,1.8344687391449155,544.5,0.8776595744680851,1.8656597774244834,180.0,11.224734042553191
17:00,2022,All,180,155,0.8611111111111112,0.803008498976186,0.9041225300695491,3.125,6.661111111111111,5.306482263660194,5.0,-15.208333333333334,-15.708333333333334,-28.41071287253891,-3.005953794127757,-2.423779555500421,-2827.5,0.7944444444444444,0.3206391158097069,3100.5,26.851388888888888
17:00,2023,All,186,167,0.8978494623655914,0.8459732840604461,0.933624601839395,2.25,4.865591397849462,3.4993032190492985,5.0,-1.4193548387096775,-1.9193548387096775,-6.892522472869013,3.0538127954496574,-0.7564326529549372,-357.0,0.7956989247311828,0.7650542941757157,740.0,13.095430107526882
17:00,2024,All,182,157,0.8626373626373627,0.8050860829676563,0.9051967613158329,3.75,7.512362637362638,3.9425024096161327,5.0,-2.4368131868131866,-2.9368131868131866,-10.483897108385072,4.6102707347587,-0.7626850556711798,-534.5,0.8076923076923077,0.7645892975115613,1154.5,18.9739010989011
17:00,2025,All,180,157,0.8722222222222222,0.8155638860741221,0.9133250207884047,5.625,13.418055555555556,6.334394956377174,5.0,-3.716666666666667,-4.216666666666667,-15.556458321945565,7.123124988612231,-0.7288065881544985,-759.0,0.85,0.7897798088907354,1015.0,33.59444444444444
17:00,2026,All,111,99,0.8918918918918919,0.8204982029821065,0.9370679307773587,9.75,15.0990990990991,5.531569568588158,5.0,-0.26126126126126126,-0.7612612612612613,-17.844861212435628,16.322338689913106,-0.08733783692728651,-84.5,0.8558558558558559,0.9685756786909632,1197.5,44.612612612612615
16:00,2020,Short,121,72,0.5950413223140496,0.5059583755487079,0.6782752933470494,15.0,23.332644628099175,23.391565935106456,35.0,-17.483471074380166,-17.983471074380166,-32.42637333624046,-3.5405688125198704,-2.440434426666716,-2176.0,0.6115702479338843,0.4835034417279848,2355.0,35.62603305785124
16:00,2020,Long,77,61,0.7922077922077922,0.68879585317857,0.86784922253779,14.5,24.493506493506494,26.41848077681298,20.0,-0.8376623376623377,-1.3376623376623376,-24.011845115532086,21.336520440207412,-0.1156279832291421,-103.0,0.8181818181818182,0.9550414666084679,1193.5,34.1525974025974
16:00,2021,Long,70,48,0.6857142857142857,0.5697286191959208,0.7823771001912918,12.5,19.007142857142856,13.185809561254764,7.5,2.192857142857143,1.6928571428571428,-10.58236759011822,13.968081875832507,0.27029558556510674,118.5,0.7285714285714285,1.1001690617075233,281.5,25.639285714285716
16:00,2021,Short,129,85,0.6589147286821705,0.5735712854960489,0.7350673002683292,11.5,16.102713178294575,11.304051500259279,35.0,-6.895348837209302,-7.395348837209302,-17.47375322182348,2.6830555474048756,-1.438185742030729,-954.0,0.689922480620155,0.6580032263846568,1060.5,23.837209302325583
16:00,2022,Short,104,67,0.6442307692307693,0.5485904722993109,0.7295956753215389,18.75,29.266826923076923,22.65878881006988,25.0,1.1298076923076923,0.6298076923076923,-11.385185685630395,12.644801070245778,0.10273833409785794,65.5,0.7115384615384616,1.028105556747479,683.0,28.233173076923077
16:00,2022,Long,94,71,0.7553191489361702,0.6595241882174236,0.831065389542603,14.375,32.5531914893617,25.15540129339268,10.0,11.00531914893617,10.50531914893617,-9.162569249122889,30.17320754699523,1.0468865250657755,987.5,0.7872340425531915,1.4712479121927942,821.0,30.4281914893617
16:00,2023,Long,92,53,0.5760869565217391,0.47405441944005067,0.6720201516632507,11.75,15.445652173913043,10.977402818510374,20.0,-4.625,-5.125,-14.821141979142771,4.571141979142771,-1.0359600263287456,-471.5,0.6847826086956522,0.7128501827040195,660.5,23.160326086956523
16:00,2023,Short,105,64,0.6095238095238096,0.5139244521615618,0.6973920832505933,11.25,19.116666666666667,13.795706953114939,7.5,-6.4904761904761905,-6.9904761904761905,-15.667373402653233,1.686421021700852,-1.5790300773602068,-734.0,0.6571428571428571,0.6474543707973103,878.0,18.857142857142858
16:00,2024,Short,106,64,0.6037735849056604,0.5086034105785993,0.6916852620597991,17.625,29.419811320754718,15.660460566878296,17.5,-18.849056603773583,-19.349056603773583,-36.21838171593061,-2.4797314916165547,-2.248071818239404,-2051.0,0.6415094339622641,0.46553745928338763,2651.0,30.257075471698112
16:00,2024,Long,91,52,0.5714285714285714,0.4688974920551766,0.6681733644388262,13.25,25.906593406593405,13.761479418763523,30.0,-8.0,-8.5,-26.512531906081794,9.512531906081794,-0.9248946281879996,-773.5,0.6593406593406593,0.7200506695620702,1136.5,37.434065934065934
16:00,2025,Short,97,61,0.6288659793814433,0.5295376604320601,0.7183762459844305,19.25,41.876288659793815,19.04139524693327,10.0,-10.448453608247423,-10.948453608247423,-32.69712917476693,10.800221958272086,-0.9866612273562514,-1062.0,0.711340206185567,0.7119609438567941,2046.5,37.6958762886598
16:00,2025,Long,97,74,0.7628865979381443,0.6692591222620681,0.8364852468275725,17.0,33.399484536082475,15.644508640253008,12.5,5.376288659793815,4.876288659793815,-19.065263033616613,28.817840353204243,0.39919510436053524,473.0,0.7938144329896907,1.1552601345806663,815.5,47.82216494845361
16:00,2026,Long,60,49,0.8166666666666667,0.7008024615073325,0.8944220315709903,25.625,38.9625,14.226716379991887,15.0,23.866666666666667,23.366666666666667,-11.104232926249182,57.837566259582516,1.328593857645613,1402.0,0.8666666666666667,1.7483319989324793,815.0,53.43333333333333
