reference_close,side,max_gap_bps,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
16:00,All,0.5,32,32,1.0,0.8928208002353198,1.0000000000000002,0.5,0.5703125,0.33988869815206296,5.0,1.140625,0.640625,0.4805479844785268,0.8007020155214732,7.843736550245529,20.5,0.78125,inf,0.0,10.1796875
16:00,All,1.0,82,80,0.975609756097561,0.9153662153874498,0.9932856297292625,1.0,1.0304878048780488,0.5960986486300768,5.0,-0.3475609756097561,-0.8475609756097561,-4.236422135607506,2.541300184387994,-0.49019092891993926,-69.5,0.8902439024390244,0.6380208333333334,145.5,12.975609756097562
16:00,All,2.0,156,152,0.9743589743589743,0.9359329409553758,0.9899845339965394,1.75,1.857371794871795,1.0451243810606206,5.0,-0.23076923076923078,-0.7307692307692307,-5.729912881344001,4.268374419805539,-0.2865053466608646,-114.0,0.9294871794871795,0.8088851634534786,366.0,15.073717948717949
16:00,All,3.0,243,227,0.934156378600823,0.8957317176935012,0.9590679620534416,2.5,2.7973251028806585,1.582016477803007,5.0,-1.6358024691358024,-2.1358024691358026,-6.699804411990781,2.4281994737191757,-0.9171985470275025,-519.0,0.9053497942386831,0.6829566279780086,615.5,15.48559670781893
16:00,All,5.0,375,341,0.9093333333333333,0.8759725172724132,0.9343928553733342,3.75,4.112,2.3966544106641927,5.0,-0.936,-1.436,-5.144789523819064,2.272789523819064,-0.7588751763680046,-538.5,0.8906666666666667,0.8256717384266753,701.0,15.67
16:00,All,7.5,543,468,0.861878453038674,0.8303066135198498,0.8883660357777765,5.5,6.220534069981584,3.578892213172807,5.0,0.5211786372007366,0.02117863720073665,-3.095363083574929,3.137720357976402,0.013319047265047837,11.5,0.85451197053407,1.0021794750307969,766.5,17.67034990791897
16:00,All,10.0,672,551,0.8199404761904762,0.7890964961897006,0.8471473955534438,6.75,7.855282738095238,4.562687070898247,5.0,-3.3839285714285716,-3.8839285714285716,-8.128436962175975,0.3605798193188323,-1.7934609801138806,-2610.0,0.8169642857142857,0.7463926541320507,3058.0,21.508928571428573
16:00,All,15.0,877,676,0.7708095781071835,0.7418465265066188,0.7974105613730424,9.5,10.698403648802737,6.388232914008199,5.0,-2.5433295324971494,-3.0433295324971494,-7.0869140530525065,1.0002549880582077,-1.475130863101637,-2669.0,0.7844925883694412,0.8243674530319481,3773.5,23.549315849486888
16:00,All,25.0,1069,796,0.744621141253508,0.717636555601391,0.7698539264921679,11.75,14.362488306828812,8.744237368271882,15.0,-0.14172123479887747,-0.6417212347988774,-4.651886085170923,3.3684436155731676,-0.31364060211256867,-686.0,0.7670720299345183,0.9668310608258389,2353.0,26.355472404115996
16:00,All,40.0,1183,837,0.7075232459847844,0.6809626301749268,0.7327404776207946,13.25,17.704987320371934,10.882254983562866,15.0,-1.9835164835164836,-2.4835164835164836,-6.681899790877312,1.7148668238443445,-1.1593993555959414,-2938.0,0.7371090448013525,0.8919972061904937,4292.0,29.244082840236686
