reference_close,side,cost_ticks,trades,avg_net_pnl_dollars,total_net_pnl_dollars,profit_factor,max_drawdown_dollars
16:00,All,0,1303,-3.5606293169608594,-4639.5,0.8720385029097829,6398.0
16:00,All,1,1303,-4.06062931696086,-5291.0,0.8548063993853078,6997.0
16:00,All,2,1303,-4.56062931696086,-5942.5,0.8377651587539927,7622.5
16:00,All,4,1303,-5.56062931696086,-7245.5,0.8043184703054528,8873.5
16:00,Long,0,581,3.310671256454389,1923.5,1.1297339223687317,1543.5
16:00,Long,1,581,2.810671256454389,1633.0,1.1096377857598443,1612.5
16:00,Long,2,581,2.310671256454389,1342.5,1.0897093217507519,1681.5
16:00,Long,4,581,1.310671256454389,761.5,1.050378750289438,1828.5
16:00,Short,0,722,-9.090027700831024,-6563.0,0.693754228786076,7257.5
16:00,Short,1,722,-9.590027700831024,-6924.0,0.6786485043974659,7603.5
16:00,Short,2,722,-10.090027700831024,-7285.0,0.6637278434268833,7949.5
16:00,Short,4,722,-11.090027700831024,-8007.0,0.634575451247062,8641.5
17:00,All,0,1217,-3.490961380443714,-4248.5,0.752778585976142,4901.5
17:00,All,1,1217,-3.990961380443714,-4857.0,0.7183776418403734,5469.0
17:00,All,2,1217,-4.490961380443714,-5465.5,0.6849492736914918,6036.5
17:00,All,4,1217,-5.490961380443714,-6682.5,0.6211842067968595,7171.5
17:00,Long,0,532,-3.611842105263158,-1921.5,0.7622788568600767,2563.5
17:00,Long,1,532,-4.1118421052631575,-2187.5,0.7303377712031558,2809.5
17:00,Long,2,532,-4.6118421052631575,-2453.5,0.6994180704441041,3055.5
17:00,Long,4,532,-5.6118421052631575,-2985.5,0.6403445368027948,3547.5
17:00,Short,0,685,-3.397080291970803,-2327.0,0.7443419028784882,2655.5
17:00,Short,1,685,-3.897080291970803,-2669.5,0.707756308500739,2907.5
17:00,Short,2,685,-4.397080291970803,-3012.0,0.672091883947526,3237.0
17:00,Short,4,685,-5.397080291970803,-3697.0,0.6041543979870443,3896.0
