strategy,obs,days_traded,mean_ann_pct,vol_ann_pct,sharpe,t_stat_HAC,p_value,hit_rate_pct,skew,kurtosis,max_dd_pct,total_return_pct,period,costs
CTC,244,245,20.318896358502116,34.445986415077186,0.5898770357062102,0.6776406841719071,0.49799954382318123,57.786885245901644,-0.6315741618958505,8.041511937571848,-34.54411221853082,14.898350594553179,2020,gross
OD,245,245,8.268843853635795,4.803915140790034,1.7212718400092164,1.6785312352845023,0.09324343801563927,49.795918367346935,1.0385439365400904,7.279964198455916,-2.331476676406319,8.249017355277255,2020,gross
OD+,245,245,14.442935529939815,7.457631971914927,1.9366650948090753,1.5451950352816968,0.12229909488324085,51.83673469387755,2.306217853308928,15.06956244344089,-2.757146764164864,14.763866880867083,2020,gross
BtD,245,122,3.3258466275059595,4.609478298546787,0.7215234375991069,0.7114564820702691,0.47680140884473526,24.897959183673468,0.914691556844095,9.376287883746718,-2.8716904895488504,3.180105552694079,2020,gross
CTC,244,245,20.304764887248403,34.44599823853497,0.589466583219334,0.677169103100581,0.49829866865323996,57.786885245901644,-0.6315871562490424,8.041520205152633,-34.54495125268582,14.882629632055755,2020,net
OD,245,245,4.7031601165894115,4.798928447921106,0.9800438092855539,0.9588045805896681,0.3376572012044861,48.97959183673469,1.0223725389567824,7.256038110983919,-3.377277812359991,4.561853863537668,2020,net
OD+,245,245,10.876447776760486,7.451175985309733,1.4596954625959448,1.1663859707700506,0.2434584281217136,51.02040816326531,2.295643718993975,15.02897223434762,-4.2763615048013515,10.855070532502209,2020,net
BtD,245,122,1.5618131882463593,4.604160412067557,0.3392178048690113,0.33417691323849,0.7382460641344927,24.489795918367346,0.8233805171829264,9.283133784856492,-3.5415149345282226,1.4259970642533926,2020,net
CTC,1373,1373,14.838140182633227,16.83721278632918,0.881270574348322,2.2561453636835225,0.024061528938298164,54.40640932265113,0.10842022083989165,6.5179337576928775,-25.04570383912238,107.74520932095828,2021-2026,gross
OD,1373,1373,-0.048507390030375554,2.168551087722159,-0.02236857148766903,-0.05640772171568719,0.9550170057117641,50.10924981791697,-0.7060214408948214,10.388035175839551,-9.17561458379118,-0.39161958010577314,2021-2026,gross
OD+,1373,1373,0.18858228784869663,3.6368187444366145,0.05185363943066407,0.13331460906399203,0.8939445743668742,52.8040786598689,0.46353337917314735,13.647359379896873,-11.672427680022002,0.6698950978279106,2021-2026,gross
BtD,1373,691,0.42982243580867985,2.858620605223608,0.15036008451882624,0.358948512599917,0.7196336068443445,26.9482884195193,1.226245705309177,35.72374763743137,-11.714236312980141,2.1423238590470017,2021-2026,gross
CTC,1373,1373,14.828951263639118,16.83721796175761,0.8807245530300867,2.254745341237878,0.024149317890207005,54.40640932265113,0.10841472648637715,6.51793239490308,-25.051922917985447,107.64126669913657,2021-2026,net
OD,1373,1373,-2.364912817073852,2.169692612322867,-1.089975973390066,-2.7351157247710307,0.0062358348645293,47.63292061179898,-0.7189018667234355,10.391367455707982,-15.684014504754662,-12.202648925189886,2021-2026,net
OD+,1373,1373,-2.1278550610412963,3.637989696902803,-0.5848985946422119,-1.4987780999564084,0.1339312078100926,51.274581209031325,0.45483243120622685,13.6406333379085,-18.186247467383886,-11.267178474938389,2021-2026,net
BtD,1373,691,-0.7415108690934302,2.860206577032694,-0.25925080903167025,-0.6173488673824752,0.5370046408241528,26.292789512017478,1.1371793002010773,35.55700497336733,-14.529805777476279,-4.172969789682135,2021-2026,net
