hour,start,mean_bps,mean_ann_pct,median_bps,sd_bps,t_stat,p_value,n,p_BY
18:00-19:00,18:00,0.4519337188421743,1.1388729714822794,0.5724753835578689,22.13748397190283,0.9681101215213569,0.33298937549387964,1617,1.0
19:00-20:00,19:00,-0.06946933357015753,-0.17506272059679695,0.46761748889512234,16.433280208008714,-0.1767221135383706,0.8597266701684396,1617,1.0
20:00-21:00,20:00,0.24470207905839603,0.616649239227158,0.41101261735065897,17.356996004182975,0.6369854114486656,0.5241343462019185,1618,1.0
21:00-22:00,21:00,-0.09110269080610896,-0.22957878083139457,0.7448252990516213,19.524248008030483,-0.17325792767072762,0.8624486923554411,1618,1.0
22:00-23:00,22:00,-0.35259995889299284,-0.888551896410342,0.0,16.225592921789254,-1.0741018726009763,0.2827770253710393,1618,1.0
23:00-00:00,23:00,0.2452511581398195,0.6180329185123451,0.5912149078746154,11.702677414946887,0.7452101118457738,0.45614471089514014,1618,1.0
00:00-01:00,00:00,0.5362563505367179,1.3513660033525292,0.0,15.869036415224294,1.0915524919858108,0.275029847544182,1618,1.0
01:00-02:00,01:00,0.250481613675845,0.6312136664631294,0.48081635076302476,14.445985263960871,0.7100544607058181,0.477670364629002,1618,1.0
02:00-03:00,02:00,0.480523205610754,1.2109184781391,0.34812315802379423,17.260522713348905,1.1731767030801048,0.24072495240948452,1618,1.0
03:00-04:00,03:00,0.39592449424069626,0.9977297254865545,1.0432968179441282,22.040579082570375,0.8304771214558392,0.40626907786742794,1617,1.0
04:00-05:00,04:00,0.355287494753383,0.895324486778525,0.649224177109442,19.90142754198925,0.7491155903361134,0.4537875390915002,1617,1.0
05:00-06:00,05:00,0.42635888009522266,1.0744243778399611,0.5698979882606814,16.868965520464375,1.0673278084381719,0.28582383499659425,1617,1.0
06:00-07:00,06:00,0.3701035955906191,0.9326610608883602,0.6365431797750176,19.524442253538954,0.8075512259859958,0.4193489740294211,1616,1.0
07:00-08:00,07:00,-0.4150225589328709,-1.0458568485108346,0.5542930265267643,19.39217847380294,-0.8328123480742053,0.404950569551239,1616,1.0
08:00-09:00,08:00,0.44849895454985367,1.1302173654656311,0.0,34.229856665575575,0.5378562037085656,0.5906763264912052,1617,1.0
09:00-10:00,09:00,1.34752919099731,3.3957735613132214,2.076670681563364,34.26033310243938,1.695007258985161,0.09007404375065367,1617,1.0
10:00-11:00,10:00,-0.8011389424124332,-2.018870134879332,1.6446876076336991,39.40387991252266,-0.8077619198110878,0.4192276505829422,1618,1.0
11:00-12:00,11:00,1.2404120805605667,3.1258384430126283,2.0545065382138183,31.975439232331233,1.7736459651423107,0.07612172953204231,1618,1.0
12:00-13:00,12:00,0.6034879195223857,1.5207895571964118,1.4009526478009349,29.192956766291047,0.7905415376195625,0.42921157392052506,1617,1.0
13:00-14:00,13:00,0.22773468536911923,0.5738914071301804,1.4685905202482807,34.10817743695307,0.2373383563756599,0.8123943079344927,1617,1.0
14:00-15:00,14:00,1.1550740912115476,2.9107867098530997,1.9844892677978176,31.022844830364235,1.6162414760730632,0.10604211458253575,1618,1.0
15:00-16:00,15:00,-0.25141631263755987,-0.633569107846651,0.0,42.5688831071513,-0.2518473670400741,0.8011590434286827,1618,1.0
16:00-17:00,16:00,0.4167204353801986,1.0501354971581005,0.0,18.77311862916468,0.8858836471033144,0.3756802289936422,1618,1.0
17:00-18:00,17:00,-0.8053634919411455,-2.0295159996916867,0.3400625580507466,34.614105541775274,-0.745775052557293,0.45580331259315543,1616,1.0
