bucket,n,rsv_mean,odp_bps,odp_t,od_bps,od_t
Q1 most negative,324,-0.6403040015400114,-1.3981075385765172,-0.8852195650041178,-0.19595076880119036,-0.20293197550526856
Q2,323,-0.2574482714171757,1.8431768621187237,1.0901390266767201,1.6543601345413674,1.6388596532690103
Q3,323,-0.0025877098693539284,1.0575557531777755,0.6924670429149635,-0.9512565988238145,-1.0676167948802668
Q4,323,0.2524351855604911,0.2929039772728885,0.2425491621996172,0.4848852658800346,0.7283257984759498
Q5 most positive,324,0.6442460097664402,2.8295927883971537,1.7518093903074523,1.3850839919563178,1.4037146986835076
