,30,60,90,120,180,240
18:00,-0.7330423007888501,-0.38878841116707,-0.46356823527405855,-0.35735361633087676,-0.18636647609365156,-0.20031939072236019
18:30,-0.7757013159951484,-0.7339377701601034,-0.5002306886410945,-0.23931530421509867,-0.4422601882290492,-0.31498639208491697
19:00,-1.7015668794007976,-1.027232322085456,-0.5870687696202637,-0.5726114652167305,-0.46905888433001774,-0.5422768085642552
19:30,-1.2550516296040761,-0.5446774398155295,-0.5206420181863242,-0.6787695320684984,-0.44945439268036724,-0.2608459133053745
20:00,-0.8197148533364133,-0.6854495299436387,-0.8368537501113542,-0.5107654195104389,-0.5693390256324818,-0.43711541846623103
20:30,-1.3994035964696139,-1.2774898619197053,-0.8111689349694908,-0.7833600589750115,-0.5287127909235368,-0.6333106571208388
21:00,-1.5789525580437673,-0.882072342769454,-0.8430389135604633,-0.8594193749583878,-0.6650384546530985,-0.3521124229067636
21:30,-0.7800668486629901,-0.6759445867239717,-0.6901793005066224,-0.329585571941743,-0.46548122099531475,-0.1808770083572748
22:00,-1.6127618695935257,-1.317578330396548,-0.7711882051937213,-0.8904945561372104,-0.37220616055097216,-0.17808258278847586
22:30,-1.842993534070804,-0.8627763536910981,-0.9899404242615177,-0.8797182444254387,-0.3623831843551799,0.1489610749977544
23:00,-0.923363101316715,-1.014555520573232,-0.7932521805227633,-0.18402757970138373,0.02487156868702761,0.2724550123335068
23:30,-2.5148233732220846,-1.692198058651547,-0.696796152766448,-0.6420691348053288,-0.028345817723253296,0.04016547394684897
00:00,-1.6545586607784428,-0.45933676515518646,-0.45100294609990166,-0.1404900852436487,0.1514770940274468,0.30399887041275653
00:30,-0.6634377941270568,-0.5826731414549298,-0.1768697625661751,0.12016621218341499,0.1704670807515075,0.39445979198542785
01:00,-1.66370834549376,-0.8175578394239984,-0.2869898375493859,-0.18500090659466423,0.08215223952829348,0.21987730688975762
01:30,-0.8873614162430927,-0.24198620470678692,-0.11201253180865262,-0.03576664770755666,0.23366097150845916,0.3208326552757976
02:00,-0.7493623737354831,-0.47290195337907925,-0.2698832999327881,-0.06714300570241664,0.11039247915530455,0.2825215366770079
02:30,-1.2580084603480903,-0.5973403288863859,-0.3090119670108236,-0.12317899318567847,0.020075260551350275,-0.019332230469140614
03:00,-0.8030060528446353,-0.43043016171058723,-0.2062818601915024,-0.1298893634292677,0.08574756039795128,0.23239429138889353
03:30,-0.7803599270736841,-0.3386015386112854,-0.2175316083980063,-0.09679412580291856,-0.12518165710464269,0.35720350513508425
04:00,-0.7627308629479713,-0.5091572289916413,-0.32873047235120134,-0.13597804431964536,0.07888514424091854,-0.11729510443552117
04:30,-1.0647779071152392,-0.62586919832507,-0.34409640281265524,-0.5206313348290078,0.12930534374672295,-0.14420580017325188
05:00,-1.0800721590168232,-0.5340655345242555,-0.6889228489926471,-0.12155149603248239,-0.30399427405517765,-0.05797101109435446
05:30,-1.0106487715195327,-0.9990737111955434,-0.2456851983924851,-0.004639401445007834,-0.27687992381240856,-0.06500362628275998
06:00,-1.636616513101225,-0.5064697563235953,-0.18155287771047202,-0.6095486692406653,-0.22273418434352557,0.23869558873224134
06:30,-0.3295210007921124,0.06059484862161509,-0.4797338880265401,-0.2921477216759394,0.0024628996803725493,0.33221684100733234
07:00,-0.6984820040095966,-1.1517631864975175,-0.7524627896087558,-0.4089279336531834,0.1408160489028494,-0.07654980328532773
07:30,-2.0575130676917204,-1.1021026574475834,-0.5895908632378609,-0.5046008267979325,0.03291203279287107,-0.04691952841510129
08:00,-0.6771569157586977,-0.2529148162781724,-0.17180247331918247,0.2723892401597089,0.011388070517296968,0.2914872048555126
08:30,-0.3810458398209948,-0.25080512450879966,0.2679155053269533,0.2557091540266661,0.10244474859118254,0.25302661566324824
