strategy,obs,days_traded,mean_ann_pct,vol_ann_pct,sharpe,t_stat_HAC,p_value,hit_rate_pct,skew,kurtosis,max_dd_pct,total_return_pct,costs
CTC,1617,1618,15.665168325435957,20.47246957573657,0.7651821519374438,2.211608875160978,0.026993701656410105,54.916512059369204,-0.3841023865779485,13.740293624052228,-34.54411221853082,138.6958189489835,gross
CTO,1617,1618,7.3570411828087465,13.855942985096018,0.530966473427486,1.3620831232793855,0.17317165377778557,55.53494124922697,-2.341372272083657,38.18118372952882,-31.917015287418458,50.61319870644947,gross
OTC,1618,1618,8.314834827990179,14.74862820708427,0.5637700477117106,1.6776615363330547,0.09341319231326521,54.69715698393078,0.5736092906382874,11.319446332061457,-16.429716276118057,59.08067193572255,gross
OD,1618,1618,1.2109184781391,2.7400230359101805,0.44193733493078363,1.1731767030801048,0.24072495240948452,50.06180469715699,0.7222712845112874,16.51280425010403,-9.175614583791237,7.825093008041617,gross
OD+,1618,1618,2.346997951824175,4.440543204862514,0.5285384790883577,1.271929469323121,0.20339818017911176,52.65760197775031,2.0207929087144074,25.813569479265755,-11.67242768002188,15.532664399180085,gross
BtD,1618,813,0.8683427862201961,3.1849645461912925,0.2726381325841115,0.7378655837105801,0.4605961347411227,26.63782447466008,1.1959668717958791,26.4137538392343,-11.714236312980086,5.390557571739518,gross
CTC,1617,1618,15.655233591505949,20.472475508042827,0.764696657488032,2.2102048820767197,0.027090946310731247,54.916512059369204,-0.38412684974346273,13.740328152676419,-34.54495125268582,138.54374738527815,net
CTO,1617,1618,4.8522377703057815,13.856576101671417,0.35017581072718906,0.8975542843790485,0.3694232205857812,54.79282622139765,-2.3515636908857886,38.2372252039062,-32.27725979562274,28.253261370734005,net
OTC,1618,1618,5.809815391133557,14.746790292662885,0.39397152029917804,1.1732358681455493,0.24070123205757318,54.38813349814586,0.5698090315212656,11.32426905235015,-18.068904979514656,35.45238921659486,net
OD,1618,1618,-1.2946545545599466,2.737680708039175,-0.47290195337907925,-1.26208830767019,0.20691701207391547,47.83683559950556,0.6747822479573974,16.37997263456454,-16.841156878361552,-8.197462073099581,net
OD+,1618,1618,-0.15872391440258443,4.437763239663352,-0.03576664770755666,-0.08632604983620817,0.9312072309939134,51.23609394313968,1.9937480853007572,25.652983370096187,-18.186247467384053,-1.6351681129137763,net
BtD,1618,813,-0.3927380668386408,3.1847651478376466,-0.12331774828209778,-0.3329610109364834,0.7391637142516068,26.019777503090236,1.094025812687448,26.261123982834626,-14.529805777476145,-2.8064791521219656,net
