variant,trades,win_rate,avg_pnl,gross_pnl,gross_pf,pf_4tick,pnl_4tick,max_drawdown,sharpe
Phase 6 · no RVOL filter,230,0.32608695652173914,10.77608695652174,2478.5,1.2254206457480672,1.1785493144626271,2018.5,-1031.0,2.205070572842213
Phase 6 + prior 1m RVOL 0.75–1.25,67,0.34328358208955223,21.46268656716418,1438.0,1.5037659835347696,1.443160577740017,1304.0,-490.5,2.080798038148275
Phase 6 + prior 5m RVOL 0.75–1.25,86,0.3488372093023256,15.482558139534884,1331.5,1.3285220824080928,1.278391356542617,1159.5,-651.0,1.6603308770724896
