factor_key,factor,timing,direction,threshold,split,trades,win_rate,avg_pnl,gross_pnl,gross_pf,pf_4tick,pnl_4tick,max_drawdown,sharpe
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,0.5,Overall,310,0.1774193548387097,3.42258064516129,1061.0,1.1378190556601935,1.0537051695792485,441.0,-869.5,0.28484840826235475
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,0.5,Train 2019–22,172,0.13953488372093023,-1.9651162790697674,-338.0,0.9154894361795224,0.8413030831878999,-682.0,-869.5,-0.21221134996128088
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,0.5,Validation 2023–24,77,0.19480519480519481,9.824675324675324,756.5,1.5183281945871874,1.380246134427264,602.5,-267.0,0.7722650403513304
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,0.5,Holdout 2025–26,61,0.26229508196721313,10.532786885245901,642.5,1.2868943960705514,1.2234385061171926,520.5,-789.0,0.7661962131219671
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,0.75,Overall,1043,0.1860019175455417,2.5273250239693192,2636.0,1.0917156675133086,1.0180671440772617,550.0,-1963.0,0.3214476082225454
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,0.75,Train 2019–22,529,0.17391304347826086,0.46502835538752363,246.0,1.0190027422656522,0.9412509496074956,-812.0,-1963.0,0.009644886860572629
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,0.75,Validation 2023–24,272,0.15441176470588236,1.9852941176470589,540.0,1.0826193390452876,0.999428326425611,-4.0,-1103.5,0.32115541502955963
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,0.75,Holdout 2025–26,242,0.24793388429752067,7.644628099173554,1850.0,1.1997948053350613,1.141944199095963,1366.0,-1587.5,0.8409149397835427
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.0,Overall,2065,0.20532687651331719,2.3142857142857145,4779.0,1.074391743590542,1.009611112756568,649.0,-2827.0,0.4059986095285545
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.0,Train 2019–22,1012,0.19268774703557312,0.4308300395256917,436.0,1.0152955621820734,0.9473142895059885,-1588.0,-2827.0,0.046353834270348476
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.0,Validation 2023–24,562,0.19217081850533807,5.49288256227758,3087.0,1.2047217985277539,1.1227795846885165,1963.0,-1048.5,1.059318482220621
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.0,Holdout 2025–26,491,0.24643584521384929,2.558044806517312,1256.0,1.0608026334898581,1.0128055334860027,274.0,-1874.0,0.3820882265651118
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.25,Overall,2778,0.22894168466522677,4.762598992080633,13230.5,1.1446794318020275,1.0801614823789927,7674.5,-3249.5,0.9500298498604535
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.25,Train 2019–22,1346,0.2065378900445765,0.9669390787518574,1301.5,1.0322153465346535,0.9673131170662905,-1390.5,-3249.5,0.14549809357842242
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.25,Validation 2023–24,762,0.22178477690288714,9.354330708661417,7128.0,1.3345143956637022,1.2490943438159796,5604.0,-1629.0,2.0006573485858588
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.25,Holdout 2025–26,670,0.282089552238806,7.165671641791045,4801.0,1.16144055685391,1.1127343202879432,3461.0,-2056.5,1.2506675306500985
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.5,Overall,3207,0.23043342687870283,4.4625818521983165,14311.5,1.1315274331403364,1.06942674039366,7897.5,-3606.0,0.9749119760734385
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.5,Train 2019–22,1552,0.21005154639175258,1.7284149484536082,2682.5,1.0564166736771263,0.9915706743460523,-421.5,-3606.0,0.3658558923901786
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.5,Validation 2023–24,880,0.21477272727272728,6.880681818181818,6055.0,1.23602097097975,1.1588416945579616,4295.0,-1662.0,1.6363325824926616
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,1.5,Holdout 2025–26,775,0.28903225806451616,7.192258064516129,5574.0,1.1565400547637437,1.1096174014900775,4024.0,-2094.0,1.3562662416219897
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,2.0,Overall,3608,0.23198447893569846,3.7308758314855877,13461.0,1.1060927888271943,1.0471575227386853,6245.0,-4067.5,0.8632463526552971
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,2.0,Train 2019–22,1752,0.20833333333333334,-0.285958904109589,-501.0,0.9912184605137464,0.9330597782030604,-4005.0,-4067.5,-0.11368385940279481
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,2.0,Validation 2023–24,996,0.21887550200803213,7.400602409638554,7371.0,1.2492097033217817,1.17275544778636,5379.0,-1801.5,1.8226436378797168
formation_rvol,Formation 1h RVOL,Known when the zone becomes available.,below,2.0,Holdout 2025–26,860,0.29534883720930233,7.663953488372093,6591.0,1.16374951863952,1.1174796502864033,4871.0,-1944.0,1.5349332306141221
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,0.5,Overall,3336,0.23980815347721823,2.8095023980815346,9372.5,1.0748668013962888,1.0207304996660704,2700.5,-3775.5,0.6186761135282363
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,0.5,Train 2019–22,1637,0.2272449602932193,0.6658521686010995,1090.0,1.0190762876494164,0.9634005329043286,-2184.0,-3775.5,0.10264746204247256
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,0.5,Validation 2023–24,911,0.21734357848518113,5.255214050493962,4787.5,1.1653484838018926,1.0976071358040946,2965.5,-2240.5,1.2617167180333457
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,0.5,Holdout 2025–26,788,0.2918781725888325,4.435279187817259,3495.0,1.0893953345610805,1.047722073013031,1919.0,-3343.5,0.9001799361321813
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,0.75,Overall,2707,0.24713705208718137,3.2609900258588844,8827.5,1.084927170922245,1.0315998981693628,3413.5,-3981.5,0.6250711388756788
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,0.75,Train 2019–22,1328,0.23569277108433734,1.166039156626506,1548.5,1.0328988601718772,0.9774451402678072,-1107.5,-3214.5,0.1535213070138783
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,0.75,Validation 2023–24,726,0.2231404958677686,5.860192837465565,4254.5,1.1790953673886047,1.1126225687188556,2802.5,-1668.5,1.227710211212877
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,0.75,Holdout 2025–26,653,0.29709035222052066,4.631699846860643,3024.5,1.091324959236669,1.0504906569514632,1718.5,-3981.5,0.8744949716914113
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.0,Overall,2134,0.2521087160262418,4.284208059981256,9142.5,1.110781925915155,1.0568633855558018,4874.5,-3206.0,0.6972527647016568
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.0,Train 2019–22,1051,0.23882017126546146,1.7844909609895339,1875.5,1.0499168274668973,0.9942184728089544,-226.5,-2593.0,0.21842692418885767
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.0,Validation 2023–24,568,0.23415492957746478,8.648767605633802,4912.5,1.2636946777959688,1.1936716326059642,3776.5,-1291.0,1.5390448614258256
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.0,Holdout 2025–26,515,0.29902912621359223,4.5718446601941745,2354.5,1.0894396961063628,1.048970310940215,1324.5,-3206.0,0.7560163384914826
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.25,Overall,1652,0.24213075060532688,0.8483656174334141,1401.5,1.0209529362516445,0.9725840850794016,-1902.5,-3713.5,0.14620895188349248
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.25,Train 2019–22,841,0.22829964328180738,-1.37871581450654,-1159.5,0.9630797153364856,0.9131185886165936,-2841.5,-2774.5,-0.26304432273425193
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.25,Validation 2023–24,422,0.21800947867298578,4.430094786729858,1869.5,1.1279559221108106,1.0671556268622509,1025.5,-1275.0,0.7419714355163121
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.25,Holdout 2025–26,389,0.2982005141388175,1.7776349614395888,691.5,1.0331305097738597,0.9959613409281912,-86.5,-3713.5,0.31591519697486625
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.5,Overall,1280,0.2359375,-0.96640625,-1237.0,0.9767382821682102,0.9311308006928637,-3797.0,-5676.5,-0.07149533845263605
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.5,Train 2019–22,648,0.2037037037037037,-7.666666666666667,-4968.0,0.8068917264299458,0.7659061606592298,-6264.0,-5676.5,-1.0619167899457458
prior_1m_rvol,Prior completed 1m RVOL,Known before the touch minute.,at_or_above,1.5,Validation 2023–24,327,0.22324159021406728,4.941896024464832,1616.0,1.1422034494896163,1.0810309973045822,962.0,-1044.5,0.7727162034731193
