trade_id,zone_id,direction,timeframe,zone_formed_at,zone_available_at,zone_proximal,zone_distal,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,points,pnl,first_touch_prior_5m_rvol
1322,7863,short,1h,2025-12-31 19:00:00+00:00,2025-12-31 20:00:00+00:00,25581.75,25634.75,2026-01-02 02:23:00+00:00,25581.75,25635.75,25481.75,2026-01-02 04:25:00+00:00,25635.75,stop,-54.0,-108.0,1.008398302278679
1323,7865,long,1h,2026-01-02 14:00:00+00:00,2026-01-02 15:00:00+00:00,25702.5,25638.0,2026-01-02 15:08:00+00:00,25702.5,25637.0,25802.5,2026-01-02 15:12:00+00:00,25637.0,stop,-65.5,-131.0,1.1342904300181091
1324,7869,long,1h,2026-01-05 04:00:00+00:00,2026-01-05 05:00:00+00:00,25474.0,25456.0,2026-01-05 05:08:00+00:00,25474.0,25455.0,25574.0,2026-01-05 11:48:00+00:00,25574.0,target,100.0,200.0,0.8234701586502141
1325,7879,long,1h,2026-01-07 13:00:00+00:00,2026-01-07 14:00:00+00:00,25767.25,25753.25,2026-01-07 14:05:00+00:00,25767.25,25752.25,25867.25,2026-01-07 14:46:00+00:00,25867.25,target,100.0,200.0,0.8967632027257241
1326,7855,short,1h,2025-12-29 01:00:00+00:00,2025-12-29 02:00:00+00:00,25871.0,25893.5,2026-01-07 14:48:00+00:00,25871.0,25894.5,25771.0,2026-01-07 15:35:00+00:00,25894.5,stop,-23.5,-47.0,1.1834510273894674
1327,7883,short,1h,2026-01-08 05:00:00+00:00,2026-01-08 06:00:00+00:00,25776.5,25793.5,2026-01-08 07:23:00+00:00,25776.5,25794.5,25676.5,2026-01-08 07:24:00+00:00,25794.5,stop,-18.0,-36.0,1.1617729567982047
1328,7896,long,1h,2026-01-13 13:00:00+00:00,2026-01-13 14:00:00+00:00,25900.5,25886.5,2026-01-13 15:02:00+00:00,25900.5,25885.5,26000.5,2026-01-13 15:15:00+00:00,25885.5,stop,-15.0,-30.0,1.0193820517549699
1329,7898,short,1h,2026-01-14 08:00:00+00:00,2026-01-14 09:00:00+00:00,25860.75,25876.0,2026-01-14 09:00:00+00:00,25860.75,25877.0,25760.75,2026-01-14 09:10:00+00:00,25877.0,stop,-16.25,-32.5,1.0134340890008395
1330,7907,long,1h,2026-01-16 06:00:00+00:00,2026-01-16 07:00:00+00:00,25810.25,25802.25,2026-01-16 07:33:00+00:00,25810.25,25801.25,25910.25,2026-01-16 08:40:00+00:00,25801.25,stop,-9.0,-18.0,0.845936753744844
1331,7918,short,1h,2026-01-20 17:00:00+00:00,2026-01-20 18:00:00+00:00,25363.0,25430.0,2026-01-21 15:16:00+00:00,25363.0,25431.0,25263.0,2026-01-21 15:35:00+00:00,25431.0,stop,-68.0,-136.0,1.2040818020350912
