trade_id,zone_id,direction,timeframe,zone_formed_at,zone_available_at,zone_proximal,zone_distal,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,points,pnl,first_touch_prior_5m_rvol,source
1323,7865,long,1h,2026-01-02 14:00:00+00:00,2026-01-02 15:00:00+00:00,25702.5,25638.0,2026-01-02 15:08:00+00:00,25702.5,25637.0,25802.5,2026-01-02 15:12:00+00:00,25637.0,stop,-65.5,-131.0,1.1342904300181091,python_reference
1324,7869,long,1h,2026-01-05 04:00:00+00:00,2026-01-05 05:00:00+00:00,25474.0,25456.0,2026-01-05 05:08:00+00:00,25474.0,25455.0,25574.0,2026-01-05 11:48:00+00:00,25574.0,target,100.0,200.0,0.8234701586502141,python_reference
1325,7879,long,1h,2026-01-07 13:00:00+00:00,2026-01-07 14:00:00+00:00,25767.25,25753.25,2026-01-07 14:05:00+00:00,25767.25,25752.25,25867.25,2026-01-07 14:46:00+00:00,25867.25,target,100.0,200.0,0.8967632027257241,python_reference
1331,7918,short,1h,2026-01-20 17:00:00+00:00,2026-01-20 18:00:00+00:00,25363.0,25430.0,2026-01-21 15:16:00+00:00,25363.0,25431.0,25263.0,2026-01-21 15:35:00+00:00,25431.0,stop,-68.0,-136.0,1.2040818020350912,python_reference
1332,7928,short,1h,2026-01-22 14:00:00+00:00,2026-01-22 15:00:00+00:00,25690.75,25739.75,2026-01-22 16:45:00+00:00,25690.75,25740.75,25590.75,2026-01-22 20:35:00+00:00,25590.75,target,100.0,200.0,0.8050375393557763,python_reference
1346,7993,short,1h,2026-02-16 10:00:00+00:00,2026-02-16 11:00:00+00:00,24895.25,24922.25,2026-02-18 08:16:00+00:00,24895.25,24923.25,24795.25,2026-02-18 09:12:00+00:00,24923.25,stop,-28.0,-56.0,1.078088026502603,python_reference
1357,8066,short,1h,2026-03-10 18:00:00+00:00,2026-03-10 19:00:00+00:00,25156.25,25217.75,2026-03-11 14:00:00+00:00,25156.25,25218.75,25056.25,2026-03-11 14:16:00+00:00,25056.25,target,100.0,200.0,0.915263251995631,python_reference
1362,8108,long,1h,2026-03-20 15:00:00+00:00,2026-03-20 16:00:00+00:00,24285.75,24231.5,2026-03-20 16:30:00+00:00,24285.75,24230.5,24385.75,2026-03-20 17:05:00+00:00,24230.5,stop,-55.25,-110.5,1.0167215501665363,python_reference
1363,8117,short,1h,2026-03-24 23:00:00+00:00,2026-03-25 00:00:00+00:00,24422.5,24457.5,2026-03-25 00:11:00+00:00,24422.5,24458.5,24322.5,2026-03-25 00:32:00+00:00,24458.5,stop,-36.0,-72.0,0.7574543738545451,python_reference
1368,7499,long,1h,2025-09-07 22:00:00+00:00,2025-09-07 23:00:00+00:00,23691.0,23650.5,2026-03-27 10:38:00+00:00,23691.0,23649.5,23791.0,2026-03-27 10:55:00+00:00,23649.5,stop,-41.5,-83.0,1.0947410335902614,python_reference
